question,a,b,c,d,answer
'ইতর বিশেষ' বাগধারাটির অর্থ কী?,চালাক লোক,পার্থক্য,একই দলের লোক,দুষ্টু প্রকৃতির লোক,b
"বিয়ে করলে, অথচ তোমার ইয়ার বকশিদের জানালে না? এখানে 'ইয়ার বকশি' শব্দের অর্থ-",বাবা-মা,ভাই-বোন,প্রিয় বন্ধু,প্রতিবেশী,c
'উপরোধে ঢেঁকি গেলা' বাগধারাটির সঠিক অর্থ হচ্ছে-,অনুরোধে পড়ে অসাধ্য সাধন করা,অনুরোধে অনিচ্ছা সত্ত্বেও কিছু করা,চাপে পড়ে অন্যায় কাজ করে ফেলা,অনুরোধে ঢেঁকি গিলে ফেলা,b
'উড়ে এসে জুড়ে বসা' এর অর্থ কি?,হঠাৎ আবির্ভাব,দূর থেকে আসা,অনধিকার চর্চা,অধিকার প্রতিষ্ঠা করা,c
'উত্তম মাধ্যম' বলতে কি বুঝায়?,সম্মান,মাঝামাঝি,প্রহার,ওপর-নিচে,c
'উলুখাগড়া' বাগধারাটি দ্বারা কি অর্থ প্রকাশ করা হয়?,গুরুত্বহীন লোক,অভাবগ্রস্ত লোক,অপব্যয়ী,অপদার্থ,a
উজানের কৈ - এই বাগধারাটির অর্থ কি?,বিরাট আয়োজন,সহজলভ্য,অপদার্থ,সামান্য পার্থক্য,b
'ঊনকোটি চৌষট্টি' এ বাগধারার অর্থ হলো-,অপদার্থ,পাগলামি,অপব্যয়ী,প্রায় সম্পূর্ণ,d
'ঊনপঞ্চাশ বায়ু' বাগধারাটির অর্থ কি?,ঘৃণা,বিরক্তি,বদমেজাজ,পাগলামি,d
'একাদশে বৃহস্পতি' এর অর্থ কি?,সৌভাগ্যের বিষয়,আশার কথা,মজা পাওয়া,আনন্দের বিষয়,a
'একচোখা' - এর সঠিক অর্থ কোনটি?,এক চক্ষু বিশিষ্ট,পক্ষপাতহীন,পক্ষপাতদুষ্ট,এক চোখ কানা যার,c
'এসপার ওসপার' বাগধারাটির অর্থ কী?,এদিক অথবা ওদিক,এই পারে অথবা ঐ পারে,মীমাংসা ,এরকম বা ওরকম,c
'ওজন বুঝে চলা' বাগধারার অর্থ -,আত্মসম্মান রক্ষা করা,পক্ষপাতদুষ্ট,পৃষ্ঠপোষককে সমর্থন,অন্যের অনুকরণ,a
'ওষুধ করা' বাগধারাটির অর্থ -,সঠিক ব্যবস্থা নেওয়া,বিপদগ্রস্ত কান্ডারী,বশ করা,প্রবল প্রতিদ্বন্দী,c
'কাষ্ঠ হাসি' বাগধারার অর্থ হল-,স্বেচ্ছাচারী,বিত্তশালী,শুকনো হাসি,গন্ড মূর্খ,c
'কাছা ঢিলা' বাগধারাটির অর্থ কী?,দুর্বল ব্যক্তি,অসাবধান,অলস,মজার বিষয়,b
'কত ধানে কত চাল' বাগধারাটির অর্থ -,হিসাব নেওয়া,পরিমাণ জানা,ষড়যন্ত্র করা,টের পাওয়ানো,d
'কচুকাটা করা' বাগধারাটির অর্থ কী?,কচু কেটে ফেলা,সফলতা লাভ,হত্যা করা,ধ্বংস করা,d
'কচুবনের কালাচাঁদ' বাগধারার অর্থ -,ধূর্ত,অপদার্থ,কেতাদুরস্ত,কলির কেষ্ট,b
সঠিক অর্থ কোনটি? 'ক-অক্ষর গোমাংস',জ্ঞানী ব্যাক্তি,নিরর্থক কথা,অনাবশ্যক বাগাড়ম্বর,অশিক্ষিত ব্যক্তি,d
'কলকাঠি নাড়া' বাগধারাটির অর্থ কি?,গোপনে সু-পরামর্শ দেয়া,গোপনে কু-পরামর্শ দেয়া,গুপ্তচরবৃত্তি,সমস্যা সমাধান,b
'কলমের এক খোঁচা' বাগধারাটির অর্থ কী?,চূড়ান্ত মীমাংসা,লিখিত আদেশ,পত্র লিখন,ধ্বংস করা,b
'কায়েতের ঘরের ঢেঁকি' বাগধারাটির অর্থ কী?,অপদার্থ ব্যক্তি,বিশিষ্ট ব্যক্তি,প্রাচীন ব্যক্তি,হৃষ্টপুষ্ট ব্যক্তি,a
'কিলিয়ে কাঁঠাল পাকানো' - কী বোঝানো?,আগেভাগে ঘটন ঘটানো,অসময়ে কাজে লাগিয়ে দেওয়া,জোর করে কাজের উপযোগী,বেদম প্রহার করা,c
'কাপুড়ে বাবু' বাগধারার অর্থ?,দলপতি,ভন্ড,অপদার্থ,বাহ্যিক অভ্যাস,b
'কল্কে পাওয়া' অর্থ-,প্রভাবিত হওয়া,পাত্তা পাওয়া,প্রাণ ফিরে পাওয়া,শান্তি পাওয়া,b
বাংলা বাগধারায় 'কাঁঠালের আমসত্ব'-এর অর্থ কি?,বেমানান সজ্জা,অসম্ভব ব্যাপার,বাজে কথা,নাছোড়বান্দা,b
'কূপমন্ডূক' শব্দটির আলঙ্কারিক অর্থ কি?,অন্ধত্ব,কুয়োর ব্যাঙ,সংকীর্ণমনা ব্যক্তি,অসংযমী ব্যক্তি,c
কোন বাগধারাটির অর্থ 'বেহায়া'?,চিনির বলদ,কান কাটা,জিলেপির প্যাঁচ,ঠোঁটকাটা,d
'কান পাতলা' বাগধারাটির অর্থ-,সতর্ক ,সন্দেহপ্রবণ,বিশ্বাসপ্রবণ,বধির,c
'কানে তোলা' বাক্যাংশের বিশিষ্ট অর্থ কি?,কান ধরে তোলা,কোনো কথা উত্থাপন করা,কান পেতে শোনা,কুমন্ত্রণা দেওয়া,b
'কুল কাঠের আগুন'- এর প্রকৃত অর্থ কি?,তীব্র জ্বালা,কাঠের পুতুল,কূপমণ্ডূক,এলাহি কাণ্ড,a
'কাক ভূশণ্ডি'- এর অর্থ কি?,দীর্ঘায়ু ব্যক্তি,বাকসর্বস্ব,ষড়যন্ত্রকারী,দীর্ঘ প্রতীক্ষমাণ,a
'ভূশণ্ডির কাক' বাগধারাটির অর্থ-,ভূশণ্ডি নামক স্থানের নাম,অনভিজ্ঞ ব্যক্তি,দীর্ঘকালের অভিজ্ঞ ব্যক্তি,বিশেষজাতের কাক,c
'কৈ মাছের প্রাণ' বলতে কি বোঝায়?,কঠিন জিনিস,সর্বভুক,দীর্ঘজীবী,স্বল্পভুক,c
'কলা দেখানো' বাগধারার অর্থ -,লোভ দেখানো,প্রলুব্ধ করা,ফাঁকি দেওয়া,উদ্বুদ্ধ করা,c
'কেঁচে-গণ্ডুষ' বাগধারাটির অর্থ কি?,বিপজ্জনক পরিণতি,সীমাবদ্ধ জ্ঞান,নিরেট মূর্খ,নতুন করে আরম্ভ করা,d
'কোলাব্যাঙ' বাগধারাটির অর্থ-,ঘরকুনো,ঝগড়াটে,কৃপণ ব্যক্তি,বাকসর্বস্ব,d
'কেউকেটা' - কথাটির অর্থ কি?,অসাম্যন্য,সম্মানী,সামান্য,শক্তিশালী,c
'কচ্ছপের কামড়' বাগধারাটির সঠিক অর্থ হচ্ছে -,কঠিন কামড়,অলসতা,সফলতা,নাছোড়বান্দা,d
'কেতাদুরস্ত' বাগধারার অর্থ কী?,অলস,পরিশ্রমী,পরিপাটি,দীর্ঘজীবী,c
'খড়ম পায়ে দিয়ে গঙ্গা পার' বাগধারার অর্থ কী?,ব্যতিক্রমী কাজ,অসম্ভব কাজের উদ্যোগ,দুঃসাহসিক অভিযান,দেবতাদের মতো কাজ করা,b
'খন্ড প্রলয়' বাগধারাটির অর্থ কী?,ভীষণ ব্যাপার,ভীষণ গন্ডগোল,সামান্য ঝড়,কোলাহল,a
খয়ের খাঁ বাগধারা অর্থ কী?,দিনমজুর,গণ্যমান্য ব্যক্তি,দীনমজুর,তোষামদকারী,d
'ভাবনা চিন্তাহীন' কোন বাগধারাটির অর্থ প্রকাশ করে?,সুখের পায়রা,খোদার খাসি,যক্ষের ধন,বসন্তের কোকিল,b
'খেউর গাওয়া' বাগধারার অর্থ কী?,গালাগালি করা,প্রলাপ বকা,একধরনের গান,প্রশংসা করা,a
'গদাই লস্কারি চাল' বাগধারাটির অর্থ কী?,তুচ্ছ পদার্থ,আলসেমি,অন্ধ অনুকরণ,তুমুল কান্ড,b
'গুড়ে বালি' কথাটির অর্থ কি?,বাতাসে বলি,আশায় নৈরাশ্য,ভালোতে খারাপ,গোবরে পদ্মফুল,b
'গৌরচন্দ্রিক' বাগধারাটির কোন অর্থে ব্যবহৃত হয়?,বাড়তি বোঝা,রূপের মোহ,ভূমিকা,ফিটফাট,c
'গাছপাথর' বাগধারাটির অর্থ -,ভূমিকা করা,হিসাব নিকাশ,অসম্ভব বস্তু,বাড়াবাড়ি করা,b
'গলায় গামছা দেওয়া' - বাগধারাটির অর্থ কী?,গলা ধাক্কা,অপমান করা,নিবিড় বন্ধুত্ব,ভীষণ বিপদ,b
'গোবর গণেশ' বাগধারাটির অর্থ কী?,অপদার্থ,নিরেট মূর্খ,অত্যন্ত অলস,অপটু,b
'গনেষ উলটানো' বাগধারাটির সঠিক অর্থ কোনটি?,ব্যাপ্তি হওয়া,অন্যায় করা,উঠে যাওয়া ,সহায় থাকা,c
'গোকুলের ষাঁড়' বলতে বোঝায় -,আদুরে ছেলে,মালিকবিহীন বলদ,গোঁয়ার,স্বেচ্ছাচারী,d
'গোঁয়ার গোবিন্দ' - এর অর্থ কী?,চালাক লোক,দীর্ঘায়ু ব্যক্তি,নিরক্ষর,কাণ্ডজ্ঞানহীন,d
'ঘটিরাম' বাগধারাটির অর্থ-,ভন্ড ধার্মিক,ন্যাকামো,বড়মুখ,অপদার্থ,d
'ঘন্টাগরুর' অর্থ কী?,গরুর পাখি,অকর্মণ্য লোক,কর্মঠ লোক,গরুর ঘন্টা,b
'ঘটের মরা' বাগধারাটির অর্থ কি?,দুর্বল,অতি বৃদ্ধ,সদ্য মৃত,ফেলনা,b
'ঘর থাকতে বাবুই ভেজা'- বাগধারার অর্থ কি?,সহজলভ্য,গভীর মমত্ববোধ,সুযোগ থেকেও কষ্ট,সহজে ছেড়ে দেয়া,c
'ঘুঘু চরানো' বাগধারাটির অর্থ-,অত্যন্ত অলস,সর্বনাশ করা,গুজব,রাখাল,b
'ঘোড়ারোগ' বাগধারাটির অর্থ-,মধ্যবর্তীকা অতিক্রম করে কাজ করা,ঘোড়াবাহিত সংক্রামক ব্যাধি,সাধ্যের অতীত সাধ,নাছোড়বান্দা,c
'চোখের বালি' কোন অর্থে বোঝান হয়?,সতীন,শত্রু,অপছন্দনীয় ব্যক্তি,সৎপুত্র,c
'চোরা বালি' বাগধারাটির অর্থ কী?,অত্যন্ত গোপনে,প্রচ্ছন্ন বিপদ,চুরির অভ্যাস,সাবধানী,b
'চোখের মণি' বাগধারাটির অর্থ-,চোখের বালি,চোখের প্রধান অংশ,অত্যন্ত প্রিয়,চক্ষুঃশূল,c
'চোখ কপালে তোলা' বাগধারাটির অর্থ কোনটি?,বিস্মিত হওয়া,মন্দভাগ্য,ফাঁকি দেওয়া,সাহস,a
'চিনির পুতুল' এর অর্থ কি?,পরিশ্রম কাতর,পরিশ্রমী,অকেজো লোক,নিতান্ত অলস,a
'চিনির বলদ' বাগধারাটির সঠিক অর্থ কি?,নিস্ফল পরিশ্রম,সস্তা দাম,ঠকানো,কাণ্ডজ্ঞানহীন ব্যক্তি,a
'চর্বিত চর্বণ' বাগধারাটির অর্থ কী?,শ্রমকাতুরে,ক্ষীণজীবী লোক,ভারবাহী,পুনরাবৃত্তি,d
'ছেঁড়া চুলে খোঁপা বাঁধা' বাগধারাটির অর্থ কি?,উপহাস,পরকে আপন করার চেষ্টা,অসময়ে আবির্ভাব,অকজো লোক,b
'ছাই চাপা আগুন' কোন অর্থ প্রকাশ করে?,গোপন গুণ,বদ মেজাজ,গোপন দোষ,মন্দ ভাগ্য,a
'ছা-পোষা' বাগধারাটির অর্থ কী?,অত্যন্ত গরিব,সামান্য ব্যক্তি,খুব অলস,চাটুকার,a
'ছকড়া নকড়'- বাগধারাটির অর্থ কী?,সস্তা দর,নষ্ট করা,দুর্লভ বস্তু,আশায় নৈরাশ্য,a
'জড়-ভরত' বাগধারাটির অর্থ-,চাটুকার,খুব ধনী,অকর্মণ্য ব্যক্তি,স্পষ্টবাদী,c
'জিলাপির প্যাঁচ' বাগধারাটির অর্থ কি?,প্যাঁচানো,কুটিল,কলহপ্রিয়,জটিল,b
'জগদ্দল পাথর' বাগধারাটির অর্থ কি?,অমূল্য বস্তু,জটিল করা,গুরুভার,নিন্দিত,c
'ঝাঁকের কই' বাগধারাটির অর্থ-,অসম্ভব চালাক,একই দলের লোক,একতাই বল,বর্ষাকালীন মাছ,b
'ঝিঙেফুল ফোটা' বাগধারাটির অর্থ-,বিয়ের সময় হওয়া,আয়ু ফুরিয়ে আসা,সুসময় আসা,সৌভাগ্যবান হওয়া,b
'ঝড়ো কাক' কথাটির অর্থ-,ঝগড়াটে ব্যক্তি,দুর্দশাগ্রস্ত ব্যক্তি,বেগাবান পুরুষ,তেড়ে আসা,b
'ঝোলের লাউ অম্বলের কদু' বাগধারার অর্থ কী?,জীর্ণশীর্ণ লোক,সব পক্ষের মন যুগিয়ে চলা,মিশিয়ে ফেলা,পুঁথিগত বিদ্যা,b
'টীকাভাষ্য' - বাগধারাটির অর্থ কী?,সদালাপ,অর্থহীন কথা,সংক্ষিপ্ত আলোচনা,দীর্ঘ আলোচনা,d
'টুপ ভুজঙ্গ' বাগধারার অর্থ-,জল-সাপ,নির্লজ্জ,নেশাগ্রস্ত,গো-সাপ,c
'টেঁকে গোঁজা' বাগধারাটির অর্থ-,পকেট ভারী করা,ক্ষমতা পরীক্ষা করা,অবহেলা করা,সহজে কাবু করা,a
'ডুমুরের ফুল' বলতে বোঝায়-,ডুমুর জাতীয় ফলের ফুল,যে ফলের আসলে কোন ফুল হয় না,বিরল বস্তু,যে ফুলের ভেতরে ফলটি থাকে,c
"যার কোনো মূল্য নেই, তাকে বাগধারা দিয়ে প্রকাশ করলে কোনটা হবে?",ডাকাবুকা,তুলশী বনের বাঘ,তামার বিষ,ঢাকের বাঁয়া,d
'ঢাকের কাঠি' বাগধারাটির অর্থ-,সাহায্যকারী,তোষামুদে,বাদক,স্বাথ্যহীন লোক,b
'ঢেঁকির কুমির' অর্থ-,অসহায়,অপদার্থ,ধনী,নাছোরবান্দা,b
'তয়নাত করা' বাগধারাটির অর্থ-,স্থির করা,প্রস্তুত করা,বেতাল হওয়া,ভোজন করা,a
'তামার বিষ' বাগধারাটির সঠিক অর্থ কি?,ভীষণ বিষাক্ত,নির্দয়,অর্থের কুপ্রাভাব,তামা থেকে উৎপন্ন বিষ,c
সঠিক অর্থ কোনটি? 'তালপাতার সেপাই',অত্যন্ত ভদ্র,পক্ষপাতদুষ্ট,অত্যন্ত আদুরে,অতিশয় দুর্বল,d
'তাসের ঘর'-এর অর্থ কি?,বিশৃঙ্খলা,এলোমেলো,ক্ষণস্থায়ী,তাস খেলার ঘর,c
'তুলসী বনের বাঘ' এর অর্থ কোনটি?,সুসময়ের বন্ধু,অদৃশ্য বস্তু,ভণ্ড,নির্লজ্জ,c
'তেলো হাঁড়ি' বাগধারাটির অর্থ-,সঞ্চয়,গম্ভীর,অপব্যয়,ভয়ঙ্কর,b
'তাল ঠোকা' বাগধারাটির অর্থ-,অহংকার করা,সগর্ব উক্তি,কার্পণ্য করা,ব্যঙ্গ উক্তি,b
'তীর্থের কাক' বাগধারার অর্থ হলো-,যে কাক তীর্থস্থানে থাকে,ধূর্ত স্বভাবের লোক,প্রতীক্ষারত,লোভী ব্যক্তি,c
'তোলা হাঁড়ি' বাগধারাটির অর্থ কী?,সঞ্চয়,গম্ভীর,অপব্যয়,ভয়ঙ্কর,b
'দুধের মাছি' বাগধারাটির অর্থ-,দুধ খাওয়া মাছি,দুধে বসা মাছি,সুসময়ের বন্ধু,অসময়ের বন্ধু,c
'দহরম মহরম' কথাটি দিয়ে কী বোঝানো হয়?,নষ্ট করা,ভোগ বিলাস,ঘনিষ্টতা,মহরম মাসের মেলা,c
'দা-কুমড়া' বাগধারাটির একই অর্থ প্রকাশ করে-,চোখের বালি,নয়ছয়,লেফাফা দুরস্ত,অহিনকুল,d
বাগধারাটির অর্থ নির্ণয় করুন-'ধামাধরা'-,কপট গাম্ভীর্য,চাটুকারিতা,পরিপাটি করা,মিথ্যা বলা,b
'ধর্মের ষাঁড়' বাগধারার অর্থ কি?,সুসময়ের বন্ধু,স্বার্থপর,বেহায়া,অকর্মণ্য,d
'ধোপদুরস্ত' বাগধারার অর্থ-,কৌশলে কার্য উদ্ধার,তুচ্ছ জ্ঞান করা,বেহায়া,বাবুয়ানি,d
'নদের চাঁদ' বাগধারাটি যে অর্থ প্রকাশ করে-,কুৎসিত ব্যক্তি অথচ কর্মপটু,দুর্বল ও ব্যক্তিত্বহীন,সুন্দর ব্যক্তি অথচ অপদার্থ,গম্ভীর অথচ কর্মপটু,c
'পটল তোলা' এই বাগধারাটির সঠিক অর্থ কোনটি?,পরীক্ষায় ফেল করা,পটল গাছ হতে পটল তোলা,মারা যাওয়া,পটল খাওয়া,c
'পত্রপাঠ' বাগধারাটির সঠিক অর্থ কোনটি?,সুসজ্জিত,সুপাঠ্য,তৎক্ষণাৎ,পড়ুয়া,c
'পায়াভারী' কথাটির অর্থ কি?,অহংকার,বেকায়দা,বেহায়া,নির্দয়,a
'পায়ের তলায় সর্ষে' বাগধারার অর্থ কী?,অলুক্ষণে,আসন্ন বিপদ,অস্থির,অকর্মণ্য,c
'পাথের পাঁচ কিল' বাগধারাটির সঠিক অর্থ কি?,অতিরিক্ত সুবিধা,সর্বস্বান্ত হওয়া,সুখের সময়,ধাক্কা সামলানো,c
'পালের গোদা'- অর্থ কী?,নৌকার পাল,সচল ব্যক্তি,সর্দার,দলের শক্তিশালী লোক,c
'পুঁটি মাছের প্রাণ' বাগধারাটির অর্থ কি?,অম্ভব কিপটে,সামান্য ত্রুটি,ক্ষীণজীবী,দীর্ঘজীবী,c
'পোঁ-ধরা'- এই বাগধারাটির অর্থ কী?,বেহায়া,দৃঢ়প্রতিজ্ঞ,মোসাহেবি করা,ক্ষণস্থায়ী,c
'পৃষ্ঠপ্রদর্শন' বাগধারার অর্থ-,অপমান করা,পালিয়ে যাওয়া,ক্ষমা চাওয়া,পিঠ দেখানো,b
'ফপর দালালি' সঠিক অর্থ কোনটি?,জ্ঞান দান করা,অনাহুত ব্যক্তির মাতব্বরী,অন্যায় আবদার করা,ক্ষমতার বাহাদুরি,b
'ফেকলু পার্টি' বাগধারাটির অর্থ কি?,ক্ষমতাসীন পার্টি,বিরোধী পার্টি,কদরহীন লোক,নিকৃষ্ট লোক,c
'বাঘের আড়ি' বাগধারাটির অর্থ-,ছদ্মবেশী,নির্ভীক,বিপদে পড়া,কঠিন শত্রুতা,d
'বারোভূত' কথাটির দিয়ে কী বুঝানো হয়?,ক্ষণস্থায়ী,নিরেট বোকা,আজে-বাজে লোক,বহু অবাঞ্ছিত লোক,d
'বক দেখানো' বাগধারাটির অর্থ কি?,কথায় পটু,অশোভনভাবে বিদ্রুপ করা,পড়ুয়া,মতিচ্ছন্ন হওয়া ,b
'বিদুরের খুদ' বাগধারাটির অর্থ কী?,শ্রদ্ধার সামান্য উপহার,ঘৃণার বস্তু,শ্রম বিমুখ,খাদ্য দ্রব্য,a
'বালির বাঁধ'- বাগধারার প্রকৃত অর্থ কোনটি?,বালি দ্বারা নির্মিত বাঁধ,ক্ষণস্থায়ী বস্তু,খেলনা,প্রতিবন্ধক,b
'বর্ণচোরা' বাগধারাটির অর্থ হলো-,পাকা আম,কপটচারী,কপটহীন ব্যক্তি,ভণ্ডসাধু,b
'মাণিকাঞ্চন যোগ' এর সমার্থক বাগধারা কোনটি?,দহরম মহরম,কেতাদুরস্ত,সোনায় সোহাগা,শিরে-সংক্রান্তি,c
'ভিজে বিড়াল' বাগধারাটির অর্থ -,কপট,কৃপণ,কুৎসিত,কন্টক,a
'ভাঁড়ে ভবানী' প্রবচনের অর্থ-,ভাণ্ডার পরিচালিকা,পূর্ণ ভাণ্ডার,নিঃস্ব অবস্থা,কৌতুকময়ী,c
'ভদ্রতার বালাই' প্রবাদটির অর্থ-,মূর্খ,অপরাধবোধ,অকৃতজ্ঞ,সাধারণ সৌজন্যবোধ,d
'ভানুমতির খেল' প্রবচনটির বোঝায়-,চালবাজি,ভেলকিবাজি,ফটকবাজি,ফেরেববাজি,b
'ভেরাণ্ডা ভাজা' বাগধারার অর্থ কী?,ডাল ভাজা,অকাজের থাকা,ডিম ভাজা,বাজে কাজ করা,b
'মাছের মা' বাগধারার অর্থ-,কঠোর,অত্যাচারী,নিষ্ঠুর,নীতিহীন,c
'মুখচোরা' বাগধারাটির অর্থ কি?,লাজুক,ভীতু,স্পষ্ঠভাষী,বাচাল,a
'মাছি মারা কেরানি' প্রবচনটির অর্থ,মূর্খ,অগ্র-পশ্চাৎ বিবেচনাহীন,দূরদৃষ্টির অভাব,বিচারবোধহীন নকলবিশ,d
'মেনি মুখো' বলতে বোঝায়-,ভীতু,লাজুক,মুখরা,বিড়ালমুখো,b
'মহাভারত অশুদ্ধ হওয়া' বাগধারাটির অর্থ-,অপবিত্র হওয়া,বড় ক্ষতি হওয়া,বড় দোষ হওয়া,বড় অপমান হওয়া,c
'মুখে খই ফোটা' - বাগধারাটির অর্থ-,খই ভাজা,অনবরত বকবক করা,বিরক্ত করা,মুখে আঘাত করা,b
'রজ্জুতে সর্পজ্ঞান' বাগধারাটির অর্থ-,সাপকে দড়ি দিয়ে বাঁধা,জাদুকরী বিদ্যা অর্জন করা,বিভ্রম,আচমকা বিপদ,c
'রসাতলে গমন' শব্দটির অর্থ-,রসের ভেতরে যাওয়া,রসসিক্ত হওয়া,রসামৃত পান করা,অধঃপাতে যাওয়া,d
'রাবণের চিতা' বাগধারাটির অর্থ কি?,অনিষ্টে ইষ্ট লাভ,সামান্য কিছু নিয়ে ঝগড়া বাধানো,চির অশান্তি,অরাজক দেশ,c
'রাজঘোটক' বাগধারাটির ব্যবহৃত হয় কোন অর্থে?,চমৎকার মিল,অন্তঃসারশূন্য,বড়লোক,পণ্ডশ্রম,a
'রুই কাতলা' বলতে বোঝায়-,ক্ষমাতাশালী ব্যক্তি,সম্মানিত ব্যক্তি,পদস্থ ব্যক্তি,জ্ঞানী ব্যক্তি,a
'যারা বাইরের ঠাঁট বজায় রেখে চলে' - এই অর্থের বাগধারা কোনটি?,দমভারী,রাশভারী,লেফাফা দুরস্ত,কেতাদুরস্ত,c
'লগন চাঁদ'- বাগধারাটি কোন অর্থ ব্যবহৃত-,অলীক কল্পনা,অযোগ্য ব্যক্তি,ভণ্ড,ভাগ্যবান,d
