question,a,b,c,d,answer
'এ ছেলে বংশের মুখ রক্ষা করবে'- এর সঠিক অর্থ হলো?,বংশবৃদ্ধি করবে,বংশের অসম্মান করা,সম্মান বাঁচানো,অনুগ্রহ করা,c
'মুখ চলা' বাগধারাটির অর্থ কী?,অশ্লীল ভাষার কথা বলা,নীরবতার পর কথা শুরু করা,অসংলগ্ন কথা বলা,ক্রমাগত বকা,d
'এমন কথা মুখে বলতে নেই' বাক্যে 'মুখ' শব্দটি কোন অর্থে ব্যবহৃত হয়েছে?,বাগযন্ত্র,তিরস্কার,বদন,অমঙ্গল,d
নিজের নাক কেটে পরের যাত্রা ভঙ্গ করতে চাও? এখানে 'নাক' কি অর্থে ব্যবহৃত হয়েছে?,নাসিকা,লজ্জাজনক শাস্তি,অবজ্ঞা করা,ক্ষতি স্বীকার ,d
'এই ব্যাপারে তোমার কোন হাত নেই' এখানে 'হাত' কি অর্থে ব্যবহৃত হয়েছে?,যশ,কর্তৃত্ব,জ্ঞান,অভিজ্ঞতা,b
ডাক্তার সাহেবের হাতযশ ভালো' এ বাক্য 'হাত' ব্যবহৃত হয়েছে-,অধিকার অর্থে,বশ অর্থে,অভ্যাস অর্থে,নিপুণতা ,d
হাত গুটিয়ে বসে আছে কেন? বাক্যে 'হাত' শব্দটি কী অর্থে ব্যবহৃত হয়েছে?,আয়ত্তে আনা,হস্তচ্যুত হওয়া,কার্যে বিরতি,দক্ষতা,c
কারো কাছে হাত পাততে নেই' এখানে 'পাতা' কী অর্থে বুঝানো হয়েছে?,বিছানো,প্রতীক্ষা,তৈরি করা,চাওয়া,d
'হাতেখড়ি' কোন অর্থে ব্যবহৃত?,স্বহস্তে,বিদ্যারম্ভ,শেষ সম্বল,অবিলম্বে,b
'হাতটান' বাগধারাটির অর্থ-,কৃপণ স্বভাব,চুরির অভ্যাস,লম্বা হাত,টাকার অভাব,b
'হাতের পাঁচ'- এর সঠিক অর্থ কোনটি?,নিকট জন,পরমাত্মীয়,বন্ধু,শেষ সম্বল,d
'হাত কামড়ানো' বাগধারাটির অর্থ কী?,আফসোস করা,আঘাতের হুমকি দেয়া,চিন্তা করা,বদলা নেয়া,a
'নিখাদ' অর্থে 'কাঁচা' শব্দের ব্যবহার কোনটি?,কাঁচা ইট,কাঁচা চুল,কাঁচা কোথা,কাঁচা সোনা,d
'কাঁচা পয়সা' বাগধারাটি যে অর্থ প্রকাশ করে-,কালো টাকা,ধাতব মুদ্রা,নগদ উপার্জন,বিত্তের অহংকার,c
নিচের কোন শব্দটি 'দক্ষ' অর্থে ব্যবহৃত হয়েছে?,পাকা আম খেতে মিষ্টি,ছেলেটি অঙ্কে পাকা,পাকা সোনায় খাদ থাকে না,শাড়িটির রং পাকা,b
'বড় যদি হতে চাও ছোট হও তবে'- ব্যক্যটিতে ছোট শব্দটি কি অর্থে ব্যবহৃত?,নীচ,ইতর,নম্র,ক্ষুদ্র,c
এত অল্প টাকায় মাস চলবে না'- এই 'চলা' কোন অর্থ প্রকাশ করেছে?,সংকুলান হওয়া,প্রচলিত হওয়া,অবলম্বন করা,সময় দেওয়া,a
চুলায় দেওয়া'র বিশিষ্টার্থ-,পরিত্যাগ করা,সর্বনাশ করা,নিশ্চহ্ন করা,পোড়ানো,b
"""কর্মভোগ এড়ানো যায় না।"" এখানে 'কর্ম' কোন অর্থ প্রকাশ করছে?",পেশা,অনুষ্ঠান,কৃতকর্ম,কর্তব্য,c
কোন বাক্যে 'কথা' শব্দটি তুলনা অর্থে ব্যবহৃত?,সেঁজুতির সাথে আমার কথা নাই।,"তুমি ধনীর ছেলে, তোমার সাথে কার কথা।",আমাদের পাড়ায় একটি স্কুল খোলার কথা চলছে।,লোকটির যেই কথা সেই কাজ।,b
'জানুয়ারি' বানানে হ্রস্ব ই-কার হবার কারণ কোন শব্দের কারণে?,তৎসম,অ-তৎসম,সংস্কৃত,তদ্ভব,b
শুদ্ধ বানান কোনটি?,কাহিনী,কাহীনি,কাহীনী,কাহিনি,d
কোনটি শুদ্ধ বানান?,নিপিড়িত,নীপিড়িত,নিপীড়িত,নিপীড়ীত,c
নিচের কোন বানানটি শুদ্ধ?,প্রাণিজগৎ,প্রাণীজগৎ,মন্ত্রীসভা,স্থায়ীত্ব,a
কোনটি শুদ্ধ বানান?,প্রতিদ্বন্দী,প্রতিদন্দ্বি,প্রতিদ্বন্দ্বী,প্রতিদন্দী,c
কোন বানানটি শুদ্ধ?,অশরিরী,অশরিরি,অশরীরি,অশরীরী,d
সঠিক বানান কোনটি?,দধিচী,দধীচি,দধিচি,দধীচী,b
কোন বানানটি শুদ্ধ?,কনীনিকা,কনিনীকা,কণিনিকা,কনিনিকা,a
কোন বানানটি শুদ্ধ?,পিপিলিকা,পিপীলিকা,পীপিলিকা,পিপিলীকা,b
কোন বানানটি শুদ্ধ?,মরিচিকা,মরিচীকা,মরীচিকা,মরীচীকা,c
সম্বোধনে কোন বানানটি শুদ্ধ?,সুধী,সুধি,শুধি,শুধী,a
কোনটি শুদ্ধ?,সারথী,সারথি,সাড়থী,সাড়থি,b
কোন বানানটি শুদ্ধ?,উন্মিলন,উন্মিলণ,উন্মীলণ,উন্মীলন,d
কোন বানানটি শুদ্ধ?,মুহুর্মুহু,মূহুমুহু,মূহূর্মূহু,মূহুর্মূহু,a
কোনটি শুদ্ধ বানান?,নুনতম,ন্যুনতম,ন্যূনতম,নূন্যতম,c
কোন বানানটি শুদ্ধ?,উত্তরসুরী,উত্তরসূরি,উত্তরসুরি,উত্তরসূরী,b
কোন বানানটি শুদ্ধ?,জ্ঞানভুসিত,জ্ঞাণভুষিত,জ্ঞানভূষিত,জ্ঞাণভুসিত,c
কোনটি শুদ্ধ বানান?,বূৎপত্তি,ব্যূৎপত্তি,ব্যুৎপত্তি,বুৎপত্তি,c
নিচের কোন বানানটি শুদ্ধ?,মহত,মহত্ত্বর,মহত্ত,মাহাত্ম্য,d
কোনটি শুদ্ধ বানান?,প্রজ্বল,প্রোজ্জল,প্রোজ্বল,প্রোজ্জ্বল,d
কোনটি শুদ্ধ বানান?,রৌদ্রকরজ্জল,রৌদ্রকরোজ্জ্বল,রৌদ্রকরজ্জ্বল,রৌদ্রকরোজ্জল,b
কোনটি শুদ্ধ বানান?,সান্তনা,শান্তনা,সান্ত্বনা,শান্ত্বনা,c
কোনটি শুদ্ধ?,সত্তা,সত্ত্বা,স্বত্তা,সত্বা,a
কোনটি সঠিক?,ঋণগ্রস্থ,ঋনগ্রস্থ,ঋণগ্রস্ত,ঋনগ্রস্ত,c
কোনটি শুদ্ধ?,শ্বাস্বত,শাশ্বত,শ্বাশত,স্বাসত,b
কোন বানানটি শুদ্ধ?,জঞ্জাট,জঞ্ঝাট,ঝঞ্ঝাট,ঝঞ্জাট,c
কোনটি শুদ্ধ বানান?,স্বতঃস্ফূর্ত ,স্বতঃস্ফুর্ত,সত্বোস্ফুর্ত,সত্বোঃস্ফুর্ত,a
নিচের কোন বানানটি সঠিক?,স্বাক্ষরতা,সাক্ষ্যরতা,স্বাক্ষ্যরতা,সাক্ষরতা,d
কোন বানানটি শুদ্ধ-,সুষ্ঠ,সুষ্ঠু,ষুষ্ঠ,শুষ্ঠু,b
কোনটি শুদ্ধ বানান?,অদ্যপি,অদ্যাপি,অদ্যপী,অদ্যাপী,b
কোনটি নির্ভুল বাক্য?,আদ্যাবধি তার শারিরীক অবস্থার উন্নতি হয়নি,আদ্যবধি তার শারিরিক অবস্থার উন্নতি হয়নি,অদ্যবধি তার শারিরিক অবস্থার উন্নতি হয়নি,অদ্যাবধি তার শারীরিক অবস্থার উন্নত হয়নি,d
কোনটি শুদ্ধ বানান?,আদ্যোক্ষর,আদ্যাক্ষর,আদ্যক্ষর,আদ্যাখর,b
কোনটি শুদ্ধ বানান?,ব্যতীত,ব্যতিত,ব্যাতীত,ব্যাতিত,a
কোনটি শুদ্ধ বানান?,ব্যকুল,ব্যাকুল,ব্যাকূল,ব্যকূল,b
নিচের কোন বানানটি শুদ্ধ?,নভোচারী,নভশ্চারী,নভোশ্চারী,নভচারী,a
বিশুদ্ধ বানান কোনটি?,নৈঋত,নৈঝিত,নৈঋত,নৈহৃত,a
নিচের কোন শব্দটি শুদ্ধ?,বীকেন্দ্রিকরণ,বিকেন্দ্রিকরণ,বিকেন্দ্রীকরণ,বীকেন্দ্রীকরণ,c
কোনটি সঠিক?,ভদ্রোচিত,ভদ্রতচিত,ভদ্রচিত,ভদ্রাচিত,a
কোন বানানটি সঠিক?,মৃত্যুত্তীর্ণ,মৃত্যূত্তীর্ণ,মুত্যুত্তির্ণ,মৃতূত্তীর্ণ,a
কোনটি শুদ্ধ বানান?,প্রত্যুদ্‌গমন,প্রত্যুৎগমন,প্রত্যুতগমন,প্রত্যুগমন,a
কোন বানানটি সঠিক?,মনমুগ্ধকর,মনোমুগ্ধকর,মনঃমুগ্ধকর,মনোঃমুগ্ধকর,b
কোনটি শুদ্ধ?,দারিদ্র,দারিদ্রতা,দারিদ্র্য,দারিদ্র্যতা,c
'দারিদ্রতা' শব্দটি অশুদ্ধ কেন?,প্রত্যয়জনিত কারণে,উপসর্গজনিত কারণে,সন্ধিজনিত কারণে,কারকজনিত কারণে,a
উৎকর্ষতা' কি কারণে অশুদ্ধ?,সন্ধিজনিত,প্রত্যয়জনিত,উপসর্গজনিত,বিভক্তিজনিত,b
নিচের কোনটি অপ-প্রয়োগের দৃষ্টান্ত?,একক,একত্র,একাকিত্ব,একত্রিত,d
কোন বাক্যটি শুদ্ধ?,দৈন্য সর্বদা মহত্বের পরিচায়ক নয়,দৈন্যতা সর্বদা মহত্বের পরিচায়ক নয়,দৈন্য সর্বদা মহত্ত্বের পরিচায়ক নয়,দৈন্যতা সর্বদা মহত্ত্বের পরিচায়ক নয়,c
নিচের কোন বাক্যটি শুদ্ধ?,আবশ্যকীয় ব্যয়ে কার্পণ্য অনুচিত,আবশ্যক ব্যয়ে কার্পণ্য অনুচিত,আবশ্যকীয় ব্যয়ে কার্পন্য অনুচিত,আবশ্যক ব্যয়ে কার্পন্য অনুচিত,b
নিচের কোনটি বাহুল্য দোষে দুষ্ট?,স্বায়ত্তশাসন,একত্র,অধীনস্থ,অধস্তন,c
নিচের কোনটিতে বহুবচনের অপ-প্রয়োগ ঘটেছে?,সমুদয় পরীক্ষার্থীকে অভিনন্দন,ফুলদল দিয়ে কাটিয়া কি বিধাতা শাম্মাধলী তরুবরে?,ছেলেরা ফুটবল খেলেছে,সকল পন্ডিতের অহংকারী হন না,d
সকল ছাত্ররাই যথাসময়ে উপস্থিত হয়েছে।' - বাক্যটিতে কি ধরনের ভুল আছে?,বানান,পদ,বচন,বিভক্তি,c
কোনটি শুদ্ধ বাক্য?,প্রত্যেক শিক্ষকগণ অনুষ্ঠানে উপস্থিত থাকবেন,প্রত্যেক শিক্ষকগণ অনুষ্ঠানে উপস্থিত থাকবেন,প্রত্যেক শিক্ষকগন অনুষ্ঠানে উপস্থিত থাকিবেন,প্রত্যেক শিক্ষক অনুষ্ঠানে উপস্থিত থাকবেন,d
কোন বাক্যটি শুদ্ধ?,রহিমা পাগলি হয়ে গেছে,রহিমা পাগল হয়ে গেছে,রহিমা পাগলিনী হয়ে গেছে,রহিমা পাগলী হয়ে গেছে,b
নিচের কোন বাক্যটি শুদ্ধ?,সে এমন রূপসী যেন অপ্সরী।,সে এমন রূপবতী যেন অপ্সরা।,সে এমন রূপবতী যেন অপ্সরী।,সে এমন রূপসী যেন অপ্সরা।,b
শুদ্ধ বানান নির্ণয় করুনঃ,কল্যানীয়েসু,কল্যাণীয়েষু,কল্যাণিয়েসু,কল্যানিয়েসু,b
স্ত্রী জাতীয় কাউকে সম্বোধন করার সময় কোনটি ব্যবহার করতে হবে?,সুজনেষু,সৃজনেসু,সুজনীয়াসু,সুজনিয়াষু,c
নিম্নের কোন বাক্যটি সঠিক?,আমার কথাই প্রমান হলো,আমার কথাই প্রমাণ হলো,আমার কথাই প্রমাণীত হলো,আমার কথাই প্রমাণিত হলো,d
কোনটি শুদ্ধ বাক্য?,একটি গোপন কথা বলি,একটি গোপনীয় কথা বলি,এক গুপ্ত কথা বলি,একটি গোপনীয়তার কথা বলি,b
নিচের কোন বাক্যটি শুদ্ধ?,তিনি সস্ত্রীক শহরে থাকেন।,তিনি ও স্ত্রী শহরে থাকেন।,তিনি স্ব-স্ত্রীসহ শহরে থাকেন।,তিনি স্বস্ত্রীক শহরে থাকেন।,a
নিচের কোন বাক্যটি শুদ্ধ?,আপনি সপরিবারে আমন্ত্রিত,আপনি স্বপরিবারে আমন্ত্রিত,আপনি পরিবারবর্গসহ আমন্ত্রিত,আপনি আপনার পরিবারসহ আমন্ত্রিত,a
শুদ্ধ বাক্যটি দেখান?,তুমি কী আজ যাবে?,তুমি কি আজ যাবে?,তুমি কী অদ্য যাবে?,তুমি কী আজ যাইবে?,b
শুদ্ধ বাক্যটি নির্দেশ করুন -,বিরাট গরু-ছাগলের হাট,বিরাট গরু বিরাট ছাগলের হাট,গরু-ছাগলের বিরাট হাট,বিরাট গবাদি পশুর হাট,c
শুদ্ধ কোনটি?,অন্নাভাবে প্রতি ঘরে ঘরে হাহাকার,অন্নাভাবে প্রতি ঘরে হাহাকার,অন্ন অভাবে প্রতিটি ঘরে ঘরে হাহাকার,অন্ন অভাবে প্রতিটি ঘরে হাহাকার,b
কোনটি শুদ্ধ বাক্য?,অধ্যয়নই ছাত্রদের তপস্যা,অধ্যায়ন ছাত্রদের তপস্যা,অধ্যাপনাই ছাত্রদের তপস্যা,অধ্যাপনা ছাত্রদের তপস্যা,a
নিচের কোন বাক্যটি শুদ্ধ?,সূর্য পূর্বদিকে উদয়মান হয়,সূর্য পূর্বদিকে উদিয়ামান হয়,সূর্য পূর্বদিকে উদয় হয়,সূর্য পূর্বদিকে উদিত হয়,d
শুদ্ধ বাক্যটি নির্দেশ কর-,তাকে নির্বাচিত করা হয়নি,তাকে নির্বাচন করা হয়নি,তাকে নির্বাচনের সুযোগ হয়নি,তাকে নির্বাচনে আনীত হয়নি,a
জিম্মি' শব্দের কোন প্রয়োগটি শুদ্ধ?,দস্যুরা তাকে জিম্মি করে রেখেছে।,তুমি নিশ্চিন্তে আমার নিকট তোমার ছেলেকে জিম্মিরূপে রেখে যেতে পারো।,ওরা তাকে জিম্মি করে রেখে এখন তার ছেলের কাছে টাকা দাবি করেছে।,জিম্মি বালকটিকে ওরা হত্যা করে ফেলতে পারে,c
নিচের কোন বানানটি শুদ্ধ?,স্বাধীকার,বিবাদমান,তরুচ্ছায়া,ভূবন,c
নিচের কোন বানানটি শুদ্ধ?,শিরচ্ছেদ,পিপিলিকা,আদ্যন্ত,জগত,c
কোন শব্দটির প্রয়োগ শুদ্ধ?,লক্ষ্যণীয়,উপলক্ষ্য,সৌন্দর্যতা,সুবুদ্ধিমান,b
ভুল বানান কোনটি?,সায়ত্ত্বশাসন,সর্বস্বান্ত,মুমূর্ষু,শুশ্রূষা,a
কোন শব্দটি শুদ্ধ?,উদীচি,ঐক্যতা,ইয়াত্তা,কিঞ্চিৎ,d
নিচের কোন বানানটি অশুদ্ধ?,কার্য,অতঃপর,লজ্জাকর,উজ্জল,d
নিচের কোন শব্দটি শুদ্ধ?,কৌতুহল,কৌতূহল,কাংখিত,শ্রদ্ধাঞ্জলী,b
কোন বানানটি শুদ্ধ?,দিগ্‌ভ্রান্ত,পুরষ্কার,পুর্ণমুদ্রণ,ষ্টেশনারী,a
শুদ্ধ বানান কোনটি?,পরিষেবা,প্রজ্জ্বলন,উচ্ছাস,অগ্রহায়ন,a
শুদ্ধ বানান কোনটি?,নিরপরাধী,দারিদ্র্যতা,স্বার্থকতা,প্রাণিকুল,d
কোন শব্দটি শুদ্ধ?,বৈশিষ্ট্যতা,প্রবাহমান,প্রজ্বলিতা,ইতিমধ্যে,c
নির্ভুল বানান নয়-,নিবাত,পরিপক্ব,পল্লল,বন্দন,c
কোন শব্দটি ভুল?,মরূদ্যান,কটূক্তি,পরিপক্ব,অঞ্জলি,c
নিম্নের কোন বানানটি সঠিক?,বৈদ্যুতীকরণ,বৈদ্যুতিকরণ,বিদ্যুতকরণ,বিদ্যতিকরণ,b
নিচের কোন শব্দটি ভুল?,মূহুর্মুহূ,স্বায়ত্তশাসন,শ্রদ্ধাঞ্জলি,অভ্যন্তরীণ,a
কোনটি অশুদ্ধ বানান?,বাল্মীকি,সূচ্যগ্র,স্বত্ত্ব,সঙ্ঘ,c
নিচের কোন বানানটি অশুদ্ধ?,আয়ত্ত,কিংবদন্তি,দুর্গা,সূক্ষ,d
ভুল বানান কোনটি?,সমীচিন,শিহরন,দ্বন্দ্ব,জিগীষা,a
নিচের কোন বানানগুচ্ছ শুদ্ধ?,"দূরবীক্ষণ, পরিপক্ক","মরিচীকা, সমীচিন","বিভীষণ, মরূদ্যান","সান্ত্বনা, আয়ত্ব",c
নিম্নের কোন শব্দগুচ্ছের বানান শুদ্ধ?,"অঙ্গন, কস্তন","উজ্জ্বল, মূমুর্ষূ","বাণী, বীণা","স্বান্তনা, আয়ত্ব",c
নিচের কোন বানানগুচ্ছ শুদ্ধ?,"বাঙালি, গ্যাং, ঠান্ডা","মূর্চ্ছা, সঙ্গীত, প্রায়শঃ","মাষ্টারী, মূলো, কাহিনী","দায়িত্ত্ব, শংকা, সঙ্ঘটন",a
শুদ্ধ বানানের শব্দ গুচ্ছ-,"স্বায়ত্তশাসন, আভ্যন্তর, জন্মবার্ষিক","ভবিষ্যত, ভৌগলিক, যক্ষা","যশলাভ, সদ্যোজাত, সম্বর্ধনা","ঐক্যতান, কেবলমাত্র, উপরোক্ত",a
ঠিক শব্দগুচ্ছ হলো-,"শিহরন, দারুণ, দরুন","আশীষ, ইতোপূর্বে, শ্বাশুড়ি","গন্ডূষ, সায়াহ্ণ, ঈপ্সিত","ভষ্ম, পুস্পাঞ্জলি, দরিদ্রতা",a
নিচের কোন গুচ্ছে সব শব্দ শুদ্ধ?,"ঔষধ, বীণা, ত্রিনয়ণ","হরিণ, বন্ধন, লোনা","প্রান, খ্রিস্টান, শোনা","কন্ঠ, স্টেশন, জিনিষ",b
শুদ্ধ বানান গুচ্ছ-,"নির্ণিমেষ, গননা, আপরাহ্ন, সর্বাঙ্গীন","বিভীষিকা, আশীর্বাদ, শারীরিক, সমীচীন","অদ্ভুত, প্রত্যূষ, উদ্ভুত, নূপুর","পূর্বাহ্ন, পুরস্কার, দুর্বিষহ, অভিষেক",b
কোন ত্রয়ীর বানান শুদ্ধ?,"বিমর্ষ, মুমূর্ষ, সংঘর্ষ","সত্তেও, সাত্বিক, সত্তা","বিঘুর্ণন, বিঘোষণ, বিমর্দণ","জায়মান, জম্বুবান, ভ্রাম্যমান",a
কোন বানানগুচ্ছ শুদ্ধ?,"বৈরি, কর্মজীবি, মার্তন্ড","স্তপ, দেশসুদ্ধ, কূটনৈতিক","পুনর্বাসন, জ্বলোচ্ছাস, দীর্ঘমেয়াদি","গুঞ্জুরণ, খ্রিস্টান, আদ্যাপান্ত",b
কোন বানানগুচ্ছ শুদ্ধ?,"উৎকর্ষতা, আত্মসাৎ, আদ্র","অভ্যন্তরীণ, আয়ত্বধীন, অতীন্দ্রিয়","কৌতূহল, কৃচ্ছ্রসাধন, ক্বচিৎ","অনুষঙ্গ, অঙ্গীভূত, অলঙ্ঘনীয়",c
নিচের কোন বানানগুচ্ছ সঠিক?,"মূহর্মূহু, ব্যাত্যয়, মৃত্যৃত্তীর্ন","মুহুর্মুহু, ব্যত্যয়, মৃত্যুত্তীর্ণ","মুহর্মুহু, ব্যত্যয়, মৃত্যূত্তীর্ন","মূহুর্মূহু, ব্যাতয়, মৃত্যুত্তীর্ন",b
শুদ্ধ বানানের গুচ্ছ কোনটি?,"শিরশ্ছেদ, দরিদ্রতা, সমীচীন","শিরোশ্ছেদ, দারিদ্র্য, সমীচিন","শিরঃশ্ছেদ, দরিদ্রতা, সমিচীন","শিরচ্ছেদ, দরিদ্রতা, সমীচীন",a
নিচের কোন বানানগুচ্ছের সবগুলো বানানই অশুদ্ধ?,"নিক্কণ, সূচগ্র, অনুর্ধ্ব","অনূর্বর, ঊর্ধ্বগামী, শুদ্ধ্যশুদ্ধি","ভূরিভূরি, ভুঁড়িওয়ালা, মাতৃষ্বসা","রানি, বিকিরণ, দুরতিক্রম্য",a
নিচের কোনটি চলিত রীতির শব্দ?,তুলা,শুকনো,পড়িল,সহিত,b
ইহা' এর চলিত রূপ কোনটি?,এটি,একে,উহা,এ,d
বন্য' শব্দটির চলিত রূপ কোনটি?,বন্যে,বুনো,বনো,বন্য,b
নিচের কোনটি সাধু রীতির উদাহরণ?,"হইল, তারা","তুলা, বন্য","শুষ্ক, মাথা","তাঁরা, ওকে",b
চকিত হইয়া' শব্দটির চলিত রূপ-,চকিত হয়ে,চকিত হইয়া,চকিতে,চমকে,d
খাওইয়াছিলাম' সাধু ক্রিয়াপদের চলিত রূপ-,খাইছিলাম,খাচ্ছিল,খেয়েছিল,খাইয়েছিল,d
পার হইয়া' এই ক্রিয়া পদের সাধু রূপটি চলিত রূপে রূপান্তর করলে হবে-,পার হয়ে,পারায়ে,পেরিয়ে,পার হইয়ে,c
কিয়ৎক্ষণ' শব্দের সঠিক চলিত রূপ কোনটি?,কিছুক্ষণ,কিছু সময়ে,কয়েকক্ষণে,কয়েক মুহূর্ত,a
লম্ফ প্রদান করিল'- এর চলিত রূপ কোনটি?,লম্ফ দিল,লম্ফ প্রদান করিল,লাফ প্রদান করিল,লাফ দিল,d
চলিত রীতিতে কোন শব্দটি ব্যবহৃত হয় না?,তুলা,ওরা,হলেন,তিনি,a
নিচের কোনটি সাধু রীতির উদাহরণ?,তখন গভীর ছায়া নেমে আসে সর্বত্র,তখন গভীর ছায়া নামিয়া আসিল সবখানে,তখন গভীর ছায়া নামিয়া আসে সর্বত্র,তখন গভীর ছায়ায় সর্বত্র ঢেকে গিয়েছে,b
কোন বাক্যে সাধু ও চলিত রীতির মিশ্রণ ঘটেছে?,পাখি সব করে রব,উদ্ভিদের প্রাণ আছে,অতঃপর তারা চলিয়া গেল,ধূমপান স্বাস্থের পক্ষে ক্ষতিকর,c
সাধু ভাষার কোন বাক্যটি শুদ্ধ?,এখানে সে ফিরে আসেনি,সে আসিবে বলিয়া ভরসাও করিতেছি না,তিনি মূর্ছিত হয়ে পড়েছেন,তুমি তার কথা বিশ্বাস করো না,b
এইরূপ সাদৃশ্য অনেক চক্ষে পড়িবে'- এর চলিতরূপ লিখুন,এ রকম সাদৃশ্য অনেক চোখে পড়বে,এইরূপ সাদৃশ্য অনেকগুলো চোখে পড়বে,এরকম সাদৃশ্য অনেকগুলি চোখে পড়বে,এ রকম সাদৃশ্য অনেকগুলো চোক্ষে পড়বে,a
কোনটি একাক্ষর শব্দ?,কাকা,চাচা,ভাই,বোনাই,c
অক্ষর উচ্চারণের কাল পরিমানণকে কী বলে?,ধ্বনি,যতি,মাত্রা,ছেদ,c
যে ছন্দে যুক্তধ্বনি সব সময় একমাত্র হিসেবে গণনা করা হয় তাকে কি ধরনের ছন্দ বলে?,স্বরবৃত্ত,পয়ার,মাত্রাবৃত্ত,অক্ষরবৃত্ত,a
