question,a,b,c,d,answer
'রবির করে অন্ধকার দূরীভুত হয়।' এ বাক্যে 'করে' শব্দের অর্থ-,কাজ,কিরণ,হাত,প্রভাব,b
'কিরণ' এর সমার্থক শব্দ নয়-,রশ্মি,রবি,কর,প্রভা,b
'অংশু' শব্দের প্রতিশব্দ নয় কোনটি?,ঝটিকা,শিখা,কর,প্রভা,a
'কোকিল' শব্দের সমার্থক শব্দ কোনটি?,অসূয়া,নিশাকর,তিলক,কাকপুষ্ট,d
'কোকিল' এর সঠিক প্রতিশব্দ কি?,করী,কুণ্ডল,কলকন্ঠ,বিভা,c
'অন্যপুষ্ট' কোন পাখিকে বলা হয়?,কাক,কোকিল,কবুতর,ময়না,b
'পরভৃত' এর সমার্থক শব্দ কোনটি?,প্রভূত্ব,পরাজিত,কাক,কোকিল,d
'পরভৃত' শব্দের সমার্থক শব্দ কোনটি?,পিক,ধেনু,বিভব,অম্বু,a
'কোকিল' শব্দটির কোনটি প্রতিশব্দ নয়?,মধুসখ,মধুস্বর,বায়স,বসন্তদূত,c
কোন শব্দটি 'কটি'- এর সমার্থক নয়?,কোমর,কাঁচুলি,মাজা,কাঁকাল,b
'কুহক'-শব্দের সমার্থক শব্দ কোনটি?,কুহেলি,ভুম,ঋষি,মায়া,d
'কুহক' এর সমার্থক শব্দ -,কুসংস্কার,অলীক,ইন্দ্রজাল,কথন,c
'ইন্দ্রজাল' শব্দের সমার্থক শব্দ-জোড় কোনটি?,"ইন্দ্রিয়, জাদু","কুহক, মায়া","জাদু, দ্যুতি","ভেলকি, ক্ষোপ",b
কোন শব্দটি 'কুহক'- এর সমার্থক নয়?,মায়া,ভেল্কি,বিরাগ,ছলনা,c
'পরভৃৎ' শব্দের অর্থ-,কাক,কোকিল,বক,আম্র,a
'বায়স' শব্দের অর্থ-,শিয়াল,বৃদ্ধ,কাক,বুদ্ধিমান,c
'কথা' এর সমার্থক শব্দ কোনটি?,তনয়া,বচন,খাদক,পিক,b
'জব' শব্দের অর্থ-,গতিবেগ,শস্যবিশেষ,জবান,নাম জপ করা,c
'কবুতর' এর প্রতিশব্দ কোনটি?,মন্দ,ললাট,পারাবাত,লহণ,c
'পায়রা'র সমার্থক শব্দ কোনটি?,কুড়া,কপোত,কদলী,কোকিল,b
'কুল' শব্দের সমার্থক শব্দ কোনটি?,গোত্র,কিনারা,তীর,তট,a
কোনটি 'কুল' শব্দের প্রতিশব্দ নয়?,জাতি,প্রবর,অবধি,গোত্র,c
কোনটি 'কূল' শব্দের প্রতিশব্দ নয়?,তীর,তট,কুন্তল,অবধি,c
'কূল' এর সমার্থক শব্দ নয় কোনটি?,পুলিন,ধার,তট,বিভা,d
'কপোল' শব্দের অর্থ কি?,গণ্ডদেশ,ললাট,চিবুক,কপাল,a
নিচের কোন শব্দটি 'কপাল'-এর সমার্থক?,কপোল,ললাট,মস্তক,কাপালিক,b
'কপাল' শব্দের সমার্থক শব্দ-,চিকুর,ভাল,কপোল,খুলি,b
'চুল' এর সমার্থক শব্দ কোনটি?,লোচন,কুন্তল,ঊষসী,ঊর্ণা,b
'চুল' শব্দের সমার্থক শব্দ কোনটি?,লোচন,শৈল,শম্ভু,চিকুর,d
'কুন্তল' শব্দটির সমার্থক শব্দ কোনটি?,কোপত,কৌদুমী,চিকুর,আত্মজা,c
'চিকুর' এর সমার্থক শব্দ কোনটি?,অলক,অম্বর,শ্রবণ,অচল,a
'অলক' শব্দের অর্থ কি?,দুল,ফুল,কুল,চুল,d
'চিকুর' এর প্রতিশব্দ নয় কোনটি?,কর,কুন্তল,চুল,কেশ,a
'চুল' অর্থে কোন শব্দটি সমার্থক নয়?,অলক,কুন্তল,চিকুর,তনু,d
'কলহ' শব্দের প্রতিশব্দ নয় কোনটি?,ঝগড়া,বিবাদ,কাটরা,কোন্দল,c
'কোরক' শব্দের সমার্থক শব্দ কোনটি,কৃতকর্ম,কুঁড়ি,কড়ি,কুহক,b
'খড়গ'-এর সমার্থক শব্দ নয়-,অসি,চাকু,কৃপাণ,তরবারি,b
'ওঁচা' শব্দের অর্থ-,নাক উঁচু,অতিরিক্ত লম্বা,নিকৃষ্ট,উচ্চ শ্রেণির,c
নিচের কোনটি 'গর্জন' এর সমার্থক শব্দ নয়?,নিনাদ,চিৎকার,কলহ,শোর,c
'ঘর' শব্দের সমার্থক শব্দ কোনটি?,সদন,দহন,আপন,বহন,a
'সদন' শব্দের অর্থ কি?,সাদা,নিবাস,প্রথা,আদি,b
'ঘর' শব্দটির সমার্থক নয় কোনটি?,বাটী,সদন,আগার,ক্ষিতি,d
কোনটি 'নিকেতন' শব্দের প্রতিশব্দ নয়?,গৃহ,আগার,নিবিড়,বাটী,c
'ধেনু' শব্দের সমার্থক শব্দ-,গরু,দড়ি,ধনু,তীর,a
কোন শব্দটি ঘোড়ার সমার্থক?,তুরঙ্গ,ভূজঙ্গ,কুরঙ্গ,বিহঙ্গ,a
'ঘোটক' শব্দের অর্থ কি?,ঘটক,ঘোড়া,উপদেশ,গতি,b
'তুরাগ' কোন শব্দের প্রতিশব্দ?,হাতি,ছোটনদী,অশ্ব,মহিষ,c
'অশ্ব'-এর প্রতিশব্দ?,কয়,হয়,জয়,পয়,b
নিচের কোন জোড় সমার্থক শব্দের দৃষ্টান্ত?,"হয়, বাজী","রওশন, আসমান","সওদা, জবান","লোচন, চিকুর",a
'ঘোরা' এর সমার্থক শব্দ নয় কোনটি?,অশ্ব,ঘোটক,তুরাগ,গর্দভ,d
কোনটি 'ঘোটক' শব্দের প্রতিশব্দ নয়?,ঘোড়া,হিমকর,তুরঙ্গ,বাজী,b
'অশ্ব' শব্দের প্রতিশব্দ নয় কোনটি?,ঘোড়া,ঘোটক,তুরঙ্গ,বিভা,d
'চাঁদ' এর সমার্থক শব্দ কোনটি?,শশী,পত্রগ,অরুণ,বহ্নি,a
'চাঁদ' এর সমার্থক শব্দ-,যামিনী,বিধু,তটিনী,ঊর্মি,b
'চাঁদ' শব্দের সমার্থক শব্দ কোনটি?,চন্দ্রিকা,কৌমুদী,চাঁদিনী,নিশাপতি,d
'চাঁদ' এর সমার্থক শব্দ-,ভানু,নিশীথীনী,কোমলকান্ত,রজনীকান্ত,d
কোনটি চাঁদের সমার্থক শব্দ?,হিমাংশু,সবিতা,চিকুর,শৈল,a
কোন গুচ্ছ 'চন্দ্র'- এর সমার্থক শব্দ?,"রাতুল, কৌমুদি","সিন্ধু, অর্ণব","শশধর, নিশাকর","তুরঙ্গ, বাজী",c
'শশাঙ্ক' শব্দের সঠিক অর্থ কোনটি?,খরগোস,সমুদ্র,সূর্য,চাঁদ,d
চন্দ্র এর প্রতিশব্দ কোনটি?,আদিত্য,মার্তণ্ড,সবিতা,সুধাংশু,d
'মৃগাঙ্ক' শব্দটির অর্থ হলো-,হরিণ শিশু,চন্দ্র,চিত্রা হরিণ,হরিণ শিকার,b
'চন্দ্র' শব্দের সমার্থক শব্দ কোনটি?,সোম,ভূষণ,নকশা,নভঃ,a
'সুধাকর' শব্দের অর্থ কি?,চন্দ্র,সূর্য,মধূ,মিষ্টি,a
'হেলাল' শব্দের সমার্থ-,রাকা,আদিত্য,অংশুমান,ফাল্গুনী,a
কোনটি চাঁদের সমার্থ শব্দ নয়?,রজনীকান্ত,ইন্দু,শীতকর,সবিতা,d
কোনটি 'চন্দ্র' শব্দের প্রতিশব্দ নয়?,অর্ক,শশধর,হিমাংশু,সুধাকর,a
'চন্দ্র' এর সমার্থ শব্দ নয়-,অদ্রি,হিমকর,নিশাকর,চাঁদ,a
'কৌমুদী' শব্দের প্রতিশব্দ হলো-,চাঁদ,জ্যোৎসা,পদ্মফুল,মুকুল,b
চোখের প্রতিশব্দ নয় কোনটি?,নয়ন,লোচন,সলিল,অক্ষি,c
কোন শব্দটি 'চক্ষু'- এর সমার্থক নয়?,নেত্র,নিবিড়,আঁখি,লোচন,b
'চোখে' এর প্রতিশব্দ নয় কোনটি?,বারি,চক্ষু,নয়ন,লোচন,a
'পানির' সমার্থক শব্দ কোনটি?,বারি,কেকা,সম্বর,সারঙ্গ,a
'পানি'র প্রতিশব্দ কোনটি?,ইরা,মহি,ধাবা,ধরা,a
'পানি'- এর সমার্থক শব্দ কোনটি?,উদক,অরুণ,পত্রক,অরোরা,a
'উদক'- শব্দটির সমার্থক শব্দ কোনটি?,গগন,সূর্য,জল,ঘাস,c
'জল' শব্দের সমার্থক শব্দ কোনটি?,অম্বু,সরিৎ,তড়িত,নিম্ব,a
'সলিল' শব্দের সমার্থক কোনটি?,দরিয়া,অবধি,উদক,পাবক,c
'অপ' শব্দের সমার্থক শব্দ কোনটি?,দরিয়া,লোচন,পবন,নীর,d
কোনটি 'পানি' শব্দের সমার্থক শব্দ নয়?,কাণ্ডার,বারি,বারুণ,ইরা,a
'ঢেউ' শব্দের প্রতিশব্দ কোনটি?,বারি,অম্বু,বীচি,বারিধি,c
'ঢেউ' শব্দের সমার্থক কোনটি?,প্রবাহ,উৎক্ষেপ,গর্জন,লহরি,d
'ঊর্মি' শব্দের সমার্থক শব্দ কোনটি?,ঢেউ,সোজা,অসংহত,ঋজু,a
'বীচি' শব্দের সমার্থক শব্দ-,অঙ্কুর,তরঙ্গ,নদী,আঁটি,b
'কল্লোল' শব্দটির অর্থ কি?,ঢেউ,গাল,চিবুক,কান,a
সমার্থক শব্দগুচ্ছ নির্ণয় করুন-,"পিক, কলকন্ঠ, পারাবত","কজ্জল, অঞ্জল, মালিন্য","অলিক, অদৃষ্ট, কপোল","ঊর্মি, বীচি, হিল্লোল",d
'ঊর্মি' শব্দের সমার্থক নয় কোনটি?,হিল্লোল,কল্লোল,লহরি,অলক,d
'ঢেউ' এর সমার্থক শব্দ নয়-,তরঙ্গ,ঊর্মি,বারিধি,বীচি,c
'খগ' শব্দটির অর্থ কী?,ঘোড়,বাঘ,পাখি,মানুষ,c
'দ্বিজ' শব্দটির প্রতিশব্দ কোনটি?,পাখি,পাথর,করী,কুবলয়,a
'বিহঙ্গ' শব্দের অর্থ কী?,পর্বত,নদী,পাখি,সমুদ্র,c
'পাখি' শব্দের সমার্থক শব্দ নয় কোনটি?,বিহগ,গরুড়,পৃপ,বিহঙ্গ,c
'বিহগ' এর সমার্থক শব্দ নয় কোনটি?,প্রসূন,খগ,পাখি,খেচর,a
'পাখি' শব্দের সমার্থক নয়-,পন্নগ,বিহগ,খগ,খেচর,a
'তাত' শব্দের অর্থ কী?,পিতা,যন্ত্রবিশেষ,তত্ত,গাছবিশেষ,a
কোনটি 'পুত্র' শব্দের সমার্থক?,আত্মজা,দুলাল,জনক,সুহৃদ,b
'নন্দন' শব্দের অর্থ কোনটি?,বাতাস,ছেলে,নতুন,নীল,b
কোন শব্দটি 'পুত্র' শব্দের সমার্থক বা প্রতিশব্দ নয়?,আত্মজ,তনয়,নন্দন,শৈল,d
'গহ্বর' শব্দের অর্থ কী?,খবর,বিবর,মর্মর,বর্বর,b
'জলাশয়' শব্দের সমার্থক শব্দ হচ্ছে-,সরোবর,জলধর,অম্বু,সলিল,a
'পতাকা' এর সমার্থক শব্দ কোনটি?,কেতন,মার্গ,নলিন,ভাজন,a
'দামিনী' শব্দের অর্থ কী?,রাত্রি,ধরিত্রী,বিদ্যুৎ,জলধি,c
'বিদ্যুৎ'- এর সমার্থক শব্দ-,মরুৎ,শম্পা,ময়ূখ,ছটা,b
'বিদ্যুৎ' এর সমার্থক শব্দ-,অনিল,চপলা,কান্তার,শঙ্কা,b
'বিদ্যুৎ' শব্দের সমার্থক শব্দ-,প্রভাকর,সুধাকর,ক্ষণপ্রভা,দ্রুম,c
সমার্থক শব্দ-,"সিন্ধু, তটিনী","নিলয়, বিলয়","চঞ্চলা, চপলা","ক্ষিতি, দিতি",c
'পায়জার' এর সমার্থক শব্দ কোনটি?,ছুতার,পাদুকা,উন্মাদ,দাঁড়িপাল্লা,b
'পৃথিবী' শব্দের সমার্থক শব্দ কোনটি?,তটিনী,অখিল,স্থির,অতিকায়,b
পৃথিবী'র সমার্থক শব্দ কোনটি?,অচল,অদ্রি,ভূধর,অবনি,d
পৃথিবী'র সমার্থক শব্দ-,ক্ষিতিধর,বিসজ,ক্ষিতি,অচল,c
কোনটি 'পৃথিবী' শব্দের সমার্থক শব্দ?,বসুধা,সবিতা,মিহির,ভূধর,a
'মহি' শব্দের অর্থ-,রাত,মাতা,ধরা,শিলা,c
'ক্ষিতিতল' শব্দের অর্থ কী?,কেঁচো,লাঙ্গল,ভূতল,নভোতল,c
'বসুমতী' শব্দটির একার্থক কোনটি?,পত্রিকা,পার্থিব,সুমতি,মেদিনী,d
'বসুমতী' শব্দটির সমার্থক কোনটি?,ফুল,নগ,গিরি,ধরিত্রী,d
'অদিতি' শব্দের সমার্থক শব্দ নয় কোনটি?,নীর,পৃথ্বী,ক্ষিতি,অবনি,a
'পৃথিবী' শব্দের প্রতিশব্দ নয় কোনটি?,ভূধর,অবনি,ধরিত্রী,ধরনী,a
'পৃথিবী' এর প্রতিশব্দ নয়-,পৃথ্বী,মেদিনী,প্রাণদ,ধরিত্রী,c
নিচের কোনটি 'পৃথিবী' শব্দের প্রতিশব্দ নয়?,মহি,বসুধা,মহিধর,উর্বী,c
'পৃথিবী' এর সমার্থক শব্দ নয়-,বসুন্ধরা,ধরণী,যামিনী,অবনি,c
কোনটি 'পৃথিবী' শব্দের সমার্থক নয়?,অবনি,বসুমতী,জলদ,ভুবন,c
নিচের কোনটি পৃথিবীর সমার্থক শব্দে নয়?,অবনি,বসুধা,অচল,নবনী,d
'পথ' শব্দের সমার্থক শব্দ কোনটি?,সরণি,সমরণি,স্বরণী,সরনি,a
'অয়ন' শব্দের অর্থ কি?,পথ,সাপ,চাঁদ,তরংগ,a
'মর্গ' শব্দের অর্থ-,পথ,জ্ঞান,ধর্ম,পথিক,a
'পর্বত' এর প্রতিশব্দ কোনটি?,অদ্রি,অশ্ম,ক্ষিতি,অংশু,a
'পর্বত' এর প্রতিশব্দ কোনটি?,তুরাগ,ভুজ,আগার,নগ,d
'পর্বত' এর সমার্থক কোনটি?,মরুৎ,শীর্ষদেশ,গজানন,ক্ষিতিধর,d
'পর্বত' শব্দটির সমার্থক শব্দ কোনটি?,নিকর,উৎফল,হিমানী,শৈল,d
'পর্বত' এর প্রতিশব্দ-,বসুমতী,অবনি,ক্ষেতী,ভূধর,d
'পর্বত' এর সমার্থক শব্দ কোনটি?,অচল,সরোজ,কমল,বিহঙ্গ,a
'পর্বত' শব্দের সমার্থক শব্দ কোনটি?,সরোজ,মহিধর,বৈভব,উদক,b
'নগ' শব্দের অর্থ-,সাপ,হাতি,পর্বত,আগুন,c
'পর্বত' এর সমার্থক শব্দ নয় কোনটি?,শৈল,মহিধর,মেদিনীধর,তামর,d
'পর্বত' এর সমার্থক শব্দ নয় কোনটি?,অচল,ভুধর,অদ্রি,উপল,d
'পর্বত' শব্দের সমার্থক শব্দ নয় কোনটি?,অদ্রি,নগ,বিধু,শৈল,c
কোনটি 'পর্বত' শব্দের সমার্থক নয়?,অদ্রি,মহিধর,নগ,করী,d
'পর্বত'- এর সমার্থক নয় কোনটি?,অদ্রি,গিরি,মার্তণ্ড,ভূধর,c
'পঙ্কজ' এর প্রতিশব্দ হলো-,পাঁক,উৎপল,তটিনী,শৈল,b
'রাজীব' শব্দের প্রতিশব্দ-,কমল,কলকন্ঠ,মনোজ,মদন,a
পদ্মের সমার্থক শব্দ কোনটি?,মনসিজ,জলধর,অরবিন্দ,অঞ্জন,c
'পদ্ম' এর সমার্থক শব্দ কোনটি?,কুমুদ,শতদল,প্রসূন,জলধি,b
'কোকনদ' এর সমার্থ শব্দ-,গোলাপ,টগর,শাপলা,পদ্ম,d
'সরোজ'-এর প্রতিশব্দ কোনটি?,পদ্ম,চাঁদ,নদী,সৌধ,a
'পদ্ম' শব্দের সমার্থক শব্দ কোনটি?,নগ,শম্পা,নলিনী,অরতি,c
'কমল' শব্দের সমার্থক শব্দ হচ্ছে-,কান্তার,লহর,পুষ্কর,আস্তর,c
'অন্তোজ' শব্দের সমার্থক শব্দ কোনটি?,ভূভৃৎ,পাখি,কুবলয়,বায়স,c
সমার্থক শব্দগুচ্ছ নির্দেশ কর।,"রামা, বামা, ধামা, কামিনী","পঙ্কজ, উৎপল, শতদল, অরবিন্দ","ঘন, বারিদ, জলধর, তরল","ক্ষণপ্রভা, সৌদামিনী, চপল, তরঙ্গিনী",b
কোন শব্দটি 'পদ্ম'- এর সমার্থক নয়?,ধরা,নলিনী,তামরস,কমল,a
'পদ্ম' ও 'পুষ্প' শব্দের সমার্থক শব্দ কোনগুলো?,"অরবিন্দ, প্রসূন","কমল, শিতাংশু","নলিনী, শশধর","ফুল, কামিনী",a
কোন শব্দটি 'পেষণ' - এর সমার্থক নয়?,দলন,মর্দন,নিসর্গ,বাটা,c
ভ্রমণকারীর'র সঠিক সমার্থক শব্দ নয় কোনটি?,ভ্রামক,পর্যটক,পরিব্রাজক,ভ্রমিক,a
'পাথর' শব্দটির প্রতিশব্দ নয় কোনটি?,অশ্ম,মণি,পাষাণ,নগ,d
প্রসূন-এর প্রতিশব্দ হলো-,ভ্রমর,পল্লী,ফল,পুষ্প,d
'পুষ্প'-এর সমার্থ শব্দ নয়-,ফুল,কুসুম,অবনি,প্রসূন,c
কোনটি 'বন' শব্দের প্রতিশব্দ নয়?,গহন,কানন,অটবি,বিটপী,d
কোনটি বন- এর প্রতিশব্দ নয়?,অটবি,বনানী,বিপিন,সরোজ,d
'বৃক্ষ' এর সমার্থক শব্দ কোনটি?,নীরধি,কপালি,বিটপী,অবনি,c
'বৃক্ষ' এর সমার্থক শব্দ কোনটি?,সম্পা,অম্বু,দ্রুম,অভ্র,c
'বৃক্ষ' শব্দটির সমার্থক শব্দ কোনটি?,অরবিন্দু,নিকেতন,মহিরুহ,কবরী,c
'বৃক্ষ' শব্দের সমার্থক নয় কোনটি?,তরু,বিটপী,কানন,মহিরুহ,c
কোন শব্দটি 'বৃক্ষ' শব্দের প্রতিশব্দ নয়?,অটবি,কলাপী,পল্লবী,বিটপী,b
'বৃক্ষ' শব্দের সমার্থক শব্দ নয় কোনটি?,বিটপী,শিখরী,বনানী,পাদপ,c
নিচের যেটি বৃক্ষের শব্দের সমার্থক শব্দ নয়?,পাদপ,উদক,বিটপ,অটবি,b
'অটবি' এর সমার্থক শব্দ কোনটি?,তরু,অরুণ,নীরদ,কুঞ্জ,d
'বায়ু' শব্দের সমার্থক শব্দ কোনটি?,বাত,অলি,বলাহক,বারি,a
'বায়ু' শব্দের অর্থ-,প্রভা,ভানু,সমীকরণ,পাবক,c
'বাতাস' এর প্রতিশব্দ কোনটি?,প্রভঞ্জন,অপ,অম্বু,অদ্রি,a
'গন্ধবাহ' শব্দের সমার্থক শব্দ কোনটি?,ভূধর,মহোদর,শিখা,বাতাস,d
'পবন' শব্দের সমার্থক শব্দ -,পাবক,সমীরণ,ভানু,প্রভা,b
'সমীর' শব্দের অর্থ কি?,সমুদ্র,কুয়াশা,উত্তরীয়,বাতাস,d
'মরুৎ' শব্দের সমার্থক শব্দ -,পানি,বাতাস,মাটি,মরূদ্যান,b
কোনটি 'বায়ু' শব্দের প্রতিশব্দ নয়?,বাতাস,সমীর,পবন,নীরদ,d
'বাতাস' এর সমার্থক শব্দ নয়-,পবন,অনিল,প্রসূন,বায়ু,c
কোনটি 'বাতাস' শব্দের সমার্থক নয়?,পাবক,মরুত,পবন,অনিল,a
কোনটি 'বাতাস' এর প্রতিশব্দ নয়?,অনিল,পবন,অর্ণব,হাওয়া,c
কোনটি 'বিবাহ' শব্দের প্রতিশব্দ নয়?,পরিণয়,পাণিগ্রহণ,পাণিপীড়ন,পাণিপ্রার্থী,d
'ঘাঘু' শব্দে বোঝায়?,অভিজ্ঞ,দুর্বৃত্ত,গোঁয়ার,সর্বাঙ্গে ঘা,a
'ভ্রমর' শব্দের সমার্থক শব্দ কোনটি?,মধুকর,দেবালোক,প্রভঞ্জন,ক্ষণপ্রভা,a
'শিলামুখী' শব্দের প্রতিশব্দ কোনটি?,ভ্রমর,গুহা,চুলো,তীক্ষ্মপাথর,a
'ভৃঙ্গ' এর শব্দার্থ-,ভঙ্গুর,ভ্রমর,ভুজঙ্গ,গাড়ু,b
'ভ্রমর' অর্থে কোনটি শুদ্ধ নয়?,মধুলেহ,ভোমরা,মৌমাছি,মধুময়,d
নিচের কোনটি 'ময়ুর' শব্দটির সমার্থক?,কলাপী,বনিতা,শিলীমুখ,দ্বিজ,a
'শিখণ্ডী' শব্দের অর্থ কী?,কবুতর,কোকিল,খরগোশ,ময়ূর,d
কোনটি 'মেঘ' শব্দের সমার্থক শব্দ?,বারিদ,অম্বু,অনিল,ভূধর,a
নিচের কোনটি 'মেঘ' শব্দের সমার্থক শব্দ?,জলজ,ক্ষণপ্রভা,কুরুচি,জলদ,d
'মেঘ' শব্দের সমার্থক শব্দ কোনটি?,অম্বুদ,ভূধর,শূন্য,নীর,a
'মেঘ'- এর প্রতিশব্দ-,ঘন,পরবন,অম্বু,জলধি,a
