question,a,b,c,d,answer
যা ক্ষমার অযোগ্য,ক্ষমিয়,ক্ষমার্য,ক্ষমা,ক্ষমাপ্রদ,b
'পান করার যোগ্য'- এর এক কথায় কি হবে?,পিপাসা,পিপাসা,তৃষ্ণা,পেয়,d
'যা চেটে খেতে হয়' তা হল-,চর্ব,চোষ্য,লেহ্য,পেয়,c
'কথায় বর্ণনা করা যায় না যা'- এ বাক্যের সংক্ষিপ্ত রূপ কি?,বর্ণনাতীত,অনির্বচনীয়,অবর্ণনীয়,নির্বচনীয়,b
সঠিক বাক্য সংকোচন 'বাচাল' এর পুরো বাক্য কোনটি?,যেখানে বেশি বলা হয়েছে,যে বেশি কথা বলে,বেশি গল্প বলে,যেখানে বেশি লোক আছেন,b
'যিনি অধিক কথা বলেন না' - এক কথায় কি হবে?,সংযত,মিতভাষী,অল্পভাষী,সন্ন্যাসী,b
'যা বলা উচিত নয়'- কোন শব্দে বিধৃত?,কুকথ্য,অকথ্য,অসত্য,অযোগ্য,b
'যা বলা হয়নি' - এক কথায় হবে-,অবহিত,অনুক্ত,অবাচ্য,অনুল্লেখ,b
যা বলা হবে - এর বাক্য সংকোচন কোনটি?,উক্ত,বক্তব্য,ভবিতব্য,অনুমিত,b
জন্মহীন-মৃত্যুহীন-,আমৃত্যু,অজ,অজেয়,অয,b
'শুভক্ষণে জন্ম যার' - বাক্যটিকে এককথায় কি বলে?,শুভজন্মা,ক্ষণজন্মা,বৃহস্পতিতে জন্ম,সুভক্ষণা,b
'পূর্বের জন্মের কথা স্মরণ আছে যার' এককথায় বলা হয়-,পূর্বসুরী,জাতিস্মর,পান্ডিতস্য,তীক্ষ্মধী,b
যে ভূমিতে ফসল জন্ময় না- এক কথায় কি হবে?,পতিত,বন্ধ্যা,অনুর্বর,ঊষর,d
যা কোথাও উঁচু কোথাও নিচু-,বন্ধুর,বর্ধিষ্ণু,প্রত্যুদ্‌গমন,মেদুর,a
জয়ের জন্য যে উৎসব' - এক কথায় কি হবে? ,বিজয়জয়ন্তী,জয়ন্তী,জয়ান্তী,বিজয় উৎসব,b
সুবর্ণ জয়ন্তী কত বছর পূর্তিতে পালিত হয়?,২৫ বছর,৫০ বছর,৬০ বছর,৭৫ বছর,b
হীরক জয়ন্তী কত বছরে অনুষ্ঠিত হয়?,৫০ বছর,৬০ বছর,৮০ বছর,৭৫ বছর,b
'আমার তুল্য' এর বাক্য সংকোচন-,ঈদৃশ,তাদৃশ,মাদৃশ,তিদৃশ,c
দিবসের শেষ ভাগ - এটির বাক্য সংক্ষেপণ কী হবে?,পূর্বাহ্ন,মধ্যাহ্ন,সায়াহ্ন,অপরাহ্ন,d
এক কথায় প্রকাশ কর : 'দিন ও রাতের সন্ধিক্ষণ',পূর্বাহ্ন,সায়াহ্ন,সন্ধ্যা,গোধূলি,d
'রাত্রির শেষ ভাগ' এক কথায়-,পররাত্র,মহানিশা,যামিনী,রাত্রিশেষ,a
'রাতের মধ্যভাগ' এক কথায় প্রকাশ কি হবে? ,মধ্যরাত্রি,মধ্যাহ্ন,মহানিশা,অনামশী,c
নষ্ট হওয়া স্বভাব নয় যার - এক কথায় কী হবে?,অবিনশ্বর,নশ্বর,নষ্ট স্বভাব,বিনষ্ট,a
যা চিরস্থায়ী নয়-,অস্থায়ী,চিরন্তন,ক্ষণস্থায়ী,নশ্বর,d
'যার বাসস্থান নেই'- বাক্যের এক কথায় প্রকাশ কি?,অনিকেতন,উদ্বাস্তু,অনুজ,একাহার,a
'স্থায়ী ঠিকানা নেই যার' এক কথায় প্রকাশ কোনটি শুদ্ধ?,বস্তিবাসী,টোকাই,ঠিকানাবিহীন,উদ্ধাস্তু,d
"যার জ্যোতি বেশিক্ষণ স্থায়ী হয় না, তাকে বলে-",রগ,অনসূয়া,ক্ষণপ্রভা,ক্ষণস্থায়ী জ্যোতি,c
যা পূর্বে দেখা যায়নি' এক কথায় কি বলে?,অদৃশ্য,দৃষ্টপূর্ব,অপূর্ব,অদৃষ্টপূর্ব,d
'যা পূর্বে কখোনো হয় নি' এর সঠিক বাক্য সংকোচন হল-,ভূতপূর্ব,অভূতপূর্ব,অদৃষ্টপূর্ব,অশ্রুতপূর্ব,b
যা পূর্বে ছিল এখন নেই- তাকে কি বলে?,অভূতপূর্ব,ভূতপূর্ব,অদৃষ্টপূর্ব,অনিবার্য,b
ইতিহাস বিষয়ে অভিজ্ঞ যিনি/ যিনি ইতিহাস জানেন-,ইতিহাসবেত্তা,ঐতিহাসিক,ইতিহাসবিদ,ইতিহাস রচয়িতা,a
এক কথায় প্রকাশ করুন : 'ইতিহাস রচনা করেন যিনি'-,ইতিহাসবেত্তা,ঐতিহাসিক,ইতিহাসবিদ,উপরের সবগুলো,b
'যিনি বিদ্যা লাভ করিয়াছেন' ..... এক কথায় কী বলে?,কৃতবিদ্যা,কৃতবিদ্য,কৃতবিদ্যান,কৃতবিদ্দান,b
'যিনি ন্যায়শাস্ত্র জানেন' এর এক কথায় প্রকাশিত রূপ হলো -,ন্যায়বাগীশ,নৈয়ায়িক,ন্যায়পাল,ন্যায়ঋদ্ধ,b
"যিনি স্মৃতিশাস্ত্র জানেন, তাকে এক কথায় বলে-",স্রয়ুক,নির্ভয়,নৈয়ায়িক,স্মার্ত,d
একবার ফল দিয়ে যে গাছ মারা যায়-,ঔষধী,ওষধি,ওষধী,ঔষধি,b
"যে গাছে ফল ধরে কিন্তু ফুল ধরে না, তাকে এক কথায় কি বলে?",পরগাছা,আগাছা,বর্ণচোরা,বনস্পতি,d
'একই সময়ে' - এর সমর্থক -,সমসাময়িক,যুগপৎ,যগৎপত,বর্তমান,b
'একই সময়ে বর্তমান' এ বাক্যের এক কথায় প্রকাশ হল-,সমসাময়িক,যুগপৎ,সতীর্থ,যুগল,a
'প্রেক্ষিত' শব্দের অর্থ-,দৃষ্টিকোণ,পর্যবেক্ষণ,প্রেক্ষাপট,দর্শন করা হয়েছে এমন,d
'শোনা যায় এমন' এক কথায় প্রকাশ করুন-,শ্রুতিগ্রাহ্য,শ্রুতিমধুর,শ্রুতিযোগ্য,শ্রুতিধর,a
বাক্য সংকোচন করুন : 'মৃত্তিকা দিয়ে তৈরি',মৃন্ময়,মেটেল,চিন্ময়,মন্ময়,a
বুকে ভর দিয়ে চলে যে প্রাণী' -,পারগ,উরগ,বিহগ,মোরগ,b
আকাশে বেড়ায় যে - ,খেচর,আচারনিষ্ট,অন্যতম,অনুজ,a
'পশ্চাতে গমন করে যে' এর বাক্য সংকোচন হলো-,পশ্চাদ্‌গামী,অগ্রগামী,অনুগামী,পশ্চাৎগামী,c
'বিশ্বজনের হিতকর' - এক কথায় কি হবে?,বিশ্বজনীন,সর্বজনীন,সার্বজনীন,হিতৈষী,a
যে ব্যয় করতে কুন্ঠাবোধ করে- এক কথায় প্রকাশ করলে হবে-,কৃপণ,ব্যয়কুন্ঠ,মিতব্যয়ী,হিসেবী,a
এক কথায় প্রকাশ করুন : 'অন্য ভাষায় রূপান্তরিত' -,গুদাম,অনূদিত,অনুচিকীর্ষা,অননুমেয়,b
যে পুরুষ বিয়ে করেছে' এর এক কথায় প্রকাশ কি?,অকৃতদার,অনূঢ়া,কৃতদার,কুম্ভীলক,c
'পুরুষের কর্ণভূষণ' এর সংকোচিত রূপ কোনটি?,পুরুষকর্ণ,পুরুষালী,বীরবৌলি,বীরবল,c
"'যে নারীর পতি নেই, পুত্রও নেই' এককথায় কি হবে?",বিধবা,অবীরা,কাকবন্ধ্যা,পতিপুত্রহীন,b
"সূর্যও যে নারীর মুখ দেখতে পারে না, তাকে এক কথায় কি বলে?",অদৃষ্টসূর্য,অসূর্যস্পশ্যা,অসূর্যদ্রষ্টা,অসূর্যপ্রেক্ষা,b
যে মেয়ের বিয়ে হয়নি - এর বাক্য সংকোচন কোনটি?,মৃতবৎসা,কৃতদার,অনুজা,অনূঢ়া,d
'যে নারী পূর্বে অপরের বাগদত্তা ছিল' - তাকে এক কথায় কি বলে?,প্রোষিতভর্তৃকা,অভিসারণী,অনন্যপূর্বা,অন্যপূর্বা,d
বীর সন্তান প্রসব করে যে নারী' - এক কথায় তাকে কি বলে?,বীরপুত্র,রত্নগর্ভা,স্বর্ণমাতা,বীরপ্রসূ,d
"যে নারীর সন্তান বাঁচে না, এক কথায় কি বলে?",মৃতমা,মৃত জননী,মৃতবৎসা,কাক বন্ধ্যা,c
এক কথায় প্রকাশ করুন- 'যে নারীর হাসি সুন্দর',সরোজ,সুস্মিতা,অনসূয়া,সাবিত্রী,b
"এক কথায় প্রকাশ করুন, ''যার স্ত্রী মারা গিয়েছে''?",বিধবা,বিপত্নীক,সপত্নীক,বিপদাত্মক,b
ইন্দ্রকে জয় করেছে যে-,ইন্দ্রজিৎ,জিতেন্দ্রিয়,সন্ন্যাসী,সন্যাসী,b
এক কথায় প্রকাশ কর : 'এক থেকে শুরু করে ক্রমাগত'-,ক্রমাগত,একাদিক্রমে,ক্রমবিন্যাস,ক্রমিক,b
'যা দীপ্তি পাচ্ছে'- এক কথায় কি হবে?,সন্দীপন,দীপ্তিমান,আলোকিত,দেদীপ্যামান,d
'যা বার বার দুলছে' এর সঠিক বাক্য সংকোচন কী?,দুল্যামান,দোদুল্যামান,দোলায়মান,ঝুলন্ত,b
'যে অনবরত কাঁদছে' সংকুচিত রূপ হলো-,বাষ্পায়মান,রোরুদ্যমান,স্যাসয়মান,ধূমায়মান,b
'শত্রুকে করে যে' এক কথায় প্রকাশ করুন-,শত্রুঘ্ন,অরিন্দম,শত্রুহন্তা,কৃতঘ্ন,b
"শত্রুকে পীড়া দেয় যে, - এর সঠিক বাক্য সংকোচন হলো-",শত্রুঘ্ন,শত্রুহ্ণ,পরন্তপ,জিঘাংসা,c
'যাহা বপন করা হইয়াছে' - এটি নিম্নের কোন শব্দটিতে সংক্ষেপিত হয়েছে?,সুপ্ত,উপ্ত,গুপ্ত,লুপ্ত,b
'কর্মে যাহার ক্লান্তি নাই' এই বাক্যাংশের সংক্ষিপ্ত রূপ কি?,ক্লান্তি হীন,অক্লান্ত,অক্লান্তকর্মী,অবিশ্রাম,c
'অকালে যাকে জাগরণ করা হয়'- এক কথায়,অকুতোভয়,অনন্য সাধারণ,অঘটনঘটনপটিয়সী,অকালবোধন,d
যার শত্রু জন্মায়নি' - বাক্যের সংক্ষিপ্ত রূপ-,অজাতশত্রু,অজাতশত্রু,অশ্রুতপূর্ব,অন্যপূর্বা,b
যে পুরুষের এ যাবৎ দাড়ি-গোঁফ গজায়নি তাকে কি বলে?,অজাতশত্রু,অজাতমিত্র,অজাতশ্মশ্রু,বর্ণচোরা,c
'সম্পূর্ণরূপে বিবেচনা করা হয় নাই এমন' এটিকে এক শব্দে প্রকাশ করা যায় কোন শব্দে?,অসমাপ্ত,অসমীক্ষিত,অসমর্থিত,অসম্পূর্ণ,b
যা অবশ্যই ঘটবে -,সম্ভাবনাময়,দুর্নিবার,অবশ্যম্ভাবী,সম্ভাব্য,c
যা প্রমান করা যায় না' -,অভূতপূর্ব,অপ্রমেয়,অপ্রতর্ক্য,অপসৃয়মান,b
দান গ্রহণ করা উচিৎ নয় যার থেকে - তাকে এক কথায় কি বলে?,অচ্ছুত,অগ্রতিগৃহ্য,দুহ্য,অবচী,b
'আবক্ষ জলে নেমে স্নান' - এক কথায় কি হবে?,স্নান,প্রক্ষলন,অবগাহন,পদধৌত,c
অগ্র পশ্চাৎ বিবেচনা করে কাজ করে না যে-,অদ্যন্ত,মুর্খ্য,অনভিজ্ঞ,অবিমৃষ্যকারী,d
'অশীতিপর' শব্দের অর্থ কি?,শীত সহ্য করতে অক্ষম ব্যাক্তি,আশি বছরের বেশি বয়সী ব্যাক্তি,শীতে কাতর নয় এমন ব্যাক্তি,প্রাচীন ধ্যান ধারণায় বিশ্বাসী ব্যাক্তি,b
যে বিষয়ে কোনো বিতর্ক (বিবাদ/ বিরোধ) নেই -,অবিমৃষ্যকারী,অবিতর্ক,অবিমিশ্যকারী,অবিসংবাদী,d
যা বিনা যত্নে লাভ করা হয়েছে-,অযত্নলভ্য,অযত্নলব্ধ,অযত্নলদ্দ,অযত্নসস্কৃত,b
যা বিনা যত্নে উৎপন্ন হয়েছে'- এর বাক্য সংকোচন কী হবে?,অযত্নলব্ধ,অযত্নসম্ভূত,অযত্নজাত,অনায়াসলব্ধ,b
'যার কোনো কিছুতে ভয় নেয়' এক কথায় প্রকাশ কি?,অভয়,ভয়শূন্য,অকুতোভয়,নির্ভীক,c
সঠিক উত্তর কোনটি 'যার বংশ পরিচয় এবং স্বভাব কেউই জানেনা'-,অজ্ঞাতকুলশীল,অচিন্তা,অনাহত,অবিনশ্বর,a
'যার বসন আলগা'- এর বাক্য সংকোচন-,আলগা বসনা,অসংবৃত,লজ্জাহীন,সুংবৃক্তহীনতা,b
নিমন্ত্রণ না করা সত্ত্বেও যিনি উপস্থিত-,মেজবান,অনিমন্ত্রিত,অনাহুত,কোনোটিই নয়,c
'ইহলোকে যা সামান্য নয়'- এক কথায় কি হবে?,অনন্যসাধারন,আনন্যসাধারন,অলোকসামান্য,আলোকসামান্য,c
এক কথায় প্রকাশ করুন : 'ঈষৎ কম্পিত'-,আকম্পিক,কম্পাস,কম্পমান,আধাত,d
কাঁধ থেকে কটি পর্যন্ত- এক কথায় প্রকাশ,পাচধড়,আগধড়,ধটিক,ঘট,b
'ঈষৎ আমিষ গন্ধ যার' এক কথায় প্রকাশ কি হবে?,আমিষ্ট,আমশি,আঁষটে,আমিষ্য,c
ঈষৎ পাংশুবর্ণ- এর বাক্য সংকোচন,কয়রা,ধূসর,আরক্ত,পীত,a
'বেলাকে অতিক্রম' পদের অর্থ কি?,অবেলা ,গোধূলি,উদ্বেল,সাঁঝ,c
'এক বিষয়ে যার চিত্ত নিবিষ্ট'। এক কথায় হবে-,একাগ্রচিত্ত,একমনা,অন্যমনা,মনোযোগী,a
'কর দান করে যে'- এক কথায়-,অধীন,আশ্রিত,করদ,প্রজা,c
'কি করতে হবে ভেবে পায় না'- এই অবস্থাকে কী বলে?,বিস্মত,কিংকর্তব্যবিমূঢ়,লচ্চিত,সভাষিত,b
"যে লেখক অন্যের ভাব, ভাষা প্রভৃতি চুরি করে নিজের নামে চালায়, তাকে বলা হয়-",লিপিকার,কুসীদজীবী,নকলবাজ,কুম্ভিলক,d
গাছে উঠতে পটু যে- এককথায় কী হবে?,গাছো ,গাছি,গেছো,আরোহী,c
'যিনি বক্ততা দানে পটু' তাকে বলে-,বাকপটু ,বাগ্মী,সুবক্তা,অনলবর্ষী,b
'চৈত্র মাসের ফসল'- এর বাক্য সংকোচন কি?,চৈত্রী,ত্রিফসলা,চৈতালি,চৈফসলী,c
চক্রের প্রান্তভাগকে এককথায় বলে-,চক্রেশ,চক্রসীমা,চক্রধারা,চক্রবিন্দু,b
'ছন্দে নিপুন যিনি' এক কথায় কি হবে?,কবি,ছান্দসিক,ছন্দবেত্তা,ছন্দদাতা,b
'যা জল দেয়' এর এক কথায় প্রকাশ কি?,পাটোয়ারি,জলদ,জলাধার,জলধি,b
'জ্ঞনপাপী' বলে-,জ্ঞানের বড়াই করে যে,বাস্তবে জ্ঞানের প্রয়োগ করে না যে,সজ্ঞনে অন্যায় করে যে,অনেক জ্ঞান আছে যার,b
এক কথায় প্রকাশ করুন : দ্বারে থাকে যে-,দ্বাররক্ষী,দৌবারিক,দ্বারিকা,দারোয়ান,b
এক কথায় প্রকাশ করুন : যা অতি দীর্ঘ নয়,নদীর্ঘ,নাতিদীর্ঘ,অতিদীর্ঘ,অপাঙ্গ,b
'আপনাকে পন্ডিত মনে করে যে'- এক কথায় কি হবে?,অতিপন্ডিত,মহাপন্ডিত,পন্ডিত নেতা,পন্ডিতস্মন্য,d
'পরের অন্নে যে বেঁচে থাকে'- এর এক কথায় প্রকাশ কোনটি?,পরান্নজীবী,পরান্নভোজী,পরজীবী,পরাশ্রয়ী,a
'পরকে প্রতিপালন করে যে' এককথায় হবে-,পরভৃত,পরভৃৎ,প্রতিপালক,প্রতিপোষক,b
উপস্থিত বুদ্ধি আছে যার-,বুদ্ধিমান,বুদ্ধিমতী,বিচক্ষণ,প্রত্যুৎপন্নমতি,d
এক কথায় প্রকাশ কর : 'সম্মুখে অগ্রসর হয়ে অভ্যর্থনা'-,সংবর্ধনা,অভিনন্দন,প্রত্যুদ্‌গমন,কোনোটিই নয়,c
'অপরের ধন' এর এককথায় প্রকাশ কী?,অনাদি,পরস্ব,অনাস্থা,অনার্জিত,b
এক কথায় প্রকাশ করুন : 'যা লাফিয়ে চলে'-,উল্লস্ফ,লাফবাজ,দড়াবাজ,প্লবগ,d
'খেয়া পার করে যে' এর এক কথায় প্রকাশক কোনটি?,মাঝি,পাটনী,ঘাঁটাল,কর্ণধার,b
'পথ চলার খরচ' কথাটির সংক্ষিপ্তরূপ-,খোরাকি,হাত খরচ,পাথেয়,পার্থিব,c
'বড় ভাই থাকতে ছোত ভাইয়ের বিয়ে' এর এক কথায় প্রকাশ কি?,পরিবেদন,চিরকুমার,লবেজান,অভিসার,a
এক কথায় প্রকাশ করুন : পাঁচ সেরের সমাহার-,পরিমেয়,পশুরী,চতুরঙ্গ,শৌরঙ্গ,b
'যে আপনার রং লুকায়' তাকে এক কথায় কী বলে?,অদৃশ্য,বর্ণচোরা,ভূতপূর্ব,ফুলেল,b
'গবাদি পশুর পাল'- এর সংক্ষেপ হলো-,বাথান,গোশালা,কস্তা,পশুপাল,a
'শোক দূর হয়েছে যার' বাক্যটির সংক্ষিপ্ত রূপ-,শোকহারা,বীতশোক,শোকহীন,বীতকাম,b
'যিনি ভালো ব্যাকারণ জানেন'- এক কথায় কি হয়?,ব্যাকারণবিদ,ব্যাকারণ বিশেষজ্ঞ ,বৈয়াকরণ,বৈয়াকরণিক,c
যে বহু বিষয় জানে' এক কথায়-,বহুদর্শী,সর্বজ্ঞ,সবজান্তা,কোনোটিই নয়,a
যা ভবিষ্যতে ঘটবে?,ভবিষ্যৎ,ভবিষ্য,ভবিতব্য,অভব্য,c
'বাহুতে ভর করে চলে যে'- এর বাক্য সংকোচন-,সব্যসাচী,বুভুক্ষা,ভুজঙ্গ,বাহুঙ্গ,c
যে ব্যক্তি এক ঘর থেকে অন্য ঘরে ভিক্ষা করে বেড়ায় তাকে এক কথায় বলা হয়-,মাধুকরী,পরিব্রজা,মধুকর,পরগাছা,a
মর্ম স্পর্শ করে যা-,নাতিশীতোষ্ণ,মর্মস্পর্শী,মুষ্টিমেয়,অকুতোভয়,b
এক কথায় প্রকাশ করুন : 'মর্মকে পীড়া দেয় যা',মর্মন্তদ,মর্মভেদী,মর্মস্পর্শী,পীড়াদায়ক,a
'মেঘে আচ্ছন্ন হওয়ার ফলে স্নিগ্ধ'' - এর বাক্য সংকোচন কি?,মেঘলা,মেঘাচ্ছান্ন,মেঘমেদুর,মেঘস্নিগ্ধ,c
মাটির মত রং যার - ,মেটো,মাটিয়া,মেটে,খাকি,c
'ম্রিয়মান' শব্দের অর্থ কোনটি?,যা ম্লান হয়েছে,যা ম্লান হবে,যার মৃত্য হয়েছে,যার মৃত্যু অবস্থা,d
'এক স্থান থেকে অন্য স্থানে ঘুরে ঘুরে জীবন যাপন করে যে' কথাটিকে এক কথায় প্রকাশ কর-,যাযাবর,পর্যটক,পথিক,অভিযাত্রী,a
'যুদ্ধে স্থির থাকেন যিনি' এর বাক্যসংকোচন কোনটি?,যুধিষ্ঠির,স্থিরচিত্ত,দৃঢ়চিত্ত,যুদ্ধস্থির,a
'কনুই থেকে কজ্বি পর্যন্ত' - এর সংক্ষেপ হলো-,রত্নি,টিবিয়া ফিবুলা,হাতাংশ,গিরিজা,a
'আকাশ ও পৃথিবার অন্তরাল' কে এক কথায় বলে-,ক্রন্দসী,রোদসী,আমশি,অতরস্পর্শী,b
এক কথায় প্রকাশ করুন : 'যে শুনেই মনে রাখতে পারে'।,মেধাবী,অশ্রুতপূর্ব,শ্রুতিধর,জাতিঃস্বর,c
যে বনে হিংস্র জন্তুতে পরিপূর্ণ- এককথায় কি হবে?,স্বাপদসংকুল,শ্বাপদসংকুল,জঙ্গল,শ্বাদল,b
"যার দুই হাত সমান চলে, তাকে কি বলে?",দু'হাতি,সমান তালী,সব্যসাচী,তবলা বাদক,c
'যে সকল অত্যাচারই সয়ে যায়' এক কথায় কি হবে?,সর্বংসাহা,সর্বসহ্যকারী,সহ্যকারী,অত্যাচারী,a
মাসের শেষ দিনকে এক কথায় কী বলা হয়?,একাদশী,মাসান্ত,প্রতিপদ,সংক্রান্তি,d
'নিজের দ্বারা অর্জিত' এক কথায় হবে-,স্বকীয়,অর্জিত,স্বোপার্জিত,স্বর্জিত,c
'যার কিছু নেই' এক কথায় প্রকাশ করলে হবে-,ভিখারী,দরিদ্র,অসংবৃত,হ্রতসর্বস্ব,d
'যা বাক্য ও মনের অগোচরে' তাকে কি বলে?,অনাস্বাদিতপূর্ব,বিবমিষা,মনসিজ,অবাঙ্মনসগোচর,d
