question,a,b,c,d,answer
'কুটিল' শব্দের বিপরীতার্থক শব্দ  কোনটি?,অকুটিল,বাঁকা,সরল,হালকা,c
'কুৎসা' শব্দের বিপরীত শব্দ কী?,প্রশংসা,সুন্দর,খ্যাতি,শুভ্র,a
'কৃঞ্চ' এর বিপরীতার্থক শব্দ -,সাদা,শুক্ল,অন্ধকার,আলো,b
'কৃতঘ্ন' এর বিপরীত শব্দ কোনটি?,অকৃতজ্ঞ,কৃতজ্ঞ,উপকারী,ক্ষতিকর,b
'কৃশ' শব্দের বিপরীতার্থক শব্দ কোনটি?,সাধু,স্থুল,মসৃন,হ্রস্ব,b
'কৃত্রিম' শব্দের বিপরীত শব্দ লিখুন।,অকৃত্রিম,মৌলিক,স্বাভাবিক,সরল,c
'ক্রোধ' শব্দের বিপরীত শব্দ কোনটি?,উল্লাস,ক্ষমা,মায়া,স্বস্তি,c
'ক্ষতি' - এর বিপরীতার্থক শব্দ কোনটি?,অনুকূল,ব্যবসা,সামান্য,ফায়দা,d
'ক্ষিপ্র' এর বিপরীত শব্দ- ,দ্রুত,চতুর,মন্থর,চঞ্চল,c
'ক্ষীয়মাণ' এর বিপরীত শব্দ কি?,বৃহৎ,বর্ধিষ্ণু,বর্ধমান,বৃদ্ধিপ্রাপ্ত,c
'ক্ষয়িষ্ণু' - এর বিপরীতার্থক শব্দ-,বাড়ন্ত,কৃশ,বর্ধিষ্ণু,অবনতি,c
'খিড়কি' - এর বিপরীতার্থক শব্দ কি?,বাতায়ন,গুপ্ত পথ,চিলেকোঠা,সিংহদার,d
'খাতক' শব্দের বিপরীতার্থক শব্দ কোনটি?,বন্ধু,সম্পদ,মহাজান,জমি,c
'খবর' - এর বিপরীতার্থক শব্দ-,বার্তা,সংবাদ,জিজ্ঞাসা,তত্ত্ব,c
কোনটি 'গুপ্ত' শব্দের বিপরীতার্থক শব্দ?,প্রকাশ,উন্মীলিত,অব্যক্ত,ব্যক্ত,d
'গাম্ভীর্য' শব্দের বিপরীত শব্দ কোনটি?,নম্র,দুরন্তপনা,কপটতা,চাপল্য,d
'গৃহী' শব্দের বিপরীতার্থক শব্দ-,সংসারী,সঞ্চয়ী,সংস্থিতি,সন্নাসী,d
'গৌরব' -এর বিপরীতার্থক শব্দ কি?,অপমান,অপমর্যাদা,মানহানি,লজ্জা,d
গঞ্জনা'র বিপরীতার্থক শব্দ কোনটি?,বঞ্চনা,বন্দনা,প্রশংসা,ঘটনা,c
'গ্রহণ' শব্দের বিপরীত শব্দ কোনটি?,অর্জন,বর্জন,হরণ,প্রত্যাপর্ণ,b
'পলক' শব্দের বিপরীত শব্দ-,নিপীড়ক,ধ্বংসকারী,ঘাতক,শোষক,c
'চক্ষুম্মান' শব্দের বিপরীত শব্দ হলো-,অন্ধ,অদৃশ্য,অনুজ্জ্বল,অবনমিত,a
'চঞ্চল' শব্দের বিপরীত শব্দ কোনটি?,উৎরাই,স্থির,অপুট,অকপট,b
'চিরন্তন' শব্দের বিপরীতার্থক শব্দ কোনটি?,পুরাতন,ক্ষণকালীন,তিরোভাব,পরলোক,b
'চপল' -এর বিপরীতার্থক শব্দ-,স্তন্ধ,ঠান্ডা,গম্ভীর,রাশভারী,c
'জরা' -এর বিপরীতার্থক শব্দ-,যৌবন,পতিত,জীবন,মৃত্যু,a
'জঙ্গম' -এর বিপরীতার্থক শব্দ কি?,অরণ্য,সমুদ্র,পর্বত,স্থাবর,d
'জনবিরল' শব্দের বিপরীত শব্দ হলো-,জনাকীর্ণ,জনহীন,নির্জন,জনশূন্য,a
'ঝানু' - এর বিপরীতার্থক শব্দ কোনটি?,চতুর,পটু,অপটু,চালক,c
'ডাগর' এর বিপরীত শব্দ কোনটি?,ছোট,মলিন,কুৎসিত,স্বল্প,a
'তমসা'র বিপরীত শব্দ কোনটি?,নিকুঞ্জ,অন্ধকার,ধোঁয়াসা,আলো,d
'তস্কর' শব্দের বিপরীতার্থক শব্দ কোনটি?,তুচ্ছ,তথাগত,সাধু,অতএব,c
'তাপ' শব্দের বিপরীতার্থক শব্দ-,শৈত্য,শীতল,উত্তাপ,হিম,a
'তাতা' শব্দটির বিপরীত শব্দ কোনটি?,ত্বরা,ঠান্ডা,তন্দ্রা,গরম,b
'তেজী' শব্দের বিপরীত শব্দ কোনটি?,অস্তেজ,শক্তি,নিস্তেজ,তেজ,c
'ত্বরা'- এর বিপরীত শব্দ-,বিলম্ব,তাৎক্ষণিক,তাড়াতাড়ি,অপেক্ষা,a
'তীক্ষ্ণ'- শব্দের বিপরীত শব্দ-,কর্কশ,মৃদু,সুক্ষন,স্থুল,d
'দীর্ঘ' শব্দের বিপরীত শব্দ কোনটি?,দূর,দুর্মগ,দৃঢ়,হ্রস্ব,d
'দুষ্কৃতি' - এর বিপরীতার্থক শব্দ কি?,সৎ,ধার্মিক,সদয়,সুকৃতি,d
'দুর্দান্ত' এর বিপরীত শব্দ কোনটি?,সুবিনীত,কোমল,নিরীহ,সুস্থির,c
'দুর্বার'- শব্দের বিপরীত শব্দ কোনটি?,অদম্য,কোমল,নির্বার,স্থির,c
'দ্যুলোক' শব্দের বিপরীতার্থক শব্দ কোনটি?,ভূলোক,লোক,কালো,দিবালোক,a
দুহিতা-এর বিপরীত শব্দ কোনটি?,পুত্র,কন্যা,স্ত্রী,স্বামী,a
'ধনিক'- এর বিপরীত শব্দ কোনটি?,নির্ধন,দরিদ্র,নিঃস্ব,শ্রমিক,a
'ধৃষ্ট'- এর বিপরীত শব্দ কোনটি?,নিরীহ,দুষ্ট,বিনয়ী,মুক্ত,c
'নাস্তিক' শব্দের বিপরীত শব্দ কোনটি?,আস্তিক,অস্তিত্ববাদী,ধার্মিক,জড়বাদী,a
'নিন্দুক' এর বিপরীতার্থক শব্দ কোনটি?,প্রশংসা,প্রশংসাকারী,স্তাবক,গুণকীর্তনকারী,c
'নন্দিত' এর বিপরীতার্থক শব্দ কোনটি?,বিষন্ন,বিষাদ,প্রচ্ছন্ন,নিন্দিত,d
'নিমগ্ন' শব্দের বিপরীতার্থক শব্দ কোনটি?,উদাসীন,জাগরিত,অপকর্ষ,নিস্তেজ,a
'নিমীলিত' শব্দের বিপরীত শব্দ কোনটি?,উন্মীলিত,উদ্বেলিত,উপেক্ষিত,উন্মোচিত,a
'বিরক্ত' শব্দের বিপরীত অর্থ কী?,আদর,অন্ত,অনুরক্ত,অনুজ,c
'পঙ্কিল' শব্দের বিপরীত শব্দ কোনটি?,পরিচ্ছন্ন,উজ্জ্বল,নির্মল,অম্লান,c
'পাংশু' এর বিপরীত শব্দ কোনটি?,সতেজ,সবুজ,খর্ব,বৃহৎ,a
'পামর' শব্দটির বিপরীতার্থক কী হবে?,পাষাণ,দয়ালু,পুণ্যবান,মহাত্না,c
'প্রাচী' শব্দের বিপরীত শব্দ কোনটি?,প্রচীতী,প্রতীচী,প্রতিচী,প্রীতিচী,b
'পাশ্চাত্য' শব্দের বিপরীত শব্দ-,প্রতীচ্য,প্রাচ্য,পশ্চিমা,পূর্ব-পশ্চিম,b
'প্রশান্তি' শব্দের বিপরীতার্থক শব্দ কি?,অশান্তি,নিন্দা,দুশ্চিন্তা,চঞ্চলতা,a
'প্রচ্ছন্ন' শব্দের বিপরীতার্থক শব্দ-,ব্যক্ত,আগমন,ভর্ৎসনা,বিষন্ন,a
'প্রলয়'-এর বিপরীত শব্দ-,স্মৃতি,মালয়,সৃষ্টি,স্ততি,c
'বন্ধুর' বিপরীত শব্দ কোনটি?,মসৃণ,বন্ধু,শত্রু,কন্টক,a
'বিধবা' শব্দের বিপরীত শব্দ কী?,বহুপত্নীক,সধবা,বিপত্নীক,অধবা,b
'বিভাবরী' এর বিপরীত শব্দ-,দিবস,রজনী,দীন,রাত্রি,a
'বিহান' এর বিপরীত শব্দ কোনটি?,সোহান,সন্ধ্যা,বিশ্ব,মাস,b
'বহুল' এর বিপরীতার্থক শব্দ কোনটি?,সরল,গরল,বিরল,বিষাক্ত,c
'বিলাপ' এর বিপরীত শব্দ কোনটি?,অপলাপ,রোদন,প্রলাপ,হাস্য,d
'বিনীত'-এর বিপরীতার্থক শব্দ কি?,অবিনীত,দুর্বিনীত,অবিনত,অভদ্র,b
'বাহুল্য' এর বিপরীত শব্দ-,প্রয়োজনীয়,সংক্ষেপ,বিনীত,অনুগ্রহ,b
'বিধি' এর বিপরীত শব্দ কোনটি?,নিয়ম,অনিয়ম,প্রথা,নিষেধ,d
'বিদিত' শব্দের বিপরীত শব্দ কোনটি?,অজ্ঞাত,গৃহীত,বিদীর্ণ,বিসর্জন,a
'বিরিত' এর বিপরীত শব্দ-,আরত,না-রাত,নিরত,নিবৃত,c
'ব্যক্ত' শব্দের বিপরীতার্থক শব্দ কোনটি?,ত্যক্ত,গ্রাহ্য,দৃঢ়,গূঢ়,d
ব্যষ্টি এর বিপরীতার্থক শব্দ কোনটি?,সৃষ্টি,বৃদ্ধি,সমষ্টি,ভবিষৎ,c
'বিজেতা' এর  বিপরীত শব্দ কোনটি?,বিজ্ঞ,বিজন,বিজিত,বাহ্য,c
'বিগ্রহ' শব্দের  বিপরীত শব্দ হল-,বিবাদ,সন্ধি,সংকোচন,বিস্তৃত,b
'ব্যর্থ' শব্দের বিপরীতার্থক-,সার্থক,স্বার্থক,পরর্থ,অশর্থ,a
'ভর্ৎসনা' শব্দের বিপরীতার্থক শব্দ-,অপমান,প্রশংসা,নিন্দা,গিবতকারী,b
'ভাটা' শব্দের বিপরীত শব্দ কোনটি?,তেজ,জোয়ার,স্থাবর,ভারী,b
ভার্যা'র বিপরীত শব্দ কোনটি?,দার,দয়িত,বনিতা,জায়া,b
'ভূত' এর  বিপরীত শব্দ কোনটি?,দৈত্য,জীন,ভবিষ্যৎ, নির্ভীক,c
'মান' শব্দের বিপরীত শব্দ কোনটি?,সম্মান,অপমান,গৌণ,অমান্য,b
'মনীষা' শব্দের বিপরীত শব্দ-,নির্বোধ,প্রভা,মনস্বিত,স্থিরতা,a
'মধুর' শব্দের বিপরীতার্থক শব্দ-,মিষ্টি,তিক্ত,অম্লত্ব,মন্দ,b
'মুক্ত' এর বিপরীতার্থক শব্দ-,স্বাধীন,বদ্ধ,মুক্তি,বাহির,b
'মুখর' শব্দের বিপরীত শব্দ-,চঞ্চল,নিস্তব্ধ,মৌন,নীরব,c
'মুখ্য' এর বিপরীত শব্দ কোনটি?,প্রধান,গৌণ,সূক্ষ্ম,গুণ্য,b
'মৃদু' শব্দের অমিল শব্দ কোনটি?,উগ্র,শক্ত,উদ্ধত,কঠিন,a
'যাযাবর' এর বিপরীত শব্দ-,গৃহকাতর,ঘরকুনো,গৃহী,গৃহগত,c
'রাজসিক' শব্দের বিপরীত শব্দ কোনটি?,প্রাজসিক,অরজসিক,তামাসিক,সাধারণ,c
'লগ্ন'- এর বিপরীত শব্দ কোনটি?,শুরু,শেষ,চ্যুত,ভোলা,c
'শবল' এর বিপরীতার্থক শব্দ কোনটি?,বিচিত্র,একবর্ণা,সওয়াল,শুচি,b
'শোক' শব্দের বিপরীত শব্দ-,দুঃখ,হর্ষ,অনুতাপ,ব্যথা,b
'শর্বরী' শব্দের বিপরীতার্থক শব্দ কোনটি?,দিবস,কুটিল,কৃষ্ণ,কুৎসিত,a
'শুন্য'- এর বিপরীত শব্দ কোনটি?,পূর্ণ,পূণ্য,পুর্ণ,পুর্ন,a
'শৌখিন' শব্দের বিপরীতার্থক শব্দ-,কুশলী,নোংরা,পেশাদের,দুর্জন,c
'সংশয়' এর বিপরীতার্থক শব্দ কোনটি?,নির্ভর,প্রত্যয়,বিস্ময়,দ্বিধা,b
'সংহত' এর বিপরীতার্থক শব্দ কোনটি?,বিবৃত,বিভক্ত,অসংযত,অশক্ত,b
'স্মরণ' শব্দের বিপরীতার্থক শব্দ কোনটি?,জাগরণ,বিস্মরণ,নির্লিপ্ত,উদিত,b
'সংক্ষিপ্ত'- এর বিপরীত শব্দ কি?,চওড়া,প্রসারিত,প্রশস্ত,বিস্তৃত,d
'সংকীর্ণ'- এর বিপরীত শব্দ কি?,প্রশস্ত,প্রসারিত,চওড়া,বিস্তৃত,a
'সুষুপ্ত' শব্দের বিপরীত শব্দ-,নিমগ্ন,আহরিত,হরণ,জাগরিত,d
'সুরভী' এর বিপরীতার্থক শব্দ-,কৃষ,শুভ্র,পূতি,সুশীল,c
'সমষ্টি' এর বিপরীতার্থক শব্দ কোনটি?,গুচ্ছ,যৌগ,বিচ্ছিন্ন,ব্যষ্টি,d
'সংকোচ' এর বিপরীতার্থক শব্দ হলো-,নিঃসংকোচ,প্রসার,লজ্জাযুক্ত,নিগ্রহ,a
'সন্ধি' শব্দের বিপরীতার্থক শব্দ কোনটি?,বিয়োগ,বিগ্রহ,নিগ্রহ,বর্জন,b
'সন্নিকৃষ্ট' এর বিপরীতার্থক শব্দ কোনটি?,সংকীর্ণ,অপকৃষ্ট,বিপ্রকৃষ্ট,বিগ্রহ,c
'সচেষ্ট'-এর সঠিক বিপরীত শব্দ কোনটি?,অশিষ্ট,অনিষ্ট,লঘিষ্ট,নিশ্চেষ্ট,d
'সৌম'-এর বিপরীত শব্দ-,উগ্র,শান্ত,কঠিন,উদ্ধত,a
'স্বকীয়' শব্দটির বিপরীত শব্দ কোনটি?,অপর,নিজস্ব,স্বকীয়তা,পরকীয়,d
'স্বাধীন' শব্দের বিপরীত শব্দ-,পরাধীন,অধীন,নবীন,সুখী,a
'স্বতন্ত্র'-এর বিপরীত শব্দ-,অন্যতন্ত্র,অপরতন্ত্র,পরতন্ত্র,অসমতন্ত্র,c
'সফেদ' শব্দের বিপরীতার্থক শব্দ কোনটি?,শুভ্র,নিকষ,লোহিত,নীলিম,b
'সভ্য' শব্দটির বিপরীতার্থক শব্দ হল-,গ্রাম্য,প্রতীচ্য,বুনো,বিষম,c
'সহোদর' শব্দের বিপরীত অর্থ প্রকাশ করে নিচের কোন শব্দ?,অনাদর,অগ্রজ,বৈমাত্রেয়,জাতিক,c
'হাল' শব্দের বিপরীত শব্দ কোনটি?,সাবেক,বর্তমান,তৎসম,উত্তম,a
'হৃদ্য' শব্দের বিপরীতার্থক শব্দ কোনটি?,ঘৃণা,অহৃদ্য,অবহেলা,বিরক্ত,a
অর্থের অপকর্ষ ঘটেনি কোন শব্দে?,অর্বাচীন,বিরক্ত,ইতর,উৎসাহ,d
