question,a,b,c,d,answer
বাংলাদেশের স্পিকার কার নিকট শপথ গ্রহণ করেন?,রাষ্ট্রপতি,প্রধান বিচারপতি,প্রধানমন্ত্রী,প্রধান নির্বাচন কমিশনার,a
নিচের কোনটি বাংলাদেশ সংবিধানের তৃতীয় ভাগের অংশ নয়?,সমাবেশের স্বাধীনতা,যুদ্ধ ঘোষণা,সম্পত্তির অধিকার,দায়মুক্তি ক্ষমতা,b
বাংলাদেশের সংবিধানের মূলনীতি বা স্তম্ভ কোনগুলো?,"জাতীয়তাবাদ, সমাজতন্ত্র, গণতন্ত্র ও ধর্মনিরপেক্ষতা","পুঁজিবাদ, গণতন্ত্র, জাতীয়তাবাদ, মুসলিম ভ্রাতৃত্ববোধ","জাতীয়তাবাদ, মুসলিম ভ্রাতৃত্ববোধ, পারস্পারিক সহযোগিতা, উন্নয়ন","বাঙ্গালী জাতীয়তাবাদ, সমাজতন্ত্র, গণতন্ত্র, মুসলিম ভ্রাতৃত্বিবোধ",a
বাংলাদেশের গণপরিষদের প্রথম স্পিকার কে ছিলেন?,শাহ আব্দুল হামিদ,সৈয়দ নজরুল ইসলাম,জনাব মোহাম্মদ উল্লাহ,জনাব তাজউদ্দিন আহমদ,a
"বাংলাদেশের সংবিধান অনুযায়ী প্রধানমন্ত্রী ও অন্যান্য মন্ত্রী, প্রতিমন্ত্রী ও উপমন্ত্রীকে নিয়োগ দান করেন-",রাষ্ট্রপতি,জাতীয় সংসদ,সুপ্রিম কোর্ট,সরকারি দল,a
রাষ্ট্রপতির পদ শূন্য হলে বাংলাদেশে কে রাষ্ট্রপতি দায়িত্ব পালন করেন?,প্রধানমন্ত্রী,স্পিকার,প্রধান বিচারপতি,সেনাবাহিনী প্রধান,b
বাংলাদেশে আইনজীবী হওয়ার ন্যূনতম বয়স-,৩০,২৮,২১,২৫,c
বাংলাদেশের সংবিধানের অভিভাবক কে/ কোনটি?,জাতীয় সংসদ,সুপ্রিম কোর্ট,রাষ্ট্রপতি,প্রধানমন্ত্রী,b
কোনটি সাংবিধানিক প্রতিষ্ঠান নয়?,নির্বাচন কমিশন,বিশ্ববিদ্যালয় মঞ্জুরি কমিশন,পাবলিক সার্ভিস কমিশন,রাষ্ট্রপতির কার্যালয়,b
বাংলাদেশের সংবিধানের মূলনীতি কয়টি?,ছয়,দশ,চার,আট,c
বাংলাদেশের জাতীয় সংসদের অধিবেশন আহ্বান করেন কে?,রাষ্ট্রপতি,স্পীকার,চীপ হুইপ,প্রধানমন্ত্রী,a
বাংলাদেশের সংবিধান আনুসারে কে যুদ্ধ ঘোষণা করতে পারেন?,রাষ্ট্রপতি,জাতীয় সংসদ,প্রধানমন্ত্রী,সামরিক বাহিনীর প্রধান,a
রাষ্ট্রপতির পদ শূন্য হলে রাষ্ট্রপতির দায়িত্ব কে পালন করেন?,চিপ হুইপ,জাতীয় সংসদের স্পীকার,প্রধানমন্ত্রী,সংসদ নেতা,b
কোনটি বিচার বিভাগের কাজ নয়?,আইনের প্রয়োগ,আইনের ব্যাখ্যা,সংবিধানের ব্যাখ্যা,সংবিধান প্রণয়ন,d
