question,a,b,c,d,answer
সর্বনিম্ন কত বছর বয়সী শিশু আদালতে সাক্ষী হিসাবে সাক্ষ্য দিতে পারে?,১২,১৬,১৮,কোন বয়সসীমা নেই,d
কোন ক্ষেত্রে মাধ্যমিক সাক্ষ্য দেওয়া যায় না?,মূল দলিল স্থানান্তরযোগ্য না হলে,মূল দলিলের অস্তিত্ব স্বীকার করা হলে,মূল দলিলটি ৭৪ ধারায় বর্ণিত সরকারি দলিল হলে,মূল দলিল সাক্ষ্য প্রদানকারীর দখলে থাকলে,d
একজন আইনজীবীর জন্য নিম্নের কোন কাজটি আচরণ বিধি লংঘন?,মামলা পরিচালনায় দায়িত্ব গ্রহণে সম্মত না হওয়া,নিজে অপরাগ হলে অন্য কোনো সন্তোষজনক ব্যবস্থাপনায় শুনানী সম্পন্ন করা,আইন পেশার পাশাপাশি আরেকটি ব্যবসা করা,ফি নর্ধারণের ক্ষেত্রে সময় ও শ্রমকে বিবেচনায় নেওয়া,c
বাংলাদেশে প্রচলিত সাক্ষ্য আইন অনুযায়ী কোনটি সরকারী দলিল নয়?,শ্রীলংকার আইনসভার কার্য বিবরণী,ইংল্যান্ডের আদালতের রায়,বাংলাদেশের জাতীয় সংগ্রহশালার রেজিস্টার,অংশীদারী চুক্তি,d
খুন বলে গন্য হওয়া দন্ডনীয় নরহত্যা এবং খুন বলে গন্য না হওয়া দন্ডনীয় নরহত্যার মধ্যে মূখ্য পার্থক্যকারী উপাদান কোনটি?,খুনের অভিপ্রায়,আঘাতের গুরুতর প্রকৃতি,ব্যবহৃত অস্ত্রের প্রকৃতি,যে পরিস্থিতিতে অপরাধ সংঘটিত হয়েছে,d
কোনো আসামি কারাদণ্ড ভোগকালে মারা গেলে তার উপর আরোপিত অর্থদণ্ডের বিষয়ে কী হবে?,অপরাধীর মৃত্যুর কারণে অর্থদণ্ড মওকুফ হয়ে যাবে।,অর্থদণ্ডের অর্ধেক আদায় করা যাবে,অপরাধীর উত্তরাধিকারীরা ব্যক্তিগতভাবে অর্থদণ্ডের জন্য দায়ী থাকবেন।,অপরাধীর সম্পত্তির থেকে অর্থদণ্ড আদায় করা যাবে।,d
দেওয়ামী মামলার চূড়ান্ত শুনানীকালে উভয়পক্ষ সময়ের আবেদন করলে মুলতবী খরচার টাকা পাবেন......................।,বাদী দরখাস্তকারী,বিবাদী দরখাস্তকারী,আদালত,রাষ্ট্র,d
দেওয়ানী মামলায় রিভিউ দরখাস্ত মঞ্জুর আদেশের বিরুদ্ধে প্রতিকার কী?,রিভিশন,আপিল,রেফারেন্স,১৫১ ধারায় অধীনে দরখাস্ত করা,b
আপীল বিভাগের কোনো আদেশ কার্যকর করার পদ্ধতি কী?,আপীল বিভাগের আবেদন করা,হাইকোর্ট বিভাগে আবেদন করা,সংশ্লিষ্ট জেলা জজ আদালত কার্যকর করবে,যে আদালতের রায়ের বিরুদ্ধে আপীল করা হয়েছে সে আদালত করবে।,d
বাংলাদেশে ফৌজদারী আদালত কয় শ্রেণির?,২,৩,৪,৫,a
কোন ব্যক্তি আত্মহত্যা করেছে মর্মে থানার ভারপ্রাপ্ত কর্মকর্তা সংবাদ পেলে তিনি সুরতহাল করবার জন্য কাকে জানাবেন?,নির্বাহী ম্যাজিস্ট্রেট,জুডিসিয়াল ম্যাজিস্ট্রেট,পুলিশ সুপারিন্টেডেন্ট,সিভিল সার্জন,a
ম্যাজিস্ট্রেট কর্তৃক প্রদত্ত খালাস আদেশের বিরুদ্ধে আপিল দায়ের করতে হবে.....................এর নিকট।,জেলা ম্যাজিস্ট্রেট,দায়রা জজ,চীফ জুডিসিয়াল ম্যাজিস্ট্রেট,হাইকোর্ট বিভাগে,b
আদালত আসামীকে জরিমানা দণ্ডে দণ্ডিত করলে তা আদায়ের কর্তৃত্ব দিয়ে পরোয়ানা দেওয়া যায় কাকে?,জেলা কালেক্টরকে,দেওয়ানী আদালতের বিচারককে,থানায় ভারপ্রাপ্ত কর্মকর্তাকে,আদালতে নজিরকে,a
একজন বার কাউন্সিল সদস্যের পদ শূণ্য হয় না,পদত্যাগ করলে,চেয়ারম্যনের অনুমতি ব্যতিত পর পর তিনটি মিটিংয়ে অনুপস্থিত থাকলে,ফৌজদারী মামলায় কারাদণ্ডপ্রাপ্ত হলে,আইনজীবীর তালিকা থেকে অপসৃত হলে,c
বাংলাদেশ বার কাউন্সিলের কত জন সদস্য নির্বাচিত হয়?,১৪ জন,১২ জন,১৩ জন,১৫ জন,a
ক ঢাকাতে আহত হয় এবং উক্ত আঘাতের কারণে চট্টগ্রামে মারা যায়। ক-এর মৃত্যুর অপরাধের তদন্ত বা বিচার হতে পারে-,ঢাকা,চট্টগ্রাম,উক্ত দুই স্থানের যে কোন এক স্থানের আদালতে,উভয় স্থানে,c
"'ক' এমন একটি রোগে ভুগছে যে, এক আঘাতেই তার মৃত্যু হবার সম্ভাবনা আছে। 'খ' এই কথা না জেনে 'ক'-কে দৈহিক জখম করার অভিপ্রায়ে এমন আঘাত করে যা একজন সুস্থ ব্যক্তির মৃত্যু ঘটাতে পারে। উক্ত আঘাতের ফলে 'ক' মারা যায়। এটা একটি",হত্যা,খুন,অপরাধজনক নরহত্যা,নরহত্যা,b
দণ্ডবিধির নিচের কোন ধারার একমাত্র শন্তি মৃত্যুদণ্ড?,২২৯ ধারা,৩০২ ধারা,৩০৩ ধারা,৩০৪ ধারা,c
দণ্ডাদেশ প্রদানের পরবর্তী কত বছরের মধ্যে অর্থদণ্ড আদায়যোগ্য?,৬ বছরের মধ্যে,১২ বছরের মধ্যে,৩ বছরের মধ্যে,৫ বছরের মধ্যে,a
বাংলাদেশী নাগরিক 'ক' যুক্তরাজ্য একটি খুন করে। 'ক' এর বিচার এবং শাস্তি,বাংলাদেশে ক এর বিচার করা যাবে না।,বাংলাদেশে বিচার করা যাবে এবং খুনের দণ্ডে দণ্ডিত করা যাবে,বাংলাদেশের দণ্ডবিধি 'ক' এর জন্য প্রযোজ্য নয়,বিদেশে অপরাধ করায় 'ক' বাংলাদেশের দণ্ডবিধি অনুযায়ী কোন অপরাধ করে নি,b
ডিক্রি জারিমূলে কোন সম্পত্তি নিলামে বিক্রি হলে বিক্রির তারিখ হতে কত দিনের মধ্যে মূল আদালতে জমা দিতে হবে?,৭ দিন,১৫ দিন,২১ দিন,৩০ দিন,b
'ক' দখল পুনরুদ্ধারের একটি মামলা দায়ের করেছে। মামলা দায়ের সময় ছিল ৬ মাস। 'ক' ১২ মাস পর মামলা দায়ের করেছে। বিবাদী পক্ষ তামাদির মেয়াদ নিয়ে কোন প্রশ্ন উত্থাপন করেনি। এই ক্ষেত্রে আদালত নিম্নলিখিত কোন ধরণের সিদ্ধান্ত দিতে পারে?,বিবাদী আপত্তি না করায় মামলা গ্রহণ করে বিচার শুরু করবে,বিবাদীর শর্তসাপেক্ষে মামলা বিচারে নিবে,মামলা খারিজ করবে,বিবাদীর আপত্তি না করায় তামাদি মওকুফ করে আদালত মামলা আমলে নিবে,c
বাংলাদেশ বার কাউন্সিলের আইন শিক্ষা কমিটিতে সর্বনিম্ন কত জন বিশ্ববিদ্যালয়ের সদস্য থাকবে?,৫ জন,৪ জন,২ জন,৬ জন,c
বেপরোয়াভাবে গাড়ি চালিয়ে মৃত্যু ঘটালে যে অপরাধ হয় তা-,জামিনযোগ্য,অ-জামিনযোগ্য,তফসিলযুক্ত,তফসিল বর্হির্ভূত,a
আত্মহত্যার প্রচেষ্টার সর্বোচ্চ শান্তি কী?,৬ মাসের বিনাশ্রম কারদণ্ড,অর্থদণ্ডসহ ৬ মাসের বিনাশ্রম কারাদণ্ড।,১ বছদরের বিনাশ্রম কারদণ্ড,অর্থদণ্ডসহ ১ মাসের বিনাশ্রম কারাদণ্ড।,c
প্রতিটি জেলায় সর্বোচ্চ ফৌজদারী আদালতের বিচারক হন,চীফ জুডিসিয়াল ম্যাজিস্ট্রেট।,জেলা জজ।,দায়রা জজ,জেলা ম্যাজিস্ট্রেট।,c
"সংক্ষিপ্ত বিচারে অনধিক ২০০/- টাকা অর্থদণ্ড হলে, ঐ আদেশের বিরুদ্ধে প্রতিকার হলো-",রিভিশন,আপীল,রেফারেন্স,কোনটিই নয়।,a
কোন ফৌজদারী আদালতের রিভিশন ক্ষমতা আছে?,চীফ জুডিসিয়াল ম্যাজিস্ট্রেট,চীফ মেট্রোপলিটন ম্যাজিস্ট্রেট,অতিরিক্ত দায়রা জজ,জেলা জজ,c
ফৌজদারী কার্যবিধির ১৬৪ ধারানুসারে একজন আসামীর দোষ স্বীকারোক্তিমূলক জবানাবন্দী লিপিবদ্ধ করার ক্ষমতা কার?,জেলা ম্যাজিস্ট্রেট,নির্বাহী ম্যাজিস্ট্রেট,মেট্রোপলিটন ম্যাজিস্ট্রেট,মেট্রোপলিটন জজ,c
"মৃত্যুদণ্ডে দণ্ডনীয় কোন অপরাধের তদন্ত যদি ১২০ দিনের মধ্যে সমাপ্ত না হয়, তবে আসামী-",অব্যাহতি পেতে পারে।,শাস্তি ভোগ করতে পারে।,দণ্ডিত হতে পারে।,জামিনে মুক্ত হতে পারে।,d
জেলা জজের আপীল এখতিয়ারবলে প্রচারিত ডিক্রির রিরুদ্ধে প্রতিকার কি?,আপীল,রেফারেন্স,রিভিশন,রিভিউ,c
ট্রাইব্যুনালের কোন আদেশ দ্বারা সংক্ষুপ্ত ব্যক্তি আপীল করতে পারে-,আপীল বিভাগে,হাইকোর্ট বিভাগে,জেলা জজ আদালতে,বার কাউন্সিল আপীল বোর্ডে,b
বার কাউন্সিল কর্তৃক বিধি প্রণয়নের ক্ষেত্রে পূর্ব-অনুমোদন লাগবে-,রাষ্ট্রপতির,প্রধান বিচারপতির,বার কাউন্সিলের চেয়ারম্যানের,সরকারের,d
"কোন মামলায় যে কোন পক্ষে একের অধিক এডভোকেট নিযুক্ত থাকলে, মামলা পরিচালনায় অধিকার থাকবে-",এডভোকেট যিনি সর্বপ্রথম নিযুক্ত।,এডভোকেট যিনি পক্ষ কর্তৃক মনোনীত।,নিযুক্তিয় এডভোকেটদের মধ্যে যিনি সিনিয়র।,নিযুক্তিয় এডভোকেটদের মধ্যে যে কোন একজন।,c
কে ১ম শ্রেণীর ম্যাজিস্ট্রেটের ক্ষমতা প্রয়োগ করতে পারে?,জেলা ম্যাজিস্ট্রেট,অতিরিক্ত জেলা ম্যাজিস্ট্রেট,মহানগর দায়রা জজ,মেট্রোপলিটন ম্যাজিস্ট্রেট,d
"কোন মহানগর এলাকায় পুলিশ কর্মকর্তা অ-আমলযোগ্য মামলার তদন্ত করতে পারবে না, যদি সে অনুমতি না নেয়-",মহা পুলিশ পরিদর্শকের,পুলিশ কমিশনারের,জেলা ম্যাজিস্ট্রেট,মেট্রোপলিটন ম্যাজিস্ট্রেট,d
একজন চীফ জুডিসিয়াল ম্যাজিস্ট্রেটের দন্ডাদেশের বিরুদ্ধে আপীল হবে-,হাইকোর্ট বিভাগে,জেলা জজ আদালতে,দায়রা জজ আদালতে,বিভাগীয় জজ আদালতে,c
৩য় শ্রেণীর ম্যাজিস্ট্রেট প্রদত্ত খালাস আদেশের বিরুদ্ধে আপীল হবে-,চীফ জুডিসিয়াল ম্যাজিস্ট্রেট আদালতে,দায়রা জজ আদালতে,জেলা জজ আদালতে,জেলা ম্যাজিস্ট্রেট আদালতে,b
ডাকাতির সাথে খুনের অপরাধের সর্বোচ্চ শাস্তি কি?,মৃত্যুদন্ড,যাভজ্জীবন কারাদন্ড,১০ বৎসরের সশ্রম কারাদন্ড,১০ বৎসরের বিনাশ্রম কারাদন্ড,a
দায়রা আদালতে কয়টি স্তরের বিচারক থাকতে পারে?,২ টি,৩ টি,৪ টি,৫ টি,b
দায়রা জজ প্রদত্ত মৃত্যু দন্ডাদেশ কার্যকর করার পূর্বে অনুমদন প্রযোজ্য হয়-,রাস্ট্রপতির,হাইকোর্ট বিভাগের,আপীল বিভাগ,প্রধানমন্ত্রীর,b
দায়রা জজ নিম্নোক্ত কোন আদেশের বিরুদ্ধে রিভিশনের ক্ষমতা প্রয়োগ করতে পারেন?,ম্যাজিস্ট্রেটর দন্ডাদেশ।,ম্যাজিস্ট্রেটর ডিসচার্জ আদেশ।,অতিরিক্ত দায়রা জজের আদেশ।,অপর্যাপ্ত দন্ডের আদেশ।,b
ফৌজদারী মামলায় চার্জ গঠনের দায়িত্ব কার?,বাদীর,সরকারী উকিলের,কোর্টের,পুলিশের,c
নালিশী মামলায় সমন ইস্যুর পর অভিযোগকারী নির্ধারিত তারিখে আদালতে হাজির না থাকলে আদালত কি আদেশ দিবে?,ওয়ারেন্টজারী করবে,মামলা খারিজ,আসামী খালাস,আসামী ডিসচার্জ,c
দন্ডবিধি অনিযায়ী বেআইনী সমাবেশ গঠনের জন্য কমপক্ষে কত জন ব্যক্তির উপস্থিতি প্রয়োজন?,৩ জন,৪ জন,৫ জন,৬ জন,c
আরজিতে মামলার কারণ উল্লেখ না থাকলে কি হবে?,আরজি ফেরৎ,আরজি নাকচ,মামলা খারিজ,মামলা চলবে,b
ভুল আদালতে দেওয়ানী মামলা দায়ারের ফল কি?,মামলা খারিজ,আরজী ফেরৎ,আরজী নাকচ,সঠিক আদালতে মামলা স্থানান্তর,b
অস্থায়ী নিষেধাজ্ঞার আদেশ ভঙ্গের ফল কি হতে পারে?,৬ মাসের বিনাশ্রম কারাদন্ড,জরিমানা,দেওয়ানী কারাগারে ৬ মাসের আটক আদেশ,কোনটিই নয়,c
পুলিশের নিকট আসামীর স্বীকারোক্তি কোন ক্ষেত্রে সাক্ষ্য হিসাবে আদালতে গ্রহনযোগ্য হবে?,ম্যজিস্ট্রেটের উপস্থিতিতে,নিরপেক্ষ স্বাক্ষীর উপস্থিতিতে,স্বীকারোক্তি মতে আলামত উদ্ধার,স্বীকারক্তি স্বেচ্ছামূলক হলে,a
এ্যাডভোকেট হিসাবে তালিকাভুক্তির জন্য একজন প্রার্থীর বয়স কত হবে?,১৮ বছর,২১ বছর,২৫ বছর,৩০ বছর,b
"'ক', 'খ' এর বৈধ চলাচলের রাস্তায় অর্ধেক অংশে নতুন বাড়ি নির্মাণ করেন এবং উক্ত পথ বন্ধ করে দেওয়ার হুমকি দেন। এক্ষেত্রে The Specific Relief Act, 1877 অনুসারে 'খ' এর সর্বোত্তম প্রতিকার কী?",বাধ্যতামূলক ও চিরস্থায়ী নিষেধাজ্ঞা,খাস দখল পুনরুদ্ধার,চিরস্থায়ী নিষেধাজ্ঞা,ঘোষণা ও খাস দখল পুনরুদ্ধার,a
নিম্নের কোন বিষয়ে ঘোষণামূলক ডিক্রি দেওয়া যায় না?,সম্পত্তির অধিকার,আইনগত মর্যাদা,চুক্তি উদ্ভূত আইনগত আধিকার,পদের অধিকার,c
মুসলিম আইনানুযায়ী কোনটি ওয়াকফ এর বৈধ উদ্দেশ্য নয়?,ভিক্ষুককে অর্থ দান,২০ বছরের জন্য ঈদ্গাহে দান,পয়ঃপ্রণালি নির্মাণ,মসজিদ আলোর ব্যবস্থা করা,a
"'ক', 'খ' এর ক্লাবে গান গাওয়ার চুক্তিতে আবদ্ধ হয়েও ইচ্ছাকৃত অনুপস্থিত থাকায় 'খ', 'গ' কে দিয়ে গান গাওয়ান। এক্ষেত্রে The Contract Act, ১৮৭২ অনুসারে কোনটি সঠিক?",খ' চুক্তি বাতিল করতে পারেন।,"ক', 'খ' কে ক্ষতিপূরণ দিতে বাধ্য নন।",ক' চুক্তি পালনে বাধ্য নন।,ক' ক্ষতিপূরণ দাবী করতে পারেন।,a
"The Registration Act, 1908 অনুসারে কোন দলিলের নিবন্ধন বাধ্যতামূলক নয়?",উইল,হেবা ঘোষনা,ইজারা,দানপত্র,a
"মানিলন্ডারিং প্রতিরোধ আইন, ২০১২ এর অধীনে বিচারার্থে আমলে গ্রহণের জন্য অনুমোদন প্রয়োজন হবে।","মানিলন্ডারিং প্রতিরোধ বিধিমালা, ২০১৯ দ্বারা নির্ধারিত কর্তৃপক্ষের",দুর্নীতি দমন কমিশনের,বাংলাদেশ ফাইন্যান্সিয়াল ইন্টেলিজেন্স ইউনিটের,বাংলাদেশ পুলিশের অপরাধ তদন্ত বিভাগের,b
একজন হানাফি মুসলিম ২০২১ সালে ৪ স্ত্রী ও পিতাকে রেখে মারা যান। তার সম্পত্তি বন্টনের ক্ষেত্রে নিম্নের কোন হিসাবটি সঠিক?,"পিতা ৩/৪, ৪ স্ত্রী একত্রে ১/৪","পিতা ৫/৬, ৪ স্ত্রী একত্রে ১/৬","পিতা ২/৩, ৪ স্ত্রী একত্রে ১/৩","পিতা ৭/৮, ৪ স্ত্রী একত্রে ১/৮",a
"'ক', 'খ' কে ১০০০/- টাকা ধার দেন এই শর্তে যে, 'খ' উক্ত টাকা ফেরত দিতে না পারলে 'গ', 'ক' কে তা ফেরত দিবেন। এটি একটি-",প্রায় চুক্তি,ক্ষতিপূরণের চুক্তি,বাজী চুক্তি,জিম্মা চুক্তি,b
সালিসী কাউন্সিলের অনুমতি ব্যতীত স্ত্রী থাকাকালীন পুনঃবিবাহ করলে তার সর্বোচ্চ কারাদন্ড..............,৬ মাস,১ বছর,২ বছর,৩ বছর,b
দলিল সম্পাদন অস্বীকারের কারণে সাব-রেজিস্ট্রার কর্তৃক নিবন্ধন প্রত্যাখাত হলে তার বিরুদ্ধে রেজিস্ট্রারের নিকট............. করতে হবে?,আপিল,আপত্তি,দরখাস্ত,আপিলের অনুমতি প্রার্থনা,a
'ক' কে গুরুতর জখম করার অপরাধে 'খ' এর সাজা হয়। উক্ত জখমের ফলে কিছুদিন পর 'ক' মারা যায়। এই প্রসঙ্গে কোন উক্তিটি সঠিক?,খ' এর পুনঃবিচার করা যাবেনা,ক' কে হত্যার জন্য 'খ' এর পুনঃবিচার হবে,"খ', 'ক' এর মৃত্যুর জন্য দায়ী হবেনা",খ' এর ফাঁসির আদেশ বা যাবজ্জীবন সাজা হবে।,b
যুদ্ধ ঘোষণার জন্য সম্মতি প্রয়োজন............... এর,জাতীয় সংসদ ,রাস্ট্রপতি,প্রধানমন্ত্রী ,মন্ত্রী পরিষদ,a
মানিলন্ডারিং অপরাধ করলে অর্থদণ্ড হবে অপরাধের সাথে সংশ্লিষ্ট সম্পত্তির............ মূল্যের,সমান,দ্বিগুণ,তিন গুণ,চার গুণ,b
দুর্নীতি সম্পর্কিত কোনো অভিযোগের অনুসন্ধান বা তদন্তের ক্ষেত্রে দুর্নীতি দমন কমিশনের ক্ষমতা প্রয়োগে বাধা প্রদানের শাস্তি কত বৎসর?,৭,৫,৩,১,c
বাংলাদেশ সংবিধানের কয়টি ভাগ আছে?,৯,১০,১১,১২,c
রাষ্ট্রপতি প্রধানমন্ত্রীর পরামর্শ ব্যতিরেকে কোন ব্যক্তিকে নিয়োগ প্রদান করতে পারেন?,অ্যাটর্নি জেনারেল,প্রধান বিচারপতি,হাইকোর্ট বিভাগের বিচারক,প্রধান নির্বাচন কমিশনার,b
কোন ব্যক্তির কার্যভার গ্রহণের পূর্বে শপথ নেওয়া আবশ্যক নয়?,ডেপুটি স্পীকার,সরকারী কর্ম কমিশনের সদস্য,অ্যাটর্নি-জেনারেল,মহা হিসাব-নিরীক্ষক ও নিয়ন্ত্রক,c
মৃত্যুকালীন ঘোষণার ক্ষেত্রে নিম্নের কোনটি সঠিক?,ম্যাজিস্ট্রেট ব্যতিত অন্য কারো নিকট মৃত্যুকালীন ঘোষণা দেওয়া যায় না,পুলিশের কাছে মৃত্যুকালীন ঘোষণা দিলে তা গ্রহণযোগ্য নয়,মৃত্যুকালীন ঘোষণা কেবল ডাক্তার এর সামনে দেওয়া যাবে,মৃত্যুকালীন ঘোষণা যে কোন ব্যক্তির সামনে দেওয়া যাবে,d
'ক' কে গুরুতর জখম করার অপরাধে 'খ' এর সাজা হলো। এর কিছু দিন পর ভিকটিম 'ক' মারা যায়। এ প্রসঙ্গে নিচের কোন উক্তিটি সঠিক?,খ' এর পুনঃবিচার করা যাবেন।,ক' কে হত্যার জন্য 'খ' এর পুনঃবিচার হবে,ক' কে হত্যার জন্য 'খ' এর ফাঁসির আদেশ হবে,খ' এর যাবজ্জীবন সাজা হবে।,b
দেওয়ানী মামলায় আরজি প্রত্যাখ্যাত হলে তার বিরুদ্ধে কী প্রতিকার আছে?,আপীল,রিভিশন,রিভিউ,কোনোটিই নয়,a
চূড়ান্ত ডিক্রির বিরুদ্ধে প্রতিকার কি?,আপীল,রিভিশন,রিভিউ,রেফারেন্স,a
দায়ারা মামলা বিচারের কোন পর্যায় পর্যন্ত চার্জ পরিবর্তন করা যায়?,রায় প্রচারের পূর্ব তারিখ পর্যন্ত,আসামীকে ৩৪২ ধারায় পরীক্ষার পূর্ব পর্যন্ত,যুক্তিতর্ক শ্রবণের পূর্ব পর্যন্ত,রায় প্রস্তুতের সময় পর্যন্ত,a
"একজন ১ম শ্রেণীর ম্যাজিস্ট্রেট প্রদত্ত দন্ডাদেশ অপর্যাপ্ত হলে, রাষ্ট্রপক্ষ দণ্ড বৃদ্ধির জন্য কোথায় আপীল করতে পারে?",চীফ জুডিসিয়াল ম্যাজিস্ট্রেট আদালতে,চীফ মেট্রোপলিটন ম্যাজিস্ট্রেট আদালতে,দায়রা জজ আদালতে,হাইকোর্ট বিভাগে,d
যাবজ্জীবন কারাদন্ডদেশের ক্ষেত্রে দণ্ডিত ব্যক্তির সম্মতি ব্যতিরেকেই উক্ত দণ্ডকে সরকার অনধিক কত বছরে হ্রাস করতে পারে?,১৫ বছর,২০ বছর,৩০ বছর,৩৫ বছর,b
যাবজ্জীবন কারাদণ্ডে দণ্ডিত ব্যক্তি কর্তৃক সংঘটিত খুনের সর্বনিম্ন শাস্তি কি?,মৃত্যুদণ্ড।,যাবজ্জীবন কারাদণ্ড।,মৃত্যুদণ্ড বা যাবজ্জীবন কারাদণ্ড।,২০ বছর মেয়াদের সশ্রম কারাদণ্ড।,a
কোন মামলা প্রমাণের জন্য কত জন সাক্ষীর সাক্ষ্যের প্রয়োজন?,অনূন্য ২ জন,অনূন্য ৪ জন,অনূন্য ৩ জন,কোন নির্দিষ্ট সংখ্যক নয়।,d
একটি জেলা জজ আদালত নিম্নের কোন বিচারিক কার্যক্রমের বিরুদ্ধে নিষেধাজ্ঞা দিতে পারে?,কোন উচ্চতর আদালতের কার্যক্রম।,কোন নির্বাহী ম্যাজিস্ট্রেট আদালতের কার্যক্রম।,কোন অধঃস্তন দেওয়ানী আদালতের কার্যক্রম।,কোন জুডিসিয়াল ম্যাজিস্ট্রেট আদালতের কার্যক্রম।,c
নিম্নের কোন চুক্তি সুনির্দিষ্টভাবে প্রতিপালনের জন্য বাধ্য করা যাবে?,যে চুক্তি পালন না হলে সাধিত ক্ষতি অর্থ দ্বারা পূরণযোগ্য।,যখন ট্রাস্টি কোন সংশ্লিষ্ট ট্রাস্ট্রের পরিপন্থী চুক্তি করে।,যখন কোন স্থাবর সম্পত্তি বিক্রির চুক্তি করা হয়।,যে চুক্তি বাতিলযোগ্য প্রকৃতির।,c
"'ক', 'খ'-এর নিকট ১০ শতক ভূমি বিক্রির দলিল সম্পাদন করে। উক্ত ১০ শতকের মধ্যে ৭ শতক সাভার, ২ শতক ধামরাই এবং ১ শতক কেরানীগঞ্জ উপজেলায় অবস্থিত। উক্ত দলিলটি রেজিস্ট্রির জন্য কোথায় উপস্থাপন করতে হবে?",সাভার সাব-রেজিস্ট্রার অফিসে।,টাঙ্গাইল সাব-রেজিস্ট্রার অফিসে।,কেরানীগঞ্জ সাব-রেজিস্ট্রার অফিসে।,ঢাকার জেলা রেজিস্ট্রার অফিসে।,a
"সংসদ ভেঙ্গে যাওয়া ব্যতীত অন্য কোন কারণে সংসদের সদস্য পদ শূন্য হলে, পদটি শূন্য হবার কত দিনের মধ্যে নির্বাচন করতে হবে?",৬০ দিন,৯০ দিন,১২০ দিন,১৮০ দিন,b
কোন বিলে রাষ্ট্রপতি কর্তৃক সম্মতি দেবার সময়সীমা কতদিন?,৩০ দিন,২০ দিন,১৫ দিন,৪০ দিন,c
কোনটি সাংবিধানিক প্রতিষ্ঠান?,আইন কমিশন,দূর্নীতি দমন কমিশন,নির্বাচন কমিশন,জুডিসিয়াল সার্ভিস কমিশন,c
দু'টি পৃথক মামলায় ভিন্ন দু'জন বাদী একই বিবাদীর বিরুদ্ধে একই সম্পত্তির ব্যাপারে একই স্বত্ব দাবী করলে নিম্নের কোন কার্যক্রম গ্রহণ সঠিক হবে?,দু'টি মামলার বিচার একত্রে চলবে। ,দু'টি মামলার বিচার পৃথক পৃথক কোর্টে চলবে। ,দু'টি মামলার মধ্যে পরের মামলাটি স্থগিত হবে।,দু'টি মামলার বিচার একই কোর্টে পাশাপাশি চলবে।,a
কোন ক্ষেত্রে ডিক্রিদার দায়িকের বিরুদ্ধে জারী মামলা করতে পারে না?,দখল উদ্ধারের ডিক্রি,স্বত্ব ঘোষণার ডিক্রি,বাটোয়ারার চূড়ান্ত ডিক্রি,স্থায়ী নিষেধাজ্ঞার ডিক্রি,b
জেলা জজ কর্তৃক রিভিশন মামলায় প্রদত্ত আদেশের বিরুদ্ধে সংক্ষুদ্ধ পক্ষ হাইকোর্ট বিভাগে-,সরাসরি রিভিশন দায়ের করতে পারে।,অনুমতি সাপেক্ষে রিভিশন দায়ের করতে পারে।,আপীল করতে পারে।,অনুমতি সাপেক্ষে আপীল করতে পারে।,b
