question,a,b,c,d,answer
বাংলাদেশের বৃহত্তম জাহাজ নির্মাণ ও মেরামত কারখানা কোনটি?,আনন্দ শিপইয়ার্ড লিঃ,ওয়েস্টার্ন মেরিন শিপইয়ার্ড লিঃ,খুলনা শিপইয়ার্ড,কোনোটিই নয়,c
বাংলাদেশের প্রাধান রপ্তানি দ্রব্য কোনটি?,পাট ও পাটজাত দ্রব্য,চিংড়ি,চামড়া ও চামড়াজাত দ্রব্য,তৈরী পোষাক,d
নিচের কোনটি বাংলাদেশের রপ্তানি পণ্য নয়?,কয়লা,কাঁকড়া,তৈরি পোষাক,আম,a
বাংলাদেশে সাবমেরিন ক্যাবলের মাধ্যমে প্রথম কোন উপজেলায় বিদ্যুৎ সরবরাহ করা হয়?,সন্দ্বীপ,হাতিয়া,সেন্টমার্টিন,মহেশখালী,a
বাংলাদেশের সর্ববৃহৎ বায়ু বিদ্যুৎ কেন্দ্র কোথায় অবস্থিত?,কক্সবাজার,নোয়াখালী,বরগুনা,ভোলা,a
দেশের প্রথম বায়ু বিদ্যুৎ কেন্দ্র কোন জেলায় অবস্থিত?,ফেনী,কক্সবাজার,চাঁদপুর,বাগেরহাট,a
বাংলাদেশের জলবিদ্যুৎ কেন্দ্রটির নাম কি?,ভেড়ামারা,রূপপুর,কাপ্তাই,পাকশী,c
রামপাল বিদ্যুৎকেন্দ্রটি কোন জেলায় অবস্থিত?,বাগেরহাট,সাতক্ষীরা,খুলনা,যশোর,a
বর্তমানে বাংলাদেশের সবচেয়ে বড় বিদ্যুৎ উৎপাদন কেন্দ্র কোনটি?,পায়রা,ঘোড়াশাল,রূপপুর,বড়পুকুড়িয়া,a
রূপপুর পারমাণবিক কেন্দ্র কোথায় অবস্থিত?,"কেরানীগঞ্জ, ঢাকা","বাঁশখালী, চট্টগ্রাম","ভেড়ামারা, কুষ্টিয়া","ঈশ্বরদী, পাবনা",d
বাংলাদেশের বৃহত্তম তাপ বিদ্যুৎ কেন্দ্র কোনটি?,ভেড়ামারা,আশুগঞ্জ,সিদ্ধিরগঞ্জ,গোয়ালপাড়া,a
পায়রা তাপ বিদ্যুৎকেন্দ্র কোথায় অবস্থিত?,ময়মনসিংহ,নেত্রকোনা,রংপুর,পটুয়াখালী,d
নিম্নের কোন পণ্যটি বাংলাদেশে হোয়াইট গোল্ড নামে পরিচিত?,পাট,ধান,চিনি,চিংড়ি,d
বাংলাদেশের কোন ছাগলের চামড়া বিশ্বে বিখ্যাত?,ব্ল্যাক বেঙ্গল,লোহানী ছাগল,রাম ছাগল,উপরের সবগুলো,a
ভৌগোলিক নির্দেশক জিআই পণ্য হিসেবে কবে বাংলাদেশের ইলিশ সনদপ্রাপ্ত হয়?,১৭ আগষ্ট ২০১৭,২৭ জানুয়ারি ২০১৯,১৭ জুন ২০২১,১৭ নভেম্বর ২০১৬,a
জিআই পণ্য হিসেবে স্বীকৃত প্রথম বাংলাদেশী পণ্য-,ক্ষীরসাপাতি আম,ঢাকাই মসলিন,ইলিশ মাছ,জামদানি শাড়ী,d
বাংলাদেশের দ্বিতীয় ভৌগলিক নির্দেশক পণ্য কোনটি?,ইলিশ মাছ,আম,জামদানি,চিংড়ি,a
কোন আমলে প্রাচীন বাংলার গৌরব 'মসলিন কাপড়' ঢাকায় তৈরি হতো?,পাল আমলে,সেন আমলে,সুলতানী আমলে,মোঘল আমলে,d
