question,a,b,c,d,answer
১৮৫৭ খ্রি. প্রথম স্বাধীনতা সংগ্রামে নেতৃত্ব দেন মুঘল সম্রাট-,শাহাজাহান,আওরঙ্গজেব,শাহ আলম,বাহাদুর শাহ জাফর,d
মজনুশাহ কোন আন্দোলনের নেতা?,ফরায়েজি আন্দোলনের,ওয়াহাবি আন্দোলনের,ফকির সন্নাসী আন্দোলনের,স্বদেশী আন্দোলনের,c
ময়মনসিংহ ও শেরপুরে ফকির সন্ন্যাসী আন্দোলনের নেতা ছিলেন-,ফকির মজনু শাহ,ফকির মুসা শাহ,ফকির আফগান শাহ,ফকির বুগরা শাহ,a
আলীগড় আন্দোলনের প্রতিষ্ঠাতা কে?,স্যার সৈয়দ আহমদ খান,রাজা রামমোহন রায়,ওস্তাদ ঈসা,হাজী শরীয়তুল্লাহ,a
সৈয়দ মীর নিসার আলী বাংলায় কি নামে পরিচিত?,দুদু মিয়া,তিতুমীর,ফরায়েজী,সব্যসাচি,b
কার নেতৃত্বে আলীগঢ় আন্দোলন শুরু হয়?,সৈয়দ আমীর আলী,নবাব আব্দুল লতিফ,স্যার সৈয়দ আহমদ খান,ইসমাইল হোসেন সিরাজী,c
বিধবা বিবাহ আইন প্রচলনে কার অবদান ছিল?,রাজা রামমোহন রায়,দেবেন্দ্রনাথ ঠাকুর,মৃত্যুঞ্জয় বিদ্যালংকার,ঈশ্বরচন্দ্র বিদ্যাসাগর,d
 ইয়ংবেঙ্গল আন্দোলনের পুরোধা-ব্যক্তি কে ছিলেন?,বুদ্ধদেব বসু,কাজী আবদুল ওদুদ,সুনীল গঙ্গোপাধ্যায়,হেনরি লুই বিভিয়ান ডিরোজিও,d
'বাঙ্গালী মুসলমানদের শিক্ষা প্রসারে 'মোহামেডান লিটারারি সোসাইটি'- এর প্রতিষ্ঠাতা কে?,নওয়াব আবদুল লতিফ,হাজী মুহাম্মদ মুহসীন,সৈয়দ আমীর আলী,স্যার সলিমুল্লাহ,a
সতীদাহ প্রথা কে বিলোপ করেন?,লর্ড কর্নওয়ালিস,রাজা রামমোহন রায়,ঈশ্বর চন্দ্র বিদ্যাসাগর,লর্ড বেন্টিঙ্ক,d
বঙ্গভঙ্গের ফলে কোন নতুন প্রদেশ সৃষ্টি হয়েছিল?,পূর্ববঙ্গ,পশ্চিমবঙ্গ ও ত্রিপুরা,পূর্ববঙ্গ ও পশ্চিমবঙ্গ,পূর্ববঙ্গ ও আসাম,d
বঙ্গভঙ্গ রদ কে ঘোষণা করেন?,লর্ড কার্জন,রাজ পঞ্চম জর্জ,লর্ড মাউন্ট ব্যাটেন,লর্ড ওয়াভেল,b
পূর্ববঙ্গ ও আসাম প্রদেশ গঠনকালে ব্রিটিশ ভারতের গভর্নর জেনারেল ও ভাইসরয় ছিলেন,লর্ড রিপন,লর্ড কার্জন,লর্ড মিন্টো,লর্ড হার্ডিঞ্জ,b
বঙ্গভঙ্গের বিরুদ্ধে স্বদেশি আন্দোলনের নেতৃত্ব দান করেন কে?,বলভভাই প্যাটেল,সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়,হাজী শরীয়তউল্লাহ,অরবিন্দ ঘোষ,b
কে মুসলিম লীগ প্রতিষ্ঠা করেন?,মাওলানা ভাসানী,নবাব সলিমুল্লাহ্‌,সৈয়দ আমীর আলী,হাজী মুহম্মদ মুহসীন,b
কে বাংলার গ্রামে গ্রামে ঘুরে 'পড়ো না রেশমী চুড়ি বঙ্গনারী' গান গেয়ে জনগণের মধ্যে স্বদেশি আন্দোলনের পক্ষে তীব্র আবেগ সৃষ্ট করেন?,কবি মুকুন্দ দাস,সৈয়দ আমীর আলী,বঙ্কিম চন্দ্র,সুভাষ চন্দ্র বসু,a
কে বঙ্গভঙ্গ ব্যবস্থা রহিত করেন?,লর্ড বেন্টিংক,লর্ড হার্ডিঞ্জ,লর্ড কার্জন,লর্ড ডালহৌসি,b
বঙ্গভঙ্গ এর প্রতিক্রিয়ায় গড়ে ওঠা আন্দোলনের নাম কী?,খেলাফত আন্দোলন,অসহযোগ আন্দোলন,ওয়াহাবি আন্দোলন,স্বদেশী আন্দোলন,d
কে ব্রিটিশ বিরোধী স্বাধীনতা যুদ্ধের নেতা?,বল্লাল সেন,বনলতা সেন,অর্মত্য সেন,সূর্যসেন,d
ব্রিটিশ বিরোধী আন্দোলনের সাথে সম্পৃক্ত প্রথম নারী কে?,কল্পনা চাকমা,জাহানারা ইমাম,বেগম রোকেয়া,প্রীতিলতা ওয়াদ্দেদার,d
মাস্টারদা সূর্যসেনের ফাঁসি কার্যকর হয়েছিল?,আন্দামানে,মেদিনীপুরে,ব্যারাকপুরে,চট্টগ্রামে,d
প্রীতিলতা ওয়াদ্দেদার যে আন্দোলনের নেত্রী ছিলেন?,তেভাগা,নকশাল,স্বদেশি,অসযোগ,c
অসহযোগ এবং খেলাফত আন্দোলনের সঙ্গে জড়িত স্মরণীয় নায়ক কে?,মোহাম্মদ আলী জিন্নাহ,মাওলানা মোহাম্মদ আলী,আগা খান,আব্দুল রহিম,b
'দেশবন্ধু' উপাধি পেয়েছিলন কোন রাজনীতিবিদ?,সুভাষ চন্দ্র বসু,এ কে ফজলুল হক,চিত্তরঞ্জন দাশ,শরৎচন্দ্র বসু,c
অবিভক্ত বাংলার শেষ মুখ্যমন্ত্রী কে ছিলেন?,এ কে ফজলুল হক,হোসেন শহীদ সোহরাওয়ার্দী,নিজাম উদ্দিন,আইয়ুব খান,b
'আজাদ হিন্দ ফৌজ' এর সর্বাধিনায়ক কে ছিলেন?,মহাত্মা গান্ধী,নেতাজী সুভাষচন্দ্র বসু,সর্দার বল্লভ ভাই প্যাটেল,জওহর লাল নেহেরু,b
অবিভক্ত বাংলার প্রথম মুখ্যমন্ত্রী-,শেখ মুজিবুর রহমান,এ. কে. ফজলুল হক,মোহাম্মাদ আলী জিন্নাহ,শহীদ সোহরাওয়ার্দী,b
অবিভক্ত বাংলার দ্বিতীয় মুখ্যমন্ত্রী-,আবুল হাসেম,এ. কে. ফজলুল হক,শহীদ সোহরাওয়ার্দী,খাজা নাজিমউদ্দীন,d
দ্বি-জাতি তত্ত্বের প্রবক্তা কে ছিলেন?,আল্লামা ইকবাল,স্যার সৈয়দ আহম্মদ,মোহাম্মাদ আলী জিন্নাহ,স্যার সলিমুল্লাহ,c
