question,a,b,c,d,answer
'আমার ভাইয়ের রক্তে রাঙানো একুশে ফেব্রুয়ারি' - এ গানের প্রথম সুরকার কে?,আবদুল গাফফার চৌধুরী,আলতাফ মাহমুদ,আসাদ চৌধুরী,আবদুল লতিফ,d
২১ শে ফেব্রুয়ারিকে 'আন্তর্জাতিক মাতৃভাষা দিবস' হিসেবে ঘোষণা করে কোন সংস্থা?,ইউনেস্কো,ইউনিসেফ,বিশ্ব স্বাস্থ্য সংস্থা,ইউএনডিপি,a
১৯৫৪ সালে পূর্ব পাকিস্তান প্রাদেশিক নির্বাচনে যুক্তফ্রন্টভুক্ত রাজনৈতিক দল নয়-,ন্যাশনাল আওয়ামী পার্টি,কৃষক প্রজা পার্টি,নেজাম ইসলাম,আওয়ামী লীগ,a
যুক্তফ্রন্ট মন্ত্রীসভায় বঙ্গবন্ধু শেখ মুজিবর রহমান কী বিষয়ক মন্ত্রী ছিলেন?,স্বরাষ্ট্র,"কৃষি, সমবায় ও স্থানীয় সরকার",পররাষ্ট্র,বন ও পাট,b
১৯৫৪ সালের নির্বাচনে কোন দল জয়লাভ করে?,যুক্তফ্রন্ট,মুসলিম লীগ,ন্যাপ,কংগ্রেস,a
ঐতিহাসিক ৬-দফা দাবিতে কোন দু'টি বিষয় কেন্দ্রিক সরকার হাতে রাখার হাতে রাখার প্রস্তাব ছিল?,বৈদেশিক বাণিজ্য ও প্রতিরক্ষা,অর্থ ও পররাষ্ট্র,স্বরাষ্ট্র ও পরিকল্পনা,প্রতিরক্ষা ও পররাষ্ট্র,d
ঐতিহাসিক 'ছয় দফা দাবিতে' যে বিষয়টি অন্তর্ভুক্ত ছিল না-,শাসনতান্ত্রিক কাঠামো,কেন্দ্রীয় সরকারের ক্ষমতা,স্বতন্ত্র মুদ্রা ব্যবস্থা,বিচার ব্যবস্থা,d
পূর্ব বাংলার মুক্তি সনদ কোনটি?,ভাষা আন্দোলন,১৯৬৯ এর গণঅভ্যুত্থান,ছয়দফা আন্দোলন,২১ দফা,c
আওয়ামী লীগের ঐতিহাসিক ছয় দফা-র প্রথম দফা-,প্রাদেশিক স্বায়ত্তশাসন,রাষ্ট্রভাষা বংলা,ধর্মনিরপেক্ষতা,স্বতন্ত্র মুদ্রা ব্যবস্থা চালু,a
৬ দফার সবচেয়ে গুরুত্বপূর্ণ তাৎপর্য হলো-,ভাষা আন্দোলনের সফল বাস্তবায়ন,বাঙ্গালি জাতীয়তাবাদের ধারণার বিকাশ,শিক্ষা সংস্কার,অর্থনৈতিক মুক্তি আন্দোলন,b
আগরতলা ষড়যন্ত্র মামলার দাপ্তরিক নাম কী ছিল?,আগরতলা ষড়যন্ত্র,রাষ্ট্র বনাম আগরতলা ,রাষ্ট্র বনাম শেখ মুজিবর রহমান ও অন্যান্য,সরকার বনাম শেখ মুজিবর রহমান ও অন্যান্য,c
বাংলাদেশের প্রথম শহিদ বুদ্ধিজীবী কে?,গোবিন্দ্রচন্দ্র দেব,শহীদুল্লাহ কায়সার,ড. শামসুজ্জোহা,জহির রায়হান,c
বঙ্গবন্ধুর ১৯৭১ সালের ৭ মার্চ ভাষণের সময়কাল পূর্ব পাকিস্তানে যে আন্দোলন চলছিল সেটি হলো-,ইসলামাবাদের সামরিক সরকার পদত্যাগের আন্দোলন,পূর্ব পাকিস্তানে অসহযোগ আন্দোলন,প্রেসিডেন্ট ইয়াহিয়ার পদত্যাগ আন্দোলন,মার্শাল 'ল' পদত্যাগের আন্দোলন,b
কত তারিখে সর্বপ্রথম বাংলাদেশের জাতীয় পতাকা উত্তোলিত হয়?,২ মার্চ ১৯৭১,৭ মার্চ ১৯৭১,২৩ মার্চ ১৯৭১,২৫ মার্চ ১৯৭১,a
১৯৭১ সালের মুক্তিযুদ্ধের সময় বাংলাদেশের পতাকা প্রথম কোন বিদেশী মিশনে উড়ানো হয়?,"২৬ মার্চ, মস্কোতে","১৮ এপ্রিল, নয়াদিল্লীতে","১৮ এপ্রিল, কলকাতায়","১৬ ডিসেম্বর, কাঠমান্ডুতে",c
বঙ্গুবন্ধুর ৭ মার্চের ভাষণের উপর ভিত্তি করে নির্মিত চলচ্চিত্রে নাম কী?,ভয়েস অব লিবার্টি,ওরা ১১ জন,দ্য স্পিচ,স্টপ জেনোসাইড,c
৭ মার্চের পটভূমিতে রচিত কবিতা-,বাতাসে লাশের গন্ধ'-রুদ্র মুহম্মদ শহীদুল্লাহ,"স্বাধীনতা, এই শব্দটি কীভাবে আমাদের হলো'- নির্মলেন্দু গুণ",বুক তার বাংলাদেশের হৃদয়'- শামসুর রাহমান,আমার পরিচয়' সৈয়দ শামসুল হক,b
মুক্তিযুদ্ধের প্রথম সশস্ত্র প্রতিরোধ গড়ে তোলেন-,আনসার ভিডিপি,ইস্টবেঙ্গল রেজিমেন্ট,ই. পি. আর,পুলিশ,b
কোন সাংকেতিক নামে পাকিস্তানি বাহিনী ১৯৭১ সালের ২৫ মার্চ মধ্য রাতে নিরীহ বাঙালির উপর হামলা করেছিল?,অপারেশন ব্লু স্টার,অপারেশন ক্লিনহার্ট,অপারেশন সার্চ লাইট,অপারেশন হান্ট,c
মুজিবনগর সরকারকে গার্ড অব অনার নেতৃত্ব দেন কে?,মোহাম্মদ সোলায়মান,আব্দুল খালেক,মাহবুব উদ্দিন আহমেদ,শৈলেন্দ্র কিশোর চৌধুরী,c
মুজিবনগর সরকারের ত্রাণ ও পুনর্বাসনা মন্ত্রী কে ছিলেন?,তাজউদ্দিন আহমেদ,এ এইচ এম কামারুজ্জামান,সৈয়দ নজরুল ইসলাম,এম মনসুর আলী,b
মুজিবনগর সরকারের অর্থনীতি বিষয়ক ও পরিকল্পনা বিভাগের দায়িত্বে কে ছিলেন?,তাজউদ্দিন আহমেদ,সৈয়দ নজরুল ইসলাম,এম. মনসুর আলী,এ. এইচ. এম. কামারুজ্জামান,a
১৯৭১ সালে মুজিবনগর সরকার কর্তৃক প্রকাশিত পত্রিকার নাম ছিল-,জয় বাংলা,বাংলাদেশ,স্বাধীনতা,মুক্তির ডাক,a
বাংলাদেশর প্রথম অস্থায়ী সরকার গঠিত হয়-,৭ মার্চ ১৯৭১,২৬ মার্চ ১৯৭১,১০ এপ্রিল ১৯৭১,১৭ এপ্রিল ১৯৭১,c
বাংলাদেশর প্রথম অস্থায়ী সরকার শপথ নেয় কত সালে?,১৭ এপ্রিল ১৯৭১,২৬ মার্চ ১৯৭১,১১ এপ্রিল ১৯৭১,১০ জানুয়ারি ১৯৭১,a
মুজিবনগর সরকারের অস্থায়ী কার্যালয় কোথায় অবস্থিত ছিলো?,মেহেরপুর,কলকাতা,ঢাকা,আগারতলা,b
মুজিবনগর সরকারের প্রেসিডেন্ট কে ছিলেন?,বঙ্গবন্ধু শেখ মুজিবুর রহমান,সৈয়দ নজরুল ইসলাম,তাজউদ্দিন আহমেদ,ক্যাপ্টেন মনসুর আলী,a
মুজিবনগর সরকারের মুখ্য সচিব কে ছিলেন?,এইচ টি ইমাম,মাহবুবুল আলম চাষী,খন্দকার আসাদুজ্জামান,রুহুল কুদ্দুস,d
মুক্তিযুদ্ধকালে বাংলাদেশ সরকারের সর্বদলীয় উপদেষ্টা কমিটির চেয়ারম্যান কে ছিলেন?,সৈয়দ নজরুল ইসলাম,মাওলানা আব্দুল হামিদ খান ভাসানী,তাজউদ্দিন আহমেদ,কমরেড মনি সিংহ ,b
মুক্তিযুদ্ধের সময় বাংলাদেশ সরকারের চীপ অব স্টাফ কে ছিলেন?,কর্নেল (অব.) এম. এ. জি. ওসমানী,মেজর খালেদ মোশাররফ,গ্রুপ ক্যাপ্টেন এ. কে. খন্দকার,কর্নেল (অব.) এম. এ. রব,d
বিচারপতি আবু সাঈদ চৌধুরী ১৯৭১ সালে গঠিত মুজিবনগর সরকারের কোন পদে নিযুক্ত ছিলেন?,পররাষ্ট্র বিষয়ক মন্ত্রী,আইন ও বিচার বিষয়ক মন্ত্রী,বিশেষ কূটনৈতিক প্রতিনিধি,নয়াদিল্লীস্থ বাংলাদেশ মিশন প্রধান,c
বাংলাদেশের অস্থায়ী সরকারের ঘোষণাপত্র পাঠ করেন কে?,অধ্যাপক ইউসুফ আলী,তাজউদ্দিন আহমেদ,সৈয়দ নজরুল ইসলাম,এম মনসুর আলী,a
"১৭ এপ্রিল, ১৯৭১ সনে মুজিবনগর সরকারের শপথ গ্রহণ অনুষ্ঠান পরিচালনা করেন কে?",মোহাম্মদ ইউসুফ আলী,সৈয়দ নজরুল ইসলাম,আব্দুল মান্নান,তাজউদ্দিন আহমেদ,c
মুজিবনগর সরকারে অর্থমন্ত্রীর নাম কী?,অধ্যাপক ইউসুফ আলী,এ এইচ এম কামরুজ্জামান,তাজউদ্দিন আহমেদ,ক্যাপ্টেন এম মনসুর আলী,d
মুজিবনগরের অবস্থান-,মেহেরপুরের সদানন্দপুরে,মেহেরপুরের বৈদ্যনাথতলায়,মেহেরপুরের শ্রীনাথতলায়,মেহেরপুরের বৈকুন্ঠতলায়,b
মুজিবনগর সরকারের স্বরাষ্ট্রমন্ত্রী কে ছিলেন?,তাজউদ্দিন আহমেদ,ক্যাপ্টেন এম মনসুর আলী,এ এইচ এম কামরুজ্জামান,এইচ টি ইমাম,c
মুক্তিবাহিনীর 'ওয়ার স্ট্যাটেজি' কী নামে পরিচিতি?,তেলিয়াপাড়া স্ট্যাটেজি,বাঘাইছড়ি স্ট্যাটেজি,মুজিবনগর স্ট্যাটেজি,আগরতলা স্ট্যাটেজি,a
মুক্তিযুদ্ধে 'ক্রাক প্লাটুন' কোন শহরে সক্রিয় ছিল?,চট্টগ্রাম,খুলনা,ঢাকা,বরিশাল,c
শহিদ মুক্তিযোদ্ধা শাফী ইমাম রুমি মুক্তিবাহিনীর কোন গোরিলা দলের সদস্য ছিলেন?,বাংলাদেশ লিবারেশন ফোর্স,ক্র্যাক প্লাটুন,বিএনএস বাশার,ঢাকা গোরিলা ( দক্ষিণ),b
কোন শিল্পী মুক্তিযুদ্ধে প্লাটুন কমান্ডার হিসাবে অংশগ্রহণ করেন?,শাহাবুদ্দীন আহমেদ,জামালউদ্দিন আহমদ,হামিদুজ্জামান খান,আমিনুল ইসলাম,a
মুক্তিযুদ্ধে K ফোর্সের প্রধান কে ছিলেন?,কে. এম. শফিউল্লাহ,এ. এইচ. এম. কামারুজ্জামান,খালেদ মোশাররফ,কাদের সিদ্দিকী,c
আমাদের মুক্তিযুদ্ধে কয়টি সেক্টর ছিল?,৭,৯,১১,১৩,c
কোন বিদেশি সাংবাদিক ১৯৭১ সালের গণহত্যার খবর প্রথম বহির্বিশ্বে প্রকাশ করেন?,হেজেল হাম্ব,মার্ক টালি,সাইমন ড্রিং,অ্যান্থনি মাসকারেনহাস,c
বাংলাদেশর স্বাধীনতা ঘোষণা বার্তাটি কোন সংগঠনের মাধ্যমে বাংলাদেশের সকল স্থানে প্রচারিত হয়েছিল?,পুলিশ বাহিনী,ইপিআর,সেনাবাহিনী,বিডিআর,b
ক্ষুদ্র-নৃগোষ্ঠী জনসমাজ থেকে বাংলাদেশের মুক্তিযুদ্ধে একমাত্র 'বীর বিক্রম' খেতাবধারী মুক্তিযোদ্ধা কে ছিলেন?,অরূপ মারমা,ঝিলংজা মারমা,সুকান্ত মারমা,ইউ কে চিং মারমা,d
স্বাধীন বাংলা বেতার কেন্দ্র প্রথম কোথায় স্থাপিত হয়েছিল?,"নাসিরাবাদ, চট্টগ্রাম","কালুরঘাট, চট্টগ্রাম","আগ্রাবাদ, চট্টগ্রাম","শাহাবাগ, ঢাকা",b
'বীর প্রতিক' খেতাব প্রাপ্ত সর্বকনিষ্ঠ মুক্তিযোদ্ধার নাম কী?,আকবর হোসেন,শহীদুল ইসলাম,মোহাম্মদ শফিউল্লাহ,মাহবুব-উল আলম,b
মুক্তিযোদ্ধার সম্মানসূচক সর্বোচ্চ খেতাব কোনটি?,বীরউত্তম,বীরপ্রতীক,বীরবিক্রম,বীরশ্রেষ্ঠ,d
১৯৭১ সালে মুক্তিযুদ্ধে বিশেষ অবদানের জন্য কোন দুই নারীকে 'বীরপ্রতিক' উপাধিতে ভূষিত করা হয়?,তারামান বিবি ও ময়মুনা বিবি,সিতারা বেগম ও ময়মুনা বিবি,তারামান বিবি ও সিতারা বেগম,ময়মুনা বিবি ও তারামান বিবি,c
মুক্তিযুদ্ধের একমাত্র নারী কমান্ডারের নাম কী?,সিতারা বেগম,তারামান বিবি,কাকন বিবি,আশালতা বৈদ্য,d
বীরপ্রতিক খেতাবপ্রাপ্ত একমাত্র বিদেশি মুক্তিযোদ্ধা কে?,ডব্লিউ এস ওডারল্যান্ড,মার্ক টালি,আন্দ্রে মালরো,এডওয়ার্ড কেনেডি,a
মুক্তিবাহিনী ও ভারতীয় বাহিনী মিলে জয়েন্ট ফোর্স গঠিত হয়-,জেনারেল জ্যাকবের নেতৃত্বে,লে. জেনারেল জগজিৎ অরোরার নেতৃত্ব,জেনারেল এম এ জি ওসমানীর নেতৃত্বে,জেনারেল বানের নেতৃত্বে,b
সেপ্টেম্বর অন যশোর রোড' কবিতাটির রচয়িতা কে?,জর্জ হ্যারিসন,পল ওয়ালেস,বব ডিলারন,অ্যালেন গিন্সবার্গ,d
মুক্তিযুদ্ধ চলাকালীন বাংলাদেশের শরণার্থীদের সাহায্যের উদ্দেশ্য আয়োজিত সঙ্গীতানুষ্ঠান 'দ্যা কনসার্ট ফর বাংলাদেশ' কোন শহরে অনুষ্ঠিত হয়েছিল?,লন্ডন,ম্যানচেষ্টার,প্যারিস,নিউইয়র্ক,d
কনসার্ট ফর বাংলাদেশ- ১৯৭১ এর প্রধান শিল্পী কে?,জর্জ উইলিয়াম,জর্জ হ্যারিসন,আলাউদ্দিন,কেউ না,b
১৯৭১ সালে অনুষ্ঠিত 'কনসার্ট ফর বাংলাদেশ' -এর রবিশঙ্কর ও অন্য ভারতীয় শিল্পীদের পরিবেশিত সংগীতের নাম কী ছিল?,বাংলাদেশ,সং অব বাংলাদেশ,বাংলার ধুন,মাই সুইট লর্ড,c
বাংলাদেশের স্বাধীনতার সংগ্রামে প্রথম শহীদ বুদ্ধিজিবী-,ড. মুনীর চৌধুরী,ড. গোবিন্দ চন্দ্র দেব,ড. সৈয়দ মুহম্মদ শামসুজ্জোহা,ড. আনোয়ার পাশা,c
১৯৭১ সালে মুক্তিযুদ্ধের সময় জাতিসংঘে কোন দেশ বাংলাদেশের পক্ষে 'ভেটো' প্রদান করেছিল?,যুক্তরাজ্য,ফ্রান্স,যুক্তরাষ্ট্র,সোভিয়েত ইউনিয়ন,d
মুক্তিযুদ্ধের সময় বাংলাদেশের স্বাধীনতা লাভের বিরোধিতা করেছিল জাতিসংঘের নিরাপত্তা পরিষদে কোন দুইটি স্থায়ী রাষ্ট্র?,যুক্তরাজ্য ও চীন,যুক্তরাষ্ট্র ও ফ্রান্স,চীন ও যুক্তরাষ্ট্র,রাশিয়া ও ফ্রান্স,c
বাংলাদেশকে প্রথম স্বীকৃতি দানকারী দেশ কোনটি?,ভারত,শ্রীলঙ্কা,মায়ানমার,ভুটান,d
কোন আরব দেশ বাংলাদেশকে প্রথম স্বীকৃতি দেয়?,ইরাক,মিশর,কুয়েত,জর্ডান,a
স্বাধীনতার পর প্রকাশিত প্রথম স্মারক ডাকটিকিটে কিসের ছবি ছিল?,সোনা মসজিদ,কেন্দ্রীয় শহিদ মিনার,জাতীয় স্মৃতিসৌধ,লালবাগ কেল্লা,b
'গণহত্যা যাদুঘর' কোথায় অবস্থিত?,ঢাকা,চট্টগ্রাম,কুমিল্লা,খুলনা,d
রাজেন্দ্রপুর সেনানিবাসে অবস্থিত মুক্তিযুদ্ধের স্মৃতিস্তম্ভের নাম কি?,বিজয়স্তম্ভ,বিজয়কেতান,রক্তসোপান,স্বাধীনতা সোপান,c
মুক্তিযুদ্ধভিত্তিক উপন্যাস 'নিষিদ্ধ লোবান' কার রচনা?,আমজাদ হোসেন,হুমায়ুন আহমেদ,শওকত ওসমান,সৈয়দ শামসুল হক,d
মুক্তিযুদ্ধ বিষয়ক গ্রন্থ 'হাঙর নদী গ্রেনেড' কে লিখেছেন?,হুমায়ূন আহমেদ,শওকত ওসমান,সেলিনা হোসেন,জাহানারা ইমাম,c
'জোছনা ও জননীর গল্প'-এর লেখক কে?,শওকত ওসমান,আনিসুল হক,সেলিনা হোসেন,হুমায়ূন আহমেদ,d
'জীবন থেকে নেয়া' চলচ্চিত্র পরিচালক কে?,আলমগীর,জহির রায়হান,সুভাষ দত্ত,আমজাদ হোসেন,b
বাংলাদেশের মুক্তিযুদ্ধের পটভূমিকায় নির্মিত 'ধীরে বহে মেঘনা' চলচ্চিত্রের নির্মাতা কে?,আলমগীর কবির,খান আতাউর রহমান,হুমায়ূন আহমেদ,সুভাস দত্ত,a
'সূর্য দীঘল বাড়ি' চলচ্চিত্রের পরিচালক কে?,শেখ নিয়ামত শাকের,জহির রায়হান,সুভাস দত্ত,খান আতা,a
'স্টপ জেনোসাইড' কার লেখা?,জহির রায়হান,মুনীর চৌধুরী,অমিয় চক্রবর্তী,সুকান্ত ভট্টাচার্য,a
মুক্তিযুদ্ধভিত্তিক চলচ্চিত্র 'আগুনের পরশমনি' এর পরিচালক কে?,হুমায়ূন আহমেদ,শিবলী সাদিক,অরণ্য আনোয়ার,পঙ্কজ পালিত,a
'মাটির ময়না' চলচ্চিত্রের নির্মাতা কে?,তারেক মাসুদ,মোস্তফা সরয়ার ফারুকী,মৃনাল সেন,হুমায়ুন আহমেদ,a
'গেরিলা' চলচ্চিত্রের পরিচালক কে?,জহির রায়হান,আমজাদ হোসেন,নাসির উদ্দিন ইউসুফ,মোরশেদুল ইসলাম,c
বাংলাদেশের মুক্তিযুদ্ধের উপর নির্মিত প্রথম মুক্তিপ্রাপ্ত চলচ্চিত্র কোনটি?,সংগ্রাম,অনুণোদয়ের অগ্নিস্বাক্ষী,ওরা ১১ জন,রক্তাক্ত প্রান্তর,c
পূর্ণদৈর্ঘ্য চলচ্চিত্র 'ওরা ১১ জন' এর পরিচালক কে?,জহির রায়হান,খান আতাউর রহমান,চাষী নজরুল ইসলাম,আলমগীর কুমকুম,c
'তিতাস একটি নদীর নাম' চলচ্চিত্রের পরিচালক-,আলমগীর কবির,ঋত্বিক ঘটক,জহির রায়হান,সত্যজিৎ রায়,b
মুক্তিযুদ্ধভিত্তিক স্বল্পদৈর্ঘ্য 'হুলিয়া' ছবির পরিচালক কে?,আমজাদ হোসেন,তানভীর মোকাম্মেল,চাষী নজরুল ইসলাম,মোরশেদুল ইসলাম,b
মুক্তিযুদ্ধভিত্তিক 'জয়যাত্রা' চলচ্চিত্রের পরিচালক কে?,সালাউদ্দিন লাভলু,তৌকির আহমেদ,কবীর আনোয়ার,হুমায়ূন আহমেদ,c
'খেলাঘর' চলচ্চিত্রের পরিচালক কে?,তারেক মাসুদ,তৌকির আহমেদ,মোরশেদুল ইসলাম,খান আতাউর রহমান,c
মুক্তিযুদ্ধের প্রেক্ষাপটে নির্মিত প্রথম প্রামাণ্য চিত্রের নাম কী?,স্টপ জেনোসাইড,লেট দেয়ার বি লাইট,গেরিলা,নাইম মান্তস টু ফ্রিডম,a
ঢাকা সেনানিবাসে অবস্থিত মুক্তিযুদ্ধের স্মৃতিস্তম্ভের নাম কি?,বিজয় কেতন,স্বাধীনতা সোপান,রক্ত সোপান,বিজয় স্তম্ভ,a
মুক্তিযুদ্ধভিত্তিক ভাস্কর্য 'বিজয় গাথা' কোথায় অবস্থিত?,রংপুর সেনানিবাস,যশোর সেনানিবাস,ঢাকা সেনানিবাস,সিলেট সেনানিবাস,a
স্বাধীনতা যুদ্ধের প্রতীক হিসাবে পরিচিত ভাস্কর্য 'অঙ্গীকার' এর অবস্থান কোথায়?,মেহেরপুর,রংপুর,চাঁদপুর,জয়দেবপুর,c
মুক্তিযুদ্ধের স্মারক ভাস্কর্য 'বিজয়-৭১' কোথায় অবস্থিত?,বাংলাদেশ প্রকৌশল বিশ্ববিদ্যালয়,ময়মনসিংহ কৃষি বিশ্ববিদ্যালয়,রাজশাহী বিশ্ববিদ্যালয়,খুলনা বিশ্ববিদ্যালয়,b
মুক্তিযুদ্ধের ভাস্কর্য 'সংশপ্তক' এর ভাস্কর?,হামিদুজ্জামান খান,শাকিম সিকদার,সৈয়দ আবদুল্লাহ খালেদ,মৃণাল হক,a
'সাভার জাতীয় স্মৃতিসৌধ' এর স্থাপতি কে?,সৈয়দ মইনুল হোসেন ,মাজহারুল ইসলাম,মৃনাল হক,আব্দুর রাজ্জাক,a
স্বাধীনতার পর মুক্তিযুদ্ধের প্রথম স্থাপত্য কোনটি?,মোদের গরব,অপরাজেয় বাংলা,সাবাশ বাংলাদেশ,জাগ্রত চৌরঙ্গী,d
এক সাগর রক্তের বিনিময়ে বাংলার স্বাধীনতা আনলে যারা-গানটির সুরকার কে?,গোবিন্দ হালদার,আবদুল জব্বার,আপেল মাহমুদ,হাসান রাজা,a
