question,a,b,c,d,answer
বাংলার প্রাচীনতম বন্দরের নাম কী?,তাম্রলিপ্তি,চন্দ্রকেতুগড়,গঙ্গারিডাই,সমন্দর,a
বাংলার প্রাচীন নগর 'কর্ণসুবর্ণ' এর অবস্থান ছিল-,কুমিল্লায়,মুর্শিদাবাদে,বগুড়ায়,রাজশাহীতে,b
বর্তমান বৃহৎ বরিশাল ও ফরিদপুর এলাকা প্রাচীনকালে কোন জনপদের অন্তর্ভুক্ত ছিল?,সমতট,পুণ্ড্রবর্ধন,রাঢ়,বঙ্গ,d
মহাস্থানগড় কোন বংশের প্রত্নতাত্ত্বিক নিদর্শন?,মৌর্য,পাল,সেন,গুপ্ত,a
প্রাচীন বাংলার কোন এলাকা কর্ণসুবর্ণ নামে কথিত হতো?,মুর্শিদাবাদ,রাজশাহী,চট্টগ্রাম,মোদিনীপুর,a
"বর্তমান রাজশাহী, দিনাজপুর ও রংপুর প্রাচীনযুগে কোন জনপদের অন্তর্ভুক্ত ছিল?",বঙ্গ,সমতট,বরেন্দ্র,হরিকেল,c
গঙ্গারিডাই রাজ্যের অবস্থান ছিল?,কণৌজ,কাশ্মীরে,উড়িষ্যায়,বাংলায়,d
শালবন বিহার প্রত্নতত্ত্বস্থলটি কোন জনপদে অবস্থিত-,বঙ্গ,সমতট,রাঢ়,পুণ্ড্র,b
পিরোজপুর জেলা কোন প্রাচীন জনপদের অন্তর্ভুক্ত ছিল?,চন্দ্রদ্বীপ,হরিকেল,বঙ্গ,সমতট,a
প্রাচীন রাঢ় জনপদ অবস্থিত?,বগুড়া,কুমিল্লা,বর্ধমান,বরিশাল,c
অবিভক্ত বাংলায় সর্বপ্রথম রাজা কাকে বলা হয়?,অশোক,শশাঙ্ক,মেগদা,ধর্মপাল,b
বাংলায় সেন বংশের (১০৭০-১২৩০) শেষ শাসনকর্তা কে ছিলেন?,হেমন্ত সেন,বল্লাল সেন,লক্ষ্মণ সেন,কেশব সেন,d
প্রাচীন বাংলা মৌর্য শাসনের প্রতিষ্ঠাতা কে?,অশোক,চন্দ্রগুপ্ত মৌর্য,সমুদ্র গুপ্ত,এর কোনটিই না,b
পাহাড়পুরের বৌদ্ধ বিহারের নির্মাতা কে?,রামপাল,ধর্মপাল,চন্দ্রপাল,আদিশূর,b
'কৈবর্ত বিদ্রোহ' কোন আমলে সংঘটিত হয়?,পাল,সেন,মুঘল,ইংরেজ,a
পাল শাসনামলের ঐতিহাসিক পুরাকীর্তি 'জগদ্দল বিহার' কোন জেলায় অবস্থিত-,বগুড়া,কুমিল্লা,নওগাঁ,রাজশাহী,c
কোন সম্রাটের আমলে এদেশে বৌদ্ধ ধর্মের প্রসার ঘটে?,দ্বিতীয় চন্দ্রগুপ্ত,সম্রাট অশোক,সমুদ্রগুপ্ত,ধর্মপাল,b
বিশ্বের প্রথম বিশ্ববিদ্যালয় কোনোটি?,হার্ভার্ড,তুরিন,নালান্দা,আল-হামরা,c
বঙ্গে পাল বংশের প্রতিষ্ঠাতা কে ছিলেন?,ধর্মপাল,দেবপাল,গোপাল,মহীপাল,c
প্রাচীন বাংলার শাসক পাল ও সেনরা যথাক্রমে কোন ধর্মানুসারী ছিলেন?,বৌদ্ধ ও হিন্দু,জৈন ও হিন্দু,হিন্দু ও মহাযান বৌদ্ধ,বৌদ্ধ ও জৈন,a
পাটালিপুত্র রাজধানী ছিল-,গুপ্তদের,সেনদের,পালদের,মৌর্যদের,d
বাংলায় প্রথম বংশানুক্রমিক শাসন শুরু করেন-,শশাঙ্ক,বখতিয়ার খলজি,বিজয় সেন,গোপাল,d
বাংলায় আগত পরিব্রাজক কে ছিলেন?,মেগাস্থিনিস,ফা হিয়েন,ইবনে বতুতা,হিউয়েন সাং,a
বাংলায় মৌর্য ও গুপ্তবংশের রাজধানী কোথায় ছিল?,গৌড়,বঙ্গ,হরিকেল,পুণ্ড্রনগর,a
বিক্রমাব্দের প্রবর্তক-,বিক্রমশীল,বিক্রমাচার্য্য,বিক্রমাদিত্য,বিক্রম পাল,c
শকাব্দের প্রবর্তক-,হর্ষবর্ধন,কণিষ্ক,চাণক্য,বিক্রমাদিত্য,b
সেন বংশের আদি নিবাস-,বিক্রমপুর,নদীয়া,দাক্ষিণাত্য,কামরূপ,c
বিজয় সেনের প্রথম রাজধানী-,হুগলীতে,নদিয়ায়,মুন্সীগঞ্জে,বিক্রমপুরে,a
বরেন্দ্র যে রাজাদের পিতৃভূমি-,পাল রাজা,সেন রাজা,চন্দ্র রাজা,খড়গ রাজা,a
কোশল-এর রাজধানী ছিল-,শ্রাবস্তী,পাটলিপুত্র,তক্ষশীলা,মথুরা,a
হিউয়েন সাং বাংলায় (ভারতবর্ষে) এসেছিলেন যার আমলে-,সম্রাট অশোক,চন্দ্রগুপ্ত মৌর্য,শশাঙ্ক,হর্ষবর্ধন,d
ইবনে বতুতা বাংলায় কার সাথে সাক্ষাতের উদ্দেশ্যে এসেছিলেন?,হযরত শাহ মাখদুম,হযরত শাহ পরান,হযরত শাহ সুলতান মাহিসওয়ার,হযরত শাহ জালাল,d
বাংলায় কৌলিন্য প্রথা কে প্রবর্তন করেন?,বিজয় সেন,বল্লাল সেন,লক্ষণ সেন,চৈতন্য দেব,b
নওগাঁ জেলার পাহাড়পুরে অবস্থিত 'সোমপুর বিহার' এর প্রতিষ্ঠাতা কে?,ধর্মপাল,গোপাল,মহিপাল,বিগ্রহপাল,a
বাংলার প্রথম দীর্ঘস্থায়ী রাজবংশের নাম কি?,পাল বংশ,সেন বংশ,ভুঁইয়া বংশ,গুপ্ত বংশ,a
কৈবর্ত বিদ্রোহের নেতা কে ছিলেন?,কৈবর্ত,অশোক,দিব্য,কানু কৈবর্ত,c
তালপাতর পুঁথিচিত্র কোন যুগের নিদর্শন?,পাল যুগ,সেন যুগ,গুপ্ত যুগ,কুষাণ যুগ,a
কৌলিন্য প্রথা বাংলায় প্রবর্তন করেন-,লক্ষ্মণ সেন,বল্লাল সেন,বিজয় সেন,শ্রী চৈতন্য দেব,b
প্রাচীন বাংলার জনপদগুলোকে গৌড় নামে একত্র করেন-,রাজা কণিষ্ক,বিক্রমাদিত্য,চন্দ্রগুপ্ত মৌর্য,রাজা শশাঙ্ক,d
শশাঙ্কের রাজধানী ছিল-,কর্ণসুবর্ণ,গৌঢ়,নদিয়া,ঢাকা,a
বাংলার কোন সুলতানের শাসনামলকে স্বর্ণযুগ বলা হয়?,শামসুদ্দীন ইলিয়াস শাহ,নাসিরুদ্দীন মাহমুদ শাহ,আলাউদ্দিন হোসেন শাহ,গিয়াসউদ্দিন আজম শাহ,c
গৌড়ের সোনা মসজিদ কার আমলে নির্মিত হয়?,হোসেন শাহ,ফখরুদ্দিন মোবারক শাহ,শায়েস্তা খাঁ,ঈশা খাঁ,a
কোন শাসকের সময় থেকে সমগ্র বাংলা ভাষাভাষী অঞ্চল পরিচিত হয়ে উঠে বাঙ্গালাহ নামে?,ফখরুদ্দিন মুবারক শাহ,শামসুদ্দীন ইলিয়াস শাহ,আকবর,ঈসা খান,b
প্রথম সিন্ধু বিজয়ী মুসলিম সেনাপতি কে ছিলেন?,ফখরুদ্দিন মুবারক শাহ,ইলিয়াস শাহ,মুহাম্মদ ঘুরী,মুহম্মদ বিন কাসিম,d
বাংলা ভাষা ও সাহিত্যের বিশেষ সমৃদ্ধি ঘটেছিল যে শাসকের আমলে-,আলাউদ্দিন হোসেন শাহ,ফখরুদ্দিন মুবারক শাহ,সুবেদার শায়েস্তা খান,শের শাহ সুরি,a
বাংলায় মুসলিম শাসনের প্রতিষ্ঠাতা-,কুতুব উদ্দিন আইবেক,ইখতিয়ার উদ্দিন বখতিয়ার খলজি,ইলিয়াস শাহ,ইসলাম খাঁ,b
বাংলার রাজধানী দেবগিরিতে স্থানান্তর করেন কে?,মুহম্মদ বিন তুঘলক,আলাউদ্দীন খলজি,বখতিয়ার খলজি,শামসুদ্দিন ইলতুতমিশ,a
ইবনে বতুতা কার শাসনামলে ভারতবর্ষে আসেন?,মুহম্মদ বিন তুঘলক,বখতিয়ার খলজি,আলাউদ্দীন খলজি,শামসুদ্দিন ইলতুতমিশ,a
বাংলায় প্রথম স্বাধীন সুলতানী যুগের সূচনা করেন কে?,ফখরুদ্দিন মুবারক শাহ,মুগীসউদ্দিন তুঘিল,শামসুদ্দীন ইলিয়াস শাহ,বখতিয়ার খলজী,a
সোনা ও রূপার মুদ্রার পরিবর্তে প্রতীক তামার মুদ্রা প্রচলন করেন-,আলাউদ্দীন খলজি,মাহমুদ শাহ,মুহম্মদ বিন তুঘলক,ইব্রাহীম লোদী,c
বন্দেগান-ই-চেহেল গান কে প্রতিষ্ঠা করেন?,ইলতুৎমিশ,কুতুব উদ্দিন আইবেক,সুলতান মাহমুদ,আরাম শাহ,a
ভারতবর্ষে দাস বংশের প্রতিষ্ঠাতা কে ছিলেন?,সুলতান মাহমুদ,মুহম্মদ ঘোরী,কুতুব উদ্দিন আইবেক,ইলতুতমিশ,c
দিল্লির সিংহাসনে আরোহণকারী প্রথম মুসলমান নারী কে?,বেগম রোকেয়া,নুর জাহান,সুলতানা রাজিয়া,মমতাজ বেগম,c
কোন নগরী মুঘল আমলে সুবা বাংলার রাজধানী ছিল?,গৌঢ়,সোনারগাঁও,ঢাকা,হুগলী,c
বাংলা সাল কে প্রবর্তন করেন?,শেরশাহ,হুমায়ূন,আকবর,শশাঙ্ক,c
সম্রাট হুমায়ুনকে পরাজিত করে দিল্লির সিংহাসনে বসেন কে?,শেরশাহ,নাদির শাহ,ইলতুৎমিশ,ইব্রাহিম লোদী,a
সম্রাট হুমায়ুন বাংলার কী নাম দিয়েছিলেন?,জান্নাতাবাদ, সুবর্ণভূমি,সোনার বাংলা,সুবে বাংলা,a
গ্রান্ড ট্রাংক রোডের অপর নাম কী?,সড়ক ই আজম,সড়ক ই আম,মহাসড়ক,সিল্ক রুট,a
মুঘল সম্রাট জাহাঙ্গীরের সমাধি কোথায়?,দিল্লিতে,আগ্রায়,লাহোরে,পাঞ্জাবে,c
শেরশাহ শূরের সমাধিসৌধ কোথায় অবস্থিত?,জৌনপুর,সাসারাম,রোটাসগড়,লাহোর,b
'আকবরনামা' গ্রন্থের রচয়িতা কে?,ইবনে খালদুন,আবুল ফজল,মিনহাজ সিরাজ,আল বেরুনী,b
সম্রাট বাবরের পিতৃরাজ্যের নাম ছিল-,সমরখন্দ,কাশ্মীর,বোখারা,ফারগানা,d
গ্রান্ড ট্রাংক রোড এর নির্মাতা-,বাবর,আকবর,শাহজাহান,শেরশাহ,d
ঢাকার 'ধোলাই খাল' কে খনন করেন?,পরিবিবি,ইসলাম খান,শায়েস্তা খান,ঈশা খান,b
ঢাকায় বাংলার রাজধানী স্থাপনের সময় মুঘল সুবেদার কে ছিলেন?,ইসলাম খান,ইব্রাহীম খান,শায়েস্তা খান,মীর জুমলা,a
কোন মুঘল সুবেদার চট্টগ্রাম দখল করে এর নাম রাখেন ইসলামাবাদ?,ইসলাম খান,রাজা মানসিংহ,মীর জুমলা,শায়েস্তা খান,d
বাংলার প্রথম সুবেদার কে ছিলেন?,ইসলাম খান,নাদির শাহ,শেরশাহ,ইলতুতমিশ,a
ঢাকা শহর প্রতিষ্ঠা করেন-,ইসলাম খান,মীর জুমলা,শায়েস্তা খান,শাহ সুজা,a
ঢাকা গেইট কে নির্মাণ করেছেন?,মীর জুমলা,শের শাহ সুরি,শাহ সুজা,শায়েস্তা খান,a
প্রতাপ আদিত্য কে ছিলেন?,রাজপুত রাজা,বাংলার শাসক,মুঘল সেনাপতি,বাংলার বারো ভূঁইয়াদের একজন,d
বাংলার রাজধানী হিসেবে সোনারগাঁও এর পত্তন করেছিলেন কে?,শাহাজাদা আজম,সুবেদার ইসলাম খান,সম্রাট আকবর,ঈসা খাঁ,d
বাংলার জমিদারগণ মুঘল শাসনের বিরুদ্ধে প্রতিরোধ গড়ে তুলেন। এদের সংখ্যা নির্দিষ্ট করা প্রায় অসম্ভব। তাঁরা পরিচিত ছিলেন-,বারো মণ্ডল নামে,বারো কুতুব নামে,বারো ভূঁইয়া নামে,বারো পঞ্চায়েত নামে,c
বাংলাদেশের প্রথম স্বাধীন নবাব কে?,নবাব সিরাজউদ্দৌলা,মুর্শিদকুলী খান,ইলিয়াস শাহ,আলাউদ্দিন হোসেন শাহ,b
কোন মুঘল সুবেদার বাংলার রাজধানী ঢাকা হইতে মুর্শিদাবাদে স্থানান্তর করেন?,ইসলাম খান,শায়েস্তা খান,মুর্শিদকুলী খান,আলীবর্দী খান,c
ঢাকার সর্বশেষ নবাব কে ছিলেন?,খাজা হাবিবুল্লাহ,খাজা নাজিমুদ্দিন,খাজা আব্দুল গণি,খাজা আতিকুল্লাহ,a
কারা 'বর্গী' নামে পরিচিত?,ইংরেজ,মারাঠি,তামিল,পুর্তুগিজ,b
'আলিবর্দি খাঁ'-এর প্রকৃত নাম কী?,মির্জা মুহম্মদ আলি,সুজাউদ্দিন,সরফরাজ খাঁ,হাজি আহমদ,a
বাংলা শেষ স্বাধীন মুসলিম শাসক কে?,বাহাদুর জাফর,আওরঙ্গজেব,সিরাজউদ্দৌলা,মীর কাসিম,c
পলাশীর যুদ্ধে নবাব বাহিনীর সঙ্গে যুদ্ধে অংশগ্রহণকারী ফরাসি সেনাপতি-,সিন ফ্রে,ভন ক্রেমার,জ্যাক রুশো,ওয়াটস,a
বক্সারের যুদ্ধে পরাজিত হয়েছিলেন কোন শাসক?,মীর কাশিম,মীর জাফর,লর্ড ক্লাইভ,ইসলাম খান,a
মুঙ্গেরে বাংলার রাজধানী স্থানান্তর করেন-,নবাব আলীবর্দী খান,নবাব সরফরাজ খান,নবাব মীর জাফর,নবাব মীর কাসিম,d
পলাশীর যুদ্ধ সংঘটিত হয় কোন নদীর তীরে?,হুগলী,গঙ্গা,দামোদার,ভাগীরথী,d
ইউরোপীয় বণিকদের মধ্যে কারা প্রথমে বাংলায় এসেছিলেন?,ইংরেজরা,ওলন্দাজরা,ফরাসিরা,পর্তুগিজরা,d
কোন সম্রাট ইংরেজদের বঙ্গদেশে কুঠি নির্মাণের অনুমিত দেয়?,সম্রাট জাহাঙ্গীর,সম্রাট শাহজাহান,সম্রাট আওরঙ্গজেব,সম্রাট ফররুখ শিয়ার,b
বাংলার দক্ষিণ অঞ্চলের মানুষকে পর্তুগিজ ও মগ জলদস্যুদের অত্যাচার থেকে কে রক্ষা করেন?,মুর্শিদকুলী খান,ইসলাম খান,শায়েস্তা খান,ঈষা খান,c
ইংরেজ বণিকগণ সরাসরিভাবে বঙ্গদেশে বাণিজ্য কেন্দ্র স্থাপন করেন-,আকবরের আমলে,জাহাঙ্গীরের আমলে,শাহজাহানের আমলে,আলমগীরের আমলে,c
ফোর্ট উইলিয়াম দুর্গ নির্মিত হয় কোথায়?,কলকাতায়,দিল্লিতে,লাহোর,ইসলামাবাদ,a
ইস্ট ইন্ডিয়া কোম্পানি ভারতের প্রথম কুঠি স্থাপন করে কোথায়?,সুরাট,দিল্লি,লাহোর,করাচি,a
কোন সম্রাট সর্বপ্রথম ইস্ট ইন্ডিয়া কোম্পানিকে সুরাটে বাণিজ্য কুঠি স্থাপনের অনুমতি দেন?,আকবর,শাহবাজ খান,মুর্শিদকুলি খান,জাহাঙ্গীর,d
