question,a,b,c,d,answer
কোনটি শুদ্ধ বানান?,সর্বাঙ্গীণ,সর্ব্বাঙ্গীন,সর্বাঙ্গীন,সর্বাঙ্গিন,a
কোনটি শুদ্ধ বানান?,ষান্মাষিক,ষাণ্মাসিক,ষান্নাষিক,সানমাসিক,b
ণ-ত্ব বিধানের নিয়ম অনুসারে কোন শব্দটি যথার্থ?,উত্তোরায়োণ,উত্তারায়ণ,উত্তরায়ণ,উত্তরায়ন,c
নিচের কোনটিতে ণ-ত্ব বিধান লঙ্ঘিত হয়েছে?,বিষণ্ন,ভিক্ষান্ন,ঘন্টা,পরিবহন,d
ণ-ত্ব বিধান অনুযায়ী কোন চারটি উপসর্গের পর 'ন' 'ণ' তে পরিবর্তিত হয়?,"প্র, পরা, পরি, নি","প্র, পরা, অপ, নির","প্র, সম, পরি, নির","প্র, পরা, পরি, নির",d
কণিকা' শব্দের 'ণ' বসেছে কোন নিয়মে?,ক' এর পরে 'ণ' বসে,ক এবং ক এর মাঝে 'ণ' বসে,ক' এর পূর্বে 'ণ' বসে,স্বভাবতই 'ণ' বসেছে,d
মাণিক্য' শব্দে 'ণ' বসেছে ণ-ত্ব বিধানের কোন নিয়মে?,ম' বর্ণের পরে 'ণ' হয়,ক' বর্ণ এবং 'ম' বর্ণের মাঝে 'ণ' হয়,ক' বর্ণের পূর্বে 'ণ' হয়,স্বভাবতই 'ণ' হয়,d
নিচের কোন শব্দে স্বভাবতই 'মূর্ধন্য-ণ' বসেছে?,মণি,পরিণাম,পরিণতি,নির্ণয়,a
নিত্য মূর্ধন্য-ণ বাচক শব্দ কোনটি?,তৃণ,গ্রহণ,লক্ষণ,লবণ,d
নিচের যে শব্দটি স্বভাবতই 'ণ' হয়-,তূণ,লক্ষণ,অর্পণ,ভীষণ,a
নিচের কোন শব্দে স্বভাবতই 'ণ' হয়েছে?,বক্ষমাণ,স্থাণু,পরিবহণ,উত্তরায়ণ,b
কোনটি নিত্য মূর্ধন্য-ণ বাচক শব্দ?,পুণ্য,গ্রহণ,স্মরণ,অর্পণ,a
নিত্য মূর্ধন্য-ণ শব্দের উদাহরণ?,গৃহিণী,উষ্ণ,সমর্পণ,কঙ্কণ,d
নিচের কোন বানানে নিত্যই মূর্ধন্য-ণ হবে?,বেণু,পরিমাণ,দর্পণ,ঘন্টা,a
স্বভাবতই 'ণ' ব্যবহৃত হয়েছে কোন শব্দে?,শ্রাবণ,হরিণ,নিপুণ,ঘন্টা,c
স্বভাবিক ভাবেই 'ণ' হয়েছে নিচের কোন শব্দে?,পণ,বন্টন,ক্ষণ,খণ্ড,a
অশুদ্ধ বানান-জোড় কোনটি?,"পুরস্কার, পরিষ্কার","অত্যধিক, আকাঙ্ক্ষা","লবন, স্থানু","ওজোন, অস্ত্রোপাচার",c
শুদ্ধ বানান কোনটি?,গূনগ্রাহী,গুনগ্রাহি,গূণগ্রাহী,গুণগ্রাহী,d
কোন শব্দে নিত্য মূর্ধন্য-ণ আছে?,গৃহিণী,সুভাষিণী,পাণিনি,পূজারিণী,c
নিচের কোন শব্দটির বানানে 'ণ-ত্ব' বিধির নিয়ম ব্যবহৃত হয়নি?,হরিণ,পূর্বাহ্ণ,অণু,কর্ণ,c
কোন ধরনের শব্দে কখনোই মূর্ধন্য-ণ হবে না?,তৎসম,বিদেশি,তদ্ভব,আঞ্চলিক,b
কোনটি শুদ্ধ বানান?,নির্নিমেষ,নির্ণিমেষ,ণির্নিমেষ,ণির্ণিমেষ,a
কোনটি শুদ্ধ বানান?,তৃহায়ন,তৃহায়ণ,ত্রিহায়ন,ত্রিহায়ণ,c
কোনটি শুদ্ধ?,মধুসূদন,মধূসূদন,মধূসুদন,মধুসুদন,a
কোন বানানটি শুদ্ধ?,সুদণ,সূদন,শুদন,শূদণ,b
শুদ্ধ বানানটি নির্দেশ করুন:,ফার্ণিচার,ফার্নিচার,ফার্নিশার,ফার্ণিশার,b
কোনটি বানানে ণ-ত্ব বিধান পালিত হয়নি?,কোরান,শ্রবণ,বেণী,গণ,a
কোন ক্ষেত্রে সাধারণত 'ণ' হয় না 'ন' হয়?,সমাসবদ্ধ পদে,অব্যয়যুক্ত পদে,সন্ধিযুক্ত পদে,প্রত্যয়যুক্ত পদে,a
"দুর্নাম', 'দুর্নিবার' শব্দ দুটিতে মূর্ধন্য-ণ ব্যবহৃত হয়নি কেন?",সমাসবদ্ধ শব্দ বলে,দেশি শব্দ বলে,তৎসম শব্দ বলে,বিদেশি শব্দ বলে,a
ণ-ত্ব বিধান অনুসারে নিচের কোন বানানটি অশুদ্ধ?,পুরণো,নিরূপণ,গ্রহণ,রূপায়ণ,a
নিচের কোন শব্দে 'ণ' এর ভুল প্রয়োগ রয়েছে?,মাণিক্য,গণ,ক্রন্দণ,চাণক্য,c
সমাসবদ্ধ শব্দে সাধারণত ণ-ত্ব বিধান ঘাটে না- এর উদাহরণ?,অগ্রনায়ক,রতন,আপন,অনুষ্ঠান,a
ণ-ত্ব বিধান অনুসারে কোন বানানটি ভুল?,পুরোনো,ধরন,কেরাণি,রূপায়ণ,c
ষ' বর্ণটি কোন শব্দে প্রয়োগ হয়?,তৎসম,দেশি,তদ্ভব,অর্ধ-তৎসম,a
শুদ্ধ বানানটি হচ্ছে-,নিসুতী,নিসুতি,নিষুতী,নিষুতি,d
নিচের কোন বানানটি শুদ্ধ?,মুমর্ষ,মূমুর্ষ,মুমূর্ষু,মুমুর্ষ,c
নিচের কোন বানানটি শুদ্ধ?,অনুষঙ্গ,অনুসঙ্গ,অনুষাঙ্গ,অনুসাঙ্গ,a
কোনটি শুদ্ধ বানান?,আনুষঙ্গিক,আনুসঙ্গিক,অনুষঙ্গিক,আনূষঙ্গিক,a
কোনটি শুদ্ধ বানান?,দুস্প্রাপ্য,দূস্প্রাপ্য,দূষ্প্রাপ্য,দুষ্প্রাপ্য,d
সুষম' শব্দে যে নিয়মে 'ষ' বসে-,স' -এর পূর্বে বসেছে বলে,স্বভাবত 'ষ' বসে বলে,ষম' -মূলরূপ থেকে উৎসারিত হওয়ায়,উ' -কারান্ত উপসর্গ পূর্বে আছে বলে,d
কোনটি শুদ্ধ বানান?,মহর্সি,মহর্ষি,মহর্ষী,মহর্শি,b
কোন বানানগুচ্ছ শুদ্ধ?,"সখ্যতা, মৌন","অত্যাধিক, ব্যাতিক্রম","লাবণ্য, পন্য","ঘনিষ্ঠ, তিরস্কার",d
শুদ্ধ শব্দগুচ্ছ শনাক্ত করুন-,"স্বচ্ছন্দ, স্বচ্ছল, শিরোচ্ছেদ","ধৈর্য্য, স্থৈর্যতা, সখ্যতা","একত্রিত, অধীনস্থ, ভাষাভাষী","জন্মবার্ষিক, পরিষ্কার, পুরস্কার",d
কোন বানানটি শুদ্ধ?,ভুমিষ্ট,ভূমিষ্ট,ভুমিষ্ঠ,ভূমিষ্ঠ,d
নিচের কোন বানানটি শুদ্ধ?,জেষ্ঠ্য,জে্যষ্ঠ্য,জে্যষ্ঠ,জ্যাষ্ঠ,c
কোনটি শুদ্ধ বানান?,প্রনষ্ট,প্রনস্ট,প্রণষ্ট,প্রণস্ট,a
নিত্য মূর্ধন্য- 'ষ' কোন শব্দে বর্তমান?,কষ্ট,উপনিষৎ,কল্যাণীয়েষু,আষাঢ়,d
স্বভাবতই মূর্ধন্য 'ষ' হয়- এমন উদাহরণ কোনটি?,কৃষক,বর্ষা,ঔষধ,লাষ্ট,c
নিচের কোন শব্দে স্বভাবতই মূর্ধন্য-ষ হয়েছে?,কৃষ্ণ,কল্যাণীয়েষু,ভাষ্য,অভিষেক,c
নিচের কোন বানানটির দন্ত 'স' নিপাতনে সিদ্ধ হয়ে 'ষ' হয়েছে?,ভবিষ্যৎ,বিষাণ,কৃষাণ,সুষম,b
নিপাতনে সিদ্ধ 'ষ' এর ব্যবহার রয়েছে কোনটিতে?,মুমূর্ষু,অনুষঙ্গ,বর্ষণ,ভূষণ,d
কোন বানানটি শুদ্ধ?,পাষাণ,পাষান,পাসান,পাশান,a
কোনটি শুদ্ধ বানান?,শশিভুসন,শশিভূষণ,শসিভূষন,শশিভুসণ,b
নিচের কোন শব্দটি স্বভাবতই 'ষ' হয়?,দ্বেষ,সুষমা,পরিষ্কার,প্রতিষ্ঠান,a
কোন বানানটি খাঁটি ষ-ত্ব বিধানের উদাহরণ?,বিশেষণ,ষোড়শ,ভূষণ,স্পষ্ট,b
নিচের কোন শব্দে স্বভাবগত নিয়মে 'ষ' বসেছে?,কৃষক,ঋষি,ষড়ঋতু,কাষ্ঠ,c
কোনটি নিত্য মূর্ধন্য-ষ বাচক শব্দ?,পরিষ্কার,তৃষ্ণা,ভাষা,বৃষ্টি,c
কোন জাতীয় শব্দে 'ষ' ব্যবহার হয় না?,তৎসম,বিদেশি/তদ্ভব,সংস্কৃত,বৈদিক,b
কোন প্রত্যয়যুক্ত পদে মূর্ধন্য 'ষ' হয় না?,সাৎ,সা,ষ্ণেয়,ষ্ণিক,a
