question,a,b,c,d,answer
নিচের কোনটি দ্বিস্বর ধ্বনি?,আয়,আম,ঝুপ,লিলি,a
কোন শব্দে দ্বিস্বরধ্বনি রয়েছে?,লাউ,দিন,বলি,ইতি,a
'মই' কথাটির ই-কে কী বলে?,হ্রসস্বর,অর্ধস্বর,দ্বিস্বর,ভগ্নস্বর,b
"'ভয়', 'মোয়া'- শব্দদ্বয়ে ধ্বনিরীতির ব্যবহার হলো-",হ্রসস্বর,দীর্ঘস্বর,যৌগিক স্বর,মৌলিক স্বর,c
কোন ধ্বনির উপরে চন্দ্রবিন্দু বসলে উচ্চারণ অনুনাসিক হয়?,স্বরধ্বনি,ব্যঞ্জনধ্বনি,বিসর্গযুক্ত অ-ধ্বনি,দন্ত্য-ন,a
বর্তুল স্বর' কীভাবে উচ্চারিত হয়?,উচ্চারণে ঠোঁট সবচেয়ে বেশি খোলা থাকে,উচ্চারণে ঠোঁট মাঝামাঝি খোলা থাকে,উচ্চারণে ঠোঁট সবচেয়ে কম খোলা থাকে,উচ্চারণে ঠোঁট গোল হয়,d
'অ' -এর উচ্চারণ স্থান হলো-,দন্ত্য,তালব্য,কন্ঠ্য,নাসিক্য,c
তালব্য বর্ণ কোনগুলো?,"এ, ঐ","ই, ঈ","উ, ঊ","ও, ঔ",b
ক থেকে ঙ পর্যন্ত পাঁচটি ধ্বনি হচ্ছে-,কন্ঠধ্বনি,তালব্য ধ্বনি,কর্কশ ধ্বনি,ঘোষ ধ্বনি,a
কন্ঠ্যধ্বনি উচ্চারণের সময়ে-,স্বরযন্ত্র থেকে কম্পিত বাতাস তালুতে চাপ খায়,স্বরযন্ত্র থেকে কম্পিত বাতাস কোমল তালুতে চাপ খায়,স্বরযন্ত্র থেকে কম্পিত বাতাস নাসারন্ধ্রে চাপ খায়,স্বরযন্ত্র থেকে কম্পিত বাতাস দন্তমূলে চাপ খায়,b
তালব্য ব্যঞ্জন ধ্বনির উদাহরণ আছে কোন শব্দে?,শসা,ঘাস,কলা,দল,a
তালব্য ধ্বনি নয় কোনটি?,চ,ছ,ন,ঞ,c
'ট' বর্গের বর্ণ হিসেবে নাম কি?,মূর্ধন্য বর্ণ,দন্ত্য বর্ণ,তালব্য বর্ণ,জিহ্ববামূলীয় বর্ণ,a
"ন, স-",ওষ্ঠ্য ব্যঞ্জনবর্ণ,দন্ত্য ব্যঞ্জনবর্ণ,দন্তমূলীয় ব্যঞ্জনবর্ণ,কষ্ঠনালীয় ব্যঞ্জনবর্ণ,c
উপরের ও নিচের ঠোঁটের সাহায্যে উচ্চারিত ধ্বনিগুলোকে কী বলে?,দন্ত্য ধ্বনি,দন্তমূলীয় ধ্বনি,ওষ্ঠ্য ধ্বনি,দ্বি-ওষ্ঠ্য ধ্বনি,d
"বাংলা বর্ণমালায় ঢ, ড়, ঢ় - এ তিনটির উচ্চারণস্থান কোনটি?",ওষ্ঠ,পশ্চাৎ দন্তমূল,অগ্রতালু,অগ্রদন্তমূল,b
কোনগুলো বর্গীয় বর্ণ নয়?,"চ, ছ, জ, ঝ, ঞ","ত, থ, দ, ধ, ন","ট, ঠ, ড, ঢ, ণ","য, র, ল, শ, ষ",d
বাতাসে কোনো রকম বাধা ছাড়া একইসঙ্গে মুখ ও নাক দিয়ে বেরিয়ে গিয়ে উচ্চারিত বাগধ্বনিগুলোকে কী বলে?,নাসিক্য ধ্বনি,মৌখিক ধ্বনি,অনুনাসিক ধ্বনি,স্পৃষ্ট ধ্বনি,"a, c"
বাংলা ব্যঞ্জনবর্ণের প্রতিবর্গের পঞ্চম বর্ণের ধ্বনিটি-,ঘোষ ধ্বনি,অঘোষ ধ্বনি,মহাপ্রাণ ধ্বনি,নাসিক্য ধ্বনি,d
ঠোঁট ও নাকের ছিদ্রের সাহায্যে উচ্চারিত হয় কোন ধ্বনিটি?,ম,ং,চ,ঙ,a
বাংলা ব্যাকরণে পরাশ্রয়ী বর্ণযুক্ত শব্দ কোনগুলো?,"আম্র, বৃহৎ, মিঞা","আয়না, হরিণ, ঋণ","রং, চাঁদ, দুঃখ","শিউলি, উচিত, বৃষ",c
কোনগুলো শিশ্‌ ধ্বনি?,"ঙ, ঞ, ন","শ, স, ষ","প, ফ, ভ","য, র, ল",b
কোনটি কম্পনজাত ধ্বনি?,ল,ব,ঢ়,র,d
কম্পিত ব্যঞ্জনের উপস্থিতি আছে কোন শব্দে?,বড়,গাঢ়,চানাচুর,হঠাৎ,c
পার্শ্বিক ব্যঞ্জনের উদাহরণ কোনটি?,হ,শ,র,ল,d
'ল'-এর উচ্চারণ স্থান কোনটি?,দন্ত্যমূল,জিহ্বাবামূল,ওষ্ঠ্য,তালু,a
ড় এবং ঢ় ধ্বনি দুটি কী ধ্বনি?,ঘোষ,তাড়ানজাত,অল্পপ্রাণ,শিস,b
"য, র, ল-এগুলো কোন ধরনের বর্ণ?",ঘোষ বর্ণ,অন্তঃস্থ বর্ণ,অঘোষ বর্ণ,উষ্ম বর্ণ,b
কোন দুটি অঘোষ ধ্বনি?,"চ, ছ","ড, ঢ","ব, ভ","দ, ধ",a
কোনটি ঘোষ বর্ণ?,চ,ছ,জ,প,c
নিচের কোনটি অল্পপ্রাণ ধ্বনি?,ভ,ঠ,ফ,চ,d
মহাপ্রাণ ধ্বনির উদাহরণ কোনটি?,চ,ছ,জ,গ,b
নিচের কোনটি 'মহাপ্রাণ' ধ্বনি?,ত,ড,ঢ,দ,c
কোন গুলো মহাপ্রাণ ব্যঞ্জনের উদাহরণ?,"প, ব, ত, দ",দ্‌ স্‌ খ্‌ হ,"ফ, ভ, খ, ধ","ট, ব, খ, গ",c
নিচের কোনটি অঘোষ অল্পপ্রাণ ধ্বনি?,ভ,ঠ,ফ,চ,d
নিচের কোনটি অঘোষ মহাপ্রাণ ধ্বনি?,চ,ঠ,ভ,ছ,b
