question,a,b,c,d,answer
নিচের কোনটিতে মধ্য স্বরাগমের প্রয়োগ হয়েছে?,ফিল্ম > ফিলিম,সত্য > সত্যি,গ্লাস > গেলাস,শিকা > শিকে,a
কোনটি অন্ত্যস্বরাগম?,বাক্য > বাইক্য,সত্য > সত্যি,করিয়া > কইর‍্যা,ধূলা > ধূলো,b
পরের 'ই' কার ও 'উ' কার আগেই উচ্চারিত হওয়ার রীতিকে কি বলে?,স্বরাগম,বিপ্রকর্ষ,অপনিহিতি,অভিশ্রুতি,c
কোনটি অপনিহিতির উদাহরণ?,ইস্কুল,আইজ,গেলাস,ধপাধপ,b
নিচের কোনটি অপনিহিতির উদাহরণ?,উড়ুনী,রাইত,জালুয়া,ছাওয়া,b
নিম্নের কোনটি অপনিহিতির উদাহরণ?,প্রেক > পেরেক,সাধু > সাউধ,শিকা > শিকে,স্কুল > ইস্কুল,b
আশু > আউশ- এটি ধ্বনি পরিবর্তনের কোন নিয়মের উদাহরণ?,অপনিহিতি,সমীভবন,বিপ্রকর্ষ,বর্ণ বিপর্যয়,a
বক্ষ > 'বইক্‌খ' কী ধরনের ধ্বনির পরিবর্তনের উদাহরণ?,বিপ্রকর্ষ,অপনিহিতি,অভিশ্রুতি,ধ্বনি বিপর্যয়,b
সত্য > সইত্য-ধ্বনির পরিবর্তনের এটি কিসের উদাহরণ?,অপনিহিতি,স্বরসঙ্গতি,বিপ্রকর্ষ,অসমীকরণ,a
"একই স্বরের পুনরাবৃত্তির দূর করার জন্য মাঝখানে স্বরধ্বনি যুক্ত হয়, তাকে কি বলে?",সম্প্রকর্ষ,পরাগত,স্বরসঙ্গতি,অসমীকরণ,d
টপ + টপ > 'টপাটপ' ধ্বনি পরিবর্তনে এটি কীসের উদাহরণ?,আদি স্বরাগম,মধ্য স্বরাগম,অসমীকরণ,বিপ্রকর্ষ,c
আদিস্বর অনুযায়ী অন্ত্যস্বর পরিবর্তিত হলে কোন ধরনের স্বরসঙ্গতি হয়?,পরাগত,মধ্যগত,প্রগত,অন্যান্য,c
মিঠা > মিঠে এরূপ পরিবর্তনকে কী বলা হয়?,স্বরসঙ্গতি,স্বরভক্তি,ধ্বনি বিপর্যয়,স্বরলোপ,a
স্বরসঙ্গতির উদাহরণ কোনটি?,হইবে > হবে,জালিয়া ? জাইল্যা > জেলে,দেশি > দিশি,রাতি > রাইত,c
বিলাতি > বিলিতি- কি ধরনের ধ্বনির পরিবর্তন?,অপনিহিতি,স্বরসঙ্গতি,বিপ্রকর্ষ,সম্প্রকর্ষ,b
বিলাতি > বিলিতি' কিসের উদাহরণ?,মধ্য স্বরাগম,অপনিহিতি,প্রগত,মধ্যগত,d
মধ্যগত স্বরসঙ্গতির উদাহরণ কোনটি?,জিলাপি,মুজো,মেলামেশা,তুলো,a
"দ্রুত উচ্চারণের জন্য শব্দের আদি, অন্ত বা মধ্যবর্তী কোনো স্বরধ্বনি লোপ পেলে তাকে কি বলে?",সমীভবন,সম্প্রকর্ষ,স্বরাগম,স্বরসঙ্গতি,b
উদ্ধার > উদার > ধার এটি কি ধরনের ধ্বনি পরিবর্তন?,অপনিহিতি,সম্প্রকর্ষ,স্বরসঙ্গতি,অন্তর্হতি,b
স্বরলোপ' কোনটির বিপরীত?,সমীভবন,অপনিহিতি,স্বরাগম,স্বরসঙ্গতি,c
কোনটিতে মধ্যস্বরলোপ ঘটেছে?,গামছা,মশারি,লুঙ্গি,চাদর,a
ঘোষীভবনের উদাহরণ কোনটি?,শাক > শাগ,পুকুর > পুথুর,কাঠ > কাট,বাবু > বাপু,a
দুটি ধ্বনির পরস্পর স্থান পরিবর্তন করাকে কী বলে?,সমীভবন,বর্ণবিপর্যয়,স্বরভক্তি,অভিশ্রুতি,b
ধ্বনি বিপর্যয়ের উদাহরণ কোনটি?,আজি - আইজ,পিশাচ - পিচাশ,পাকা - পাক্কা,স্কুল - ইস্কুল,b
লাফ > ফাল কোন ধরনের ধ্বনি পরিবর্তনের দৃষ্টন্ত?,বিষমীভবন,ধ্বনি বিপর্যয়,ধ্বনিলোপ,ব্যঞ্জনাগম,b
রিক্‌সা > রিস্‌কা কিসের উদাহরণ?,ধ্বনি বিপর্যয়ের,বিষমীভবনের,বিপ্রকর্ষের,ব্যঞ্জনাগম,a
বাক্‌স > বাস্‌ক হওয়ার রীতিকে বলা হয়-,ধ্বনি বিপর্যয়,ধ্বনিসাম্য,ধ্বনিলোপ,ব্যঞ্জনাগম,a
বড় দাদা > বড়দা - কি ধরনের ধ্বনি পরিবর্তন?,অন্তর্হতি,ব্যঞ্জন বিকৃতি,বিষমীভবন,ব্যঞ্জনচ্যুতি,d
শব্দমধ্যস্থিত দুটো ধ্বনি একে অপরের প্রভাবে অল্প-বিস্তার সমতা লাভ কী বলা হয়?,সমীভবন,অসমীকরণ,বিষমীভবন,অপনিহিতি,a
'রান্না' শব্দটির ব্যাকরণের কোন নিয়মে তৈরি?,বর্ণচ্যুতি,স্বরলোপ,বর্ণদ্বিত্ব,সমীভবন,d
নিচের কোনটি সমীভবনের উদাহরণ?,পদ্ম > পদ্দ,বিলাতি > বিলিতি,আজি > আইজ,শুনিয়া > শুনে,a
গল্প > 'গপ্প' কোন ধরনের ধ্বনি পরিবর্তন?,স্বরসঙ্গতি,বিষমীভবন,অসমীকরণ,সমীভবন,d
তৎ + হিত > তদ্ধিত কোন ধ্বনি পরিবর্তন প্রক্রিয়া?,সম্প্রকর্ষ,বিষমীভবন,স্বরসঙ্গতি,সমীভবন,d
দুটি সমবর্ণের একটির পরিবর্তনকে বলা হয়-,অপগত,পরাগত,সমীভবন,বিষমীভবন,d
শরীর > শরীল কোন ধরনের ধ্বনি পরিবর্তন?,স্বরলোপ,বিষমীভবন,অভিশ্রুতি,বর্ণ বিকৃতি,b
কোনটি বিষমীভবন-এর উদাহরণ?,অঙ্ক > আঁক,লাল > নাল,কাচ > কাঁচ,পুথি > পুঁথি,b
বড় > বড্ড - এটি কোন ধরনের পরিবর্তন>,বিষমীভবন,সমীভবন,ব্যঞ্জনদ্বিত্ব,ব্যঞ্জন-বিকৃতি,c
"কবাট > কপাট, ধোবা > ধোপা কিসের উদাহরণ?",ধ্বনি বিপর্যয়,অভিশ্রুতি,ব্যঞ্জন চ্যুতি,ব্যঞ্জন বিকৃতি,d
ফাল্গুন > ফাগুন - ধ্বনি পরিবর্তনের কোন প্রক্রিয়া এখানে কার্যকর হয়েছে?,ধ্বনিবিকার,শ্রুতিধ্বনি,অন্তর্হতি,ধ্বনি বিপর্যয়,c
ফলাহার থেকে 'ফলার' শব্দটি হওয়ার কারণ-,ধ্বনি বিপর্যয়,বর্ণদ্বিত্ব,বর্ণাগম,বর্ণলোপ,d
"মহাপ্রাণ ধ্বনি অল্পপ্রাণ ধ্বনির মতো উচ্চারিত হলে, তাকে বলে-",অভিকর্ষ,অভিশ্রুতি,ক্ষীণায়ন,বিপ্রকর্ষ,c
