question,a,b,c,d,answer
'মগজ' শব্দের উচ্চারণ-,মোগজ,মোগজ্‌,মগজ,মোগোজ,b
কোন বর্ণের নিজস্ব কোন ধ্বনি নেই?,চ,উ,ঞ,ণ,c
'হল' শব্দের সঠিক উচ্চারণ কোনটি?,হোলো,হল,হলো,হোল,a
'শ্রাবণ' শব্দের উচ্চারণ-,শ্রাবোন,স্রাবোন্‌,শ্রাবোন্‌,স্রাবন্‌,b
অনুশাসন শব্দের শুদ্ধ উচ্চারণ-,অনুশাশন্‌,ওনুশাশোন্‌,ওনুশাশন্‌,অনুশাশোন্‌,b
'সুন্দর' শব্দের প্রমিত উচ্চারণ কোনটি?,শুন্‌দোর্‌,শুন্‌দর্‌,সুন্‌দর্‌,শোনদর্‌,b
'সুদৃষ্টি' শব্দের প্রমিত উচ্চারণ কোনটি?,সুদৃশ্‌টি,শুদৃস্‌টি,শোদৃশ্‌টি,শুদৃশ্‌টি,d
'সন্তরণ' শব্দের প্রমিত উচ্চারণ হলো-,সন্‌তোরন,শন্‌তরোন্‌,শন্‌তরন্‌,সন্তরোন্‌,c
পদের আদ্য ব-ফলা-,দ্বিত্ব উচ্চারিত হয়,অবিকৃতভাবে উচ্চারিত হয়,অনুচ্চারিত থাকে,বিকৃতভাবে উচ্চারিত হয়,c
'স্বজন' শব্দের ঠিক উচ্চারণ-,সজন,সজোন,শজন্‌,শজোন্‌,d
'বিশ্বাস' শব্দের উচ্চারিত রূপ হয়-,বিশ্‌শাস্‌,বিশ্‌শাশ্‌,বিশশ্বাস,বিশশাশ্‌,b
সন্ধি ও সমাসবদ্ধ পদের ব-ফলা-,দ্বিত্ব উচ্চারিত হয়,অবিকৃতভাবে উচ্চারিত হয়,অনুচ্চারিত থাকে,বিকৃতভাবে উচ্চারিত হয়,b
যুক্ত ব্যঞ্জনের সঙ্গে সংযুক্ত ম-ফলা-,দ্বিত্ব উচ্চারিত হয়,অবিকৃতভাবে উচ্চারিত হয়,অনুচ্চারিত থাকে,বিকৃতভাবে উচ্চারিত হয়,c
'শ্মশান' শব্দটির উচ্চারণ-,শশান্‌,শষান্‌,শঁশান্‌,শসাঁন,c
'স্মৃতিসৌধ' শব্দের প্রমিত উচ্চারণ-,সৃতিশোউধ্‌,সৃতিসোউধো,সৃঁতিশোউধা,সৃঁতিশোউধ্‌,c
'রশ্মি' শব্দের শুদ্ধ উচ্চারণ কোনটি?,রোশ্‌শিঁ,রশ্‌শিঁ,রোশ্‌মি,রোশ্‌নি,a
'বিস্ময়' এর সঠিক উচ্চারণ কোনটি?,বিস্‌শয়,বিস্‌ময়,দিশ্‌শঁয়্‌,বিশ্‌ময়,c
'বিস্মিত' এর সঠিক উচ্চারণ-,বিস্‌মিতো,বিশ্‌সিত,বিস্‌মিত,বিশ্‌শিঁতো,d
'সম্মান' শব্দের প্রমিত উচ্চারণ কোনটি?,শম্‌মান্‌,শন্‌মান্‌,শোন্‌মান,সোন্‌মান্‌,a
'যুগ্ম' শব্দের উচ্চারণ কোনটি?,জুগনো,জুগ্‌মো,জুগমো,যুগমো,b
মধ্যে ও অন্ত্য য-ফলা ব্যঞ্জনকে-,দ্বিত্ব করে,সানুনাসিক করে,বিকৃত করে,পার্শ্বিক করে,a
'ব্যাকরণ' শব্দের যথাযথ উচ্চারণ হলো-,ব্যাকারণ,ব্যাকরোন,ব্যাকরণ,ব্যাকরনো,b
'অধ্যাপক' শব্দের প্রমিত উচ্চারণ-,অদ্‌ধাপক,অদ্‌ধাপক,ওদ্‌ধাপোক্‌,ওধ্‌ধাপোক্‌,c
'অন্যান্য' শব্দের প্রমিত বাংলা উচ্চারণ কোনটি?,ওন্‌নান্‌ন,শুন্যান্য,অন্‌ন্যন্‌নো,ওন্‌নান্‌নো,d
'গ্রাহ্য' শব্দের সঠিক উচ্চারণগত বানান হলো-,গ্রাজ্‌ঝো,গাম্‌মো,গামমো,গ্রমোমো,a
'বাহ্য' শব্দের উচ্চারণ কোনটি?,বাজ্‌জো,বাজ্‌ঝো,বাজ্‌ঝ,বাইজ্‌ঝো,b
'অসহ্য' শব্দটির সঠিক উচ্চারণ কোনটি?,অসজ্‌জো,অসোজ্‌জো,অসোজ্‌ঝো,অশয্‌ঝো,c
'সন্ধ্যা' শব্দের প্রমিত উচ্চারণ কোনটি?,সন্‌ধা,শন্‌ধা,শোন্‌ধা,সণ্‌ধা,c
'ভবিষ্যৎ' শব্দটির উচ্চারণ কোনটি?,ভোবিশ্‌শত,ভবিশ্‌শতো,ভোবিষত,ভোবিষ্‌শত,a
'তীব্র' শব্দটির শুদ্ধ উচ্চারণ কোনটি?,তীব্‌ব্রো,তিব্‌ব্রো,তিব্‌রো,তীব্‌রো,b
শব্দের মধ্যে অন্ত্য ল-ফলা ব্যঞ্জনকে-,পার্শ্বিক করে,সানুনাসিক করে,বিকৃত করে,দ্বিত্ব করে,d
'আহ্বান' শব্দের প্রমিত উচ্চারণ-,আহোব্‌বান,আহোভান,আউভান,আও্‌ভান্‌,d
'আহ্ববায়ক' শব্দের প্রমিত উচ্চারণ-,আওভায়োক্‌,আওভায়ক্‌,আহব্‌বায়ক,আহোব্‌বায়োক,b
'জিহ্বা' শব্দটির ঠিক উচ্চারণ কোনটি?,জিব্‌বা,জিহবা,জিউবা,জিউভা,d
'বিহ্বল' শব্দের প্রমিত উচ্চারণ-,বিহব্‌বল্‌,বিহোব্‌বল্‌,বিহোবল্‌,বিউভল্‌,d
'বিহ্বলতা-র' প্রমিত উচ্চারণ হলো-,বিহভলতা,বিউ্‌ভলতা,বিওভলোতা,বিওভোলোতা,b
'আহ্লাদ' শব্দের প্রমিত উচ্চারণ-,আল্লাদ,আল্‌হাদ্‌,আহ্‌লাদ,আল্‌লাহদ,b
সঠিক উচ্চারণ কোনটি?,তিতিখ্‌খা,তিথিক্‌খা,তিতিক্‌খা,তিতিখ্‌খা,c
'প্রতীক্ষা' শব্দটির বিশুদ্ধ উচ্চারণ-,প্রতিখ্‌খা,ফ্রতিখ্‌খা,প্রোতিক্‌খা,প্রোথিখ্‌খা,c
'অক্ষর' শব্দের কোন উচ্চারণটি শুদ্ধ?,ওক্খর,অক্খোর,ওক্‌খোর,অক্‌খর,c
'লক্ষণ' শব্দের প্রমিত উচ্চারণ-,লোক্‌খন্‌,লক্‌খোন্‌,লোক্‌খোন্‌,লক্‌খন্‌,c
'অধ্যক্ষ' শব্দের প্রমিত উচ্চারণ-,অধ্‌ধোখ্‌খো,ওদ্‌ধোক্‌খো,অদোক্‌খো,অধোক্‌খো,b
'ব্রাহ্ম' শব্দটির উচ্চারণ কোনটি?,ব্রামমো,ব্রাম্‌ভো,ব্রাম্‌হো,ব্রাম্ম,c
'অবজ্ঞা' শব্দের উচ্চারণ কোনটি?,অবোগ্‌গাঁ,ওবোগ্‌গাঁ,ওবগগা,অবগগা,a
'অজ্ঞাত' শব্দটির প্রকৃত উচ্চারণ কোনটি?,অগ্‌গাত,ওগ্‌গাত,অগ্‌গ্যাঁতো,ওগ্যাত,c
'পরাঙ্মুখ' শব্দটির সঠিক উচ্চারণ-,পরামমুখ,পরাংমুখ্‌,পরাঙ্‌মুখ,পোরামমুখ,b
'মণিমঞ্জুশা' শব্দটির প্রমিত উচ্চারণ হলো-,মণিমোঞ্জুশা,মণিমোনজুসা,মোণিমোঞ্জুষা,মোনিমোন্‌জুশা,d
'ক্রমপুঞ্জিত' শব্দটির যথার্থ উচ্চারণ হলো-,ক্রমোপুনজিত,ক্রোমোপুনজিত,ক্রমোপুনজিতো,ক্রোমোপুনজিতো,d
'অভিব্যাপ্তি' শব্দটির যথাযথ উচ্চারণ কোনটি-,অভিব্যপ্‌তি,ওভিব্‌ব্যাপ্‌তি,অভিব্যাপ্‌তি,ওভিব্যাপ্‌তি,b
কোনটি সঠিক উচ্চারণ নয়?,তীব্র - তিব্‌ব্রো,শূন্য - শুন্‌ন,দঃসাহস - দুশ্‌শাহোশ্‌,লক্ষ্য - লোক্‌খো,b
কোন উচ্চারণটি প্রমিত নয়?,সমুদ্র - শোমুদ্‌দ্রো,শ্রাবণ - স্রাবোন্‌,বাগ্মী - বাগ্‌মি,আহ্বান - আহোবান্‌,d
