question,a,b,c,d,answer
'কটাক্ষ' শব্দের সন্ধি বিচ্ছেদ-,কটু + অক্ষ,কটা + অক্ষ,কট + ক্ষ,কট + অক্ষ,a
'কথামৃত' শব্দের সন্ধি বিচ্ছেদ কোনটি?,কথা + অমৃত,কথঃ + অমৃত,কথা + মৃত,কথঃ + মৃত,a
'কথোপকথন' শব্দটি কি রীতিতে গঠিত?,উপসর্গযোগ,সন্ধিযোগে,প্রত্যয়যোগে,সমাসযোগে,b
কোনটি 'ক্ষুধার্ত' শব্দের সন্ধি বিচ্ছেদ?,ক্ষৎ + আর্ত,ক্ষুধা + আর্ত,ক্ষুধা + ঋত,ক্ষুধ + আর্ত,c
'গতানুগতিক' এর সন্ধি বিচ্ছেদ কোনটি?,গত + আনুগতিক,গতা + অনুগতিক,গত + অনুগতিক,গতানু + গতিক,c
'গবেষণা' শব্দের সন্ধি বিচ্ছেদ কোনটি?,গব + এষণা,গবে + এষণা,গৌ + এষণা,গো + এষণা,d
'গবাদি' শব্দের সন্ধি বিচ্ছেদ কোনটি?,গবা + আদি,গো + আবাদি,গো + আদি,গবা + দি,c
'গায়ক' শব্দের সন্ধি বিচ্ছেদ-,গা + অক,গায় + অক,গৈ + অক,গৌ + অক,c
'গ্রন্থাগার' শব্দটি-,নিপাতনে সিদ্ধ সন্ধি,স্বরসন্ধি,ব্যঞ্জন সন্ধি,বিসর্গ সন্ধি,b
কোনটি শুদ্ধ?,মরু + উদ্যান = মরুদ্যান,পরি + ইক্ষা = পরীক্ষা,গঙ্গা + ঊর্মি = গঙ্গোর্মি,প্রতি + ঊষি = প্রত্যুষ,c
'জনৈক' শব্দের সন্ধি বিচ্ছেদ-,জন + ঐক,জন + এক,জনে + এক,জন + অক,b
'জলৌকা' শব্দের সন্ধি বিচ্ছেদ কোনটি?,জল + একা,জলো + ঐকা,জল + ওকা,জল + ঔকা,c
জাতি + অভিমান-,জাত্যাভিমান,জাত্যভিমান,জাতিভিমান,জাতভিমান,b
'জমানো' শব্দটির সন্ধি বিচ্ছেদ হচ্ছে-,জমান + ও,জমা + ন,জমা + নো,জমা + আনো,d
ঢাকা + ঈশ্বরী = ঢাকেশ্বরী- কোন নিয়মে এ সন্ধি হয়েছে?,আ + ঈ = এ,অ + ঈ = এ,আ + ই = এ,অ + ই = এ,a
তৃষ্ণার্ত- এর সন্ধি বিচ্ছেদ কোনটি?,তৃষ্ণা + আর্ত,তৃষ্ণা + ঋত,তৃষ্ণা + ষর্ত,তৃষ্ণা + রিত,b
'তন্বী' শব্দের কোনটি সঠিক সন্ধি বিচ্ছেদ?,তন্ব + ঈ,তন্ব + ই,তনু + ই,তনু + ঈ,d
দেবালয়ের সন্ধি বিচ্ছেদ কোনটি?,দেব + আলয়,দেবা + আলয়,দেবা + লয়,দেব + লয়,a
'দৃষ্টান্ত' শব্দটির সঠিক সন্ধি বিচ্ছেদ কোনটি?,দৃষ্টি + অন্ত,দৃষ্টি + আন্ত,দৃষ্ট + আন্ত,দৃষ্ট + অন্ত,d
'দৈনিক' শব্দটির সঠিক সন্ধি বিচ্ছেদ কোনটি?,দৈ + এক,দৈ + নিক,দৈঃ + এক,দিন + এক,d
'ধর্মাধর্ম' শব্দটিরর সন্ধি বিচ্ছেদ হল-,ধর্ম + অধর্ম,ধর্মা + ধর্ম,ধর্ম + আ + ধর্ম,ধর্ম + অদধর্ম,a
'নাবিক' শব্দের সন্ধি বিচ্ছেদ-,ন + ইক,নবৌ + ইক,নৌ + ইক,নবো + ইক,c
'নায়ক' এর সন্ধি বিচ্ছেদ কোনটি?,না + য়ক,নৈ + অক,নৌ + অক,নৈ + আক,b
সন্ধি বিচ্ছেদ করুন: নবান্ন,নবা + অন্ন,নব + অন্ন,নবীন + অন্ন,নবঃ + অন্ন,b
'নবোঢ়া' শব্দের সন্ধি বিচ্ছেদ-,নব + উঢ়া,নব + ঊঢ়া,নবো + উঢ়া,নবো + ঊঢ়া,b
সন্ধিযোগে গঠিত শব্দ-,নীলোৎপল,বিপদাপন্ন,ফুলেল,পরাজয়,a
কোনটি শুদ্ধ বানান?,নুন্যাধিক,ন্যূনাধিক,ন্যুন্যাধিক,ন্যুনধিক,b
'পবিত্র' শব্দের সন্ধি বিচ্ছেদ কোনটি?,প + বিত্র,প + অবিত্র,পো + ইত্র,পো + অবিত্র,c
'পাবক' কোন সন্ধির উদাহরণ?,স্বরসন্ধি,ব্যঞ্জন সন্ধি,বিসর্গ সন্ধি,নিপাতনে সিদ্ধ,a
'পরীক্ষা' সন্ধি বিচ্ছেদ কি হবে?,পরী + ঈক্ষা,পরি + ইক্ষা,পরী + ইক্ষা,পরি + ঈক্ষা,d
'পুরাধ্যক্ষ' শব্দটির সঠিক সন্ধি বিচ্ছেদ কোনটি?,পুর + আধ্যক্ষ,পুর + অধ্যক্ষ,পুরা + অধ্যক্ষ,পুরা + আধ্যক্ষ,b
'প্রত্যূষ' শব্দের সঠিক সন্ধি বিচ্ছেদ কোনটি?,প্রত্য + উষ,প্রত্য + ঊষ,প্রতি + উষ,প্রতি + ঊষ,d
অশুদ্ধ শব্দ কোনটি?,প্রত্যুষ,বীণাপাণি,মূঢ়,চরিত্র,a
'প্রত্যুক্তি' শব্দের সন্ধি বিচ্ছেদ-,প্র + উক্তি,প্রতি + উক্তি,প্রো + যুক্তি,প্রতঃ + উক্তি,b
'প্রত্যেক' শব্দের সন্ধি বিচ্ছেদ কোনটি?,প্র + এক,প্রতি + এক,প্রত + এক,প্রতি + ক,b
'প্রত্যাবর্তন' শব্দের সন্ধি বিচ্ছেদ-,প্রতি + বর্তন,প্রতি + আবর্তন,প্রত্যা + বর্তন,প্রতিঃ + আবর্তন,b
'পর্যালোচনা' শব্দের সঠিক সন্ধি বিচ্ছেদ-,পর্য + আলোচনা,পরি + আলোচনা,পর্যা + লোচনা,পর্যা + আলোচনা,b
'পর্যায়' শব্দটির সন্ধি বিচ্ছেদ-,পর + যায়,পর + আয়,পরি + আয়,পরি + যায়,c
'পর্যবেক্ষণ' এর সন্ধি বিচ্ছেদ-,পর + বেক্ষণ,পরি + বেক্ষণ,পর + অবেক্ষণ,পরি + অবেক্ষণ,d
পশু + অধম' এর সন্ধিসাধিত রূপ কোনটি?,পশ্বধম,পশ্যাধম,পশ্বাধম,পশ্যুধম,a
'পিত্রালয়' শব্দের সন্ধি বিচ্ছেদ হচ্ছে-,পিতা + আলয়,পিতৃ + আলয়,পিত্রা + লয়,পিত্রি + আলয়,b
'পিত্রাদেশ' শব্দের সন্ধি বিচ্ছেদ হচ্ছে-,পিতঃ + আদেশ,পিতা + আদেশ,পিত্র + আদেশ,পিতৃ + আদেশ,d
'পর্যন্ত' শব্দের সন্ধি বিচ্ছেদ কোনটি?,পর্য + ন্ত,পরি + অন্ত,পর্য + অন্ত,প + যন্ত,b
'পূর্ণেন্দু' কোন সন্ধি?,স্বরসন্ধি,ব্যঞ্জনসন্ধি,বিসর্গ সন্ধি,নিপাতনে সিদ্ধ সন্ধি,a
'ব্যর্থ' শব্দটির সন্ধি বিচ্ছেদ হলো-,বি + আর্থ,ব্য + অর্থ,বি + অর্থ,ব্যা + অর্থ,c
'বহ্ন্যুৎসব' শব্দটির সন্ধি বিচ্ছেদ করলে পাই-,বহ্ন্যু + উৎসব,বহ্ন্যুৎ + সব,বহ্ন্য + উৎসব,বহ্নি + উৎসব,d
কোনটি স্বরসন্ধির উদাহরণ?,ণিজন্ত,অহরহ,বিদ্যালয়,দুঃশ্চিন্তা,c
'বারীশ' শব্দের সন্ধি বিচ্ছেদ কোনটি?,বারী + ঈশ,বারি + ঈশ,বারী + ইশ,বারি + ইশ,b
'বনৌষধি' শব্দের সঠিক সন্ধি বিচ্ছেদ-,বন + ওষধি,বন্‌ + ওষধি,বন + ঔষধি,বনঃ + ওষধি,a
'ভূর্ধ্ব' এর সন্ধি বিচ্ছেদ কি?,ভূ + উর্ধ্ব,ভূ + ঊর্ধ্ব,ভূ + র্ধ,ভূদ +উর্ব,b
'ভাবুক' শব্দের সন্ধি বিচ্ছেদ কোনটি?,ভৌ + উক,ভো + উক,ভাব + উক,ভৌ + অক,a
'মহৌষধি' শব্দের সঠিক সন্ধি কোনটি?,মহা + ঔষধি,মহ + ঔষধি,মহাঃ + ঔষধি,মহা + ওষধি,d
'মরূদ্যান' শব্দের সন্ধি বিচ্ছেদ-,মরু + দ্যান,মরু + উদ্যান,মরু + ঊদ্যান,মরূ + দ্যান,b
'মহর্ষি' শব্দের সঠিক সন্ধি কোনটি?,মহ + আর্ষি,মহা + ঋষি,মহা + অর্ষি,মহো + ঋষি,b
'মহৈশ্বর্য' এর সন্ধি বিচ্ছেদ কোনটি?,মহা + ঐশ্বর্য,মহ + ঐশ্বর্য,মহৈ + ঐশ্বর্য,মহো + ঐশ্বর্য,a
'মতৈক্য' শব্দের সঠিক সন্ধি বিচ্ছেদ কোনটি?,মতঃ + এক,মতঃ + ঐক্য,মত + এক,মত + ঐক্য,d
'মন্বন্তর' শব্দের সন্ধি বিচ্ছেদ-,মন + অন্তর,মনন + তর,মনু + অন্তর,মন্বন + তর,c
'মস্যাধার' শব্দের সন্ধি বিচ্ছেদ কর-,মস্যা + আধার,মসা + আধার,মসী + আধার,মস্যি + আধার,c
'মিথ্যুক' এর সন্ধি বিচ্ছেদ কোনটি?,মিথ্যা + ঔক,মিথ্যা + উক,মিথ্যা + ঊক,মিথ্যা + ওক,b
'যদ্যপি' শব্দটির সন্ধি বিচ্ছেদ-,যদ + পি,যদি + অপি,যদ + অপি,যদ্য + অপি,b
কোন বানানটি শুদ্ধ?,যথাচীত,যথোচিত,যথাচিত,যথচিত,b
'যাচ্ছেতাই' শব্দটির সঠিক সন্ধি বিচ্ছেদ কোনটি?,যাহা + ইচ্ছা + তাহা,যাচ্ছে + তাই,যা + ইচ্ছা + তাই,কোনোটাই নায়,c
'রত্নাকর' শব্দটির সন্ধি বিচ্ছেদ-,রত্ন + কর,রত্না + কর,রত্না + আকর,রত্ন + আকর,d
কোনটি 'লবণ' এর সন্ধি বিচ্ছেদ?,লো + অন,ল + অন,লে + অন,ল + বন,a
'শশাঙ্ক' শব্দের সন্ধি বিচ্ছেদ কোনটি?,শশ + অঙ্ক,শস + অঙ্ক,শশা + অঙ্ক,শম + অঙ্ক,a
নিচের কোন বানানটি শুদ্ধ?,শসাংক,শসাঙ্ক,শশাঙ্ক,শষাঙ্ক,c
'শতেক' শব্দটি কোন ধরনের সন্ধি?,বিসর্গ সন্ধি,ব্যঞ্জন সন্ধি,স্বরসন্ধি,খাঁটি বাংলা স্বরসন্ধি,d
'শুভেচ্ছা'র সন্ধি বিচ্ছেদ-,শু + বেচ্ছা,শুভ + ইচ্ছা,শুভ + চ্ছা,শু + ইচ্ছা,b
নিচের কোনটি স্বরসন্ধির উদাহরণ?,শিক্ষালয়,অহরহ,দিগন্ত,ইত্যাদি,a
'সতীশ' শব্দটির সন্ধি বিচ্ছেদ কোনটি?,সতি + ইশ,সতীশ + অ,সতি + ঈশ,সতী + ঈশ,d
'অ' আর 'উ' মিলে কোনটি হয়েছে?,সূর্যোদয়,নবোঢ়া,যথোচিত,গঙ্গোর্মি,a
'সুধীন্দ্র' এর সন্ধি বিচ্ছেদ কি?,সুধি + ইন্দ্র,সুধী + ইন্দ্র,সুধী + ঈন্দ্র,সুধ + ইন্দ্র,b
'সতীন্দ্র' শব্দের সঠিক সন্ধি বিচ্ছেদ কোনটি হবে?,সতি + ঈন্দ্র,সতী + ইন্দ্র,সতী + ঈন্দ্র,সতী + ন্দ্র,b
'স্বেচ্ছা' শব্দের সন্ধি বিচ্ছেদ কোনটি?,সে + চ্ছা,স্ব + ঈচ্ছা,স্ব + ইচ্ছা,স্বে + চ্ছা,c
'স্বাগত' এর সন্ধি বিচ্ছেদ কী?,সু + আগত,স্ব + গত,সু + গত,সা + আগত,a
'স্বায়ত্ত' শব্দের সন্ধি বিচ্ছেদ কোনটি?,স্বা + আয়ত্ব,স্বা + অয়ত্ব,স্বা + আয়ত্ত্ব,স্বা + আয়ত্ত,d
'স্বাধীন' শব্দটির সন্ধি বিচ্ছেদ কোনটি?,স + অধিন,শ + অধিন,স্ব + অধিন,স্ব + অধীন,d
'স্বাধীনতা' এর সন্ধি বিচ্ছেদ-,সু + অধীনতা,স + অধীনতা,শ + অধীনতা,স্ব + অধীনতা,d
'হিতৈষী' শব্দের সন্ধি বিচ্ছেদ?,হিতৈঃ + ষী,হিতৈঃ + ঐষী,হিত + এষী,হিত +  ঐষী,c
কোনটি স্বরসন্ধির উদাহরণ?,হিমালয়,অহরহ,সংসার,বনস্পতি,a
নিচের কোন সন্ধি বিচ্ছেদটি সঠিক নয়?,মহা + ঋষি = মহর্ষি,শীত + ঋত = শীতার্ত,যথা + এষ্ট = যথেষ্ট,যথা + উচিত = যথোচিত,c
সন্ধিতে 'চ' ও 'জ' এর নাসিক্য ধ্বনি কী হয়?,অনুস্বার,দ্বিত্ব,মহাপ্রাণ,তালব্য,d
'অনুচ্ছেদ' শব্দের সন্ধি বিচ্ছেদ কোনটি?,অনু + ছেদ,অনু + চ্ছেদ,অণু + ছেদ,অণু + চ্ছেদ,a
'অলংকার' শব্দের সঠিক সন্ধিজাত বিশ্লেষণ কোনটি?,অলম্‌ + কার,অলং + কার,অ + লঙ্কার,অলঙ্ক + কার,a
কোন বানানটি সঠিক?,অসাদাচারণ,অসদাচারণ,অসাদাচরণ,অসদাচরণ,c
'অহংকার' শব্দের সন্ধি বিচ্ছেদ-,আহঃ + কার,অহং + কার,অহম্‌ + কার,আহ + কার,c
'আকৃষ্ট' এর সন্ধি বিচ্ছেদ কোনটি?,আকৃষ্‌ + ত,আকৃষ্‌ + ট,আক্‌ + ইষ্ট,আকঃ + ইষ্ট,a
কোনটি সঠিক সন্ধি বিচ্ছেদ?,উৎ + শাস = উচ্ছ্বাস,উৎ + ডীন = উড্ডীন,বৃহৎ + ঢক্কা = হড্‌ঢক্কা,বৃলভ্‌ + ধ = লব্ধ,b
'উড্ডীয়মান' - এর সন্ধি বিচ্ছেদ কোনটি?,উৎ + ডীয়মান,উড + ডীয়মান,উড্ডী + আমান,উড্ডীয় + মান ,a
'উচ্ছেদ' - শব্দটির সন্ধি বিচ্ছেদ কোনটি?,উছ + ছেদ,উৎ + ছেদ,উদ + ছেদ,উত + ছেদ,b
নিচের কোনটি ব্যঞ্জনসন্ধির উদাহরণ?,ভবন,উচ্ছেদ,অতএব,দুস্তর,b
'উল্লাস' এর সন্ধি বিচ্ছেদ-,উৎ + লাস,উদ + লাস,উল + লাস,উঃ + লাস,a
'উত্তীর্ণ' এর সঠিক সন্ধি বিচ্ছেদ কোনটি?,উৎ + তীর্ণ,উত + তীর্ণ,উদ + তীর্ণ,কোনোটিই নয়,a
'উজ্জ্বল' শব্দটির সন্ধি বিচ্ছেদ কোনটি?,উজ + জ্বল,উদ + জ্বল,উদ্ব + জল,উৎ + জ্বল,d
'উচ্ছিষ্ট' শব্দের সন্ধি সাধিত রূপ কোনটি?,উদ্‌ + শিষ্ট,উদগ + ছিষ্ট,উদ্‌ + ষ্ট,উদ্‌ + ইষ্ট,a
'উচ্ছাস' শব্দটিতে কোন দুটি ব্যঞ্জনধ্বনির সন্ধি হয়েছে?,"ত, ব","চ, ছ","চ, শ","ত, শ",d
'উচ্ছ্বাস' শব্দের সন্ধি বিচ্ছেদ হচ্ছে-,উত + চ্ছাস,উৎ + ছাস,উৎ + শ্বাস,উৎ + চ্ছাস,c
'উচ্ছল' শব্দের সন্ধি বিচ্ছেদ কোনটি?,উৎ + শল,উৎ + ছল,উৎ + চল,উচ + ছল,b
'উচ্ছৃঙ্খল' শব্দটির সন্ধি বিচ্ছেদ -,উৎ + শৃঙ্খল,উচ + শৃঙ্খল,উচ্চ + খল,উৎ + সৃঙ্খল,a
'উত্থাপন' শব্দটির সন্ধি বিচ্ছেদ-,উৎ + ত্থাপন,উৎ + স্থাপনা,উঃ + স্থাপন,উঃ + ত্থাপন ,b
'উদ্ধৃত' এর সন্ধি বিচ্ছেদ-,উৎ + হৃত,উৎ + হত,উদ + হৃত,উৎ + ঋত,a
'উদ্ধার' শব্দটির সন্ধি বিচ্ছেদ হবে-,উঃ + ধার,উৎ + দার,উৎ + ধার,উৎ + হার,d
'উদ্যোগ' শব্দের সন্ধি বিচ্ছেদ কোনটি?,উদ + যোগ,উৎ + যোগ,উদ্যো + গ,উত + যোগ,b
'উন্নত' শব্দের সন্ধি বিচ্ছেদ হচ্ছে-,উৎ + নীতি,উৎ + নত,উন্নী + ত,উন + নত,b
'উন্নীত' এর সন্ধি বিচ্ছেদ কোনটি?,উৎ + নীতি,উন্নী + ত,উৎ + নীতি,উন্‌ + ইত,c
'উন্নয়ন' এর সন্ধি বিচ্ছেদ-,উৎ + নয়ন,উন্ন + য়ন,উৎ + য়ন,উৎ + অন,a
উৎ + লিখিত - এর সন্ধিটি হবে?,উল্লেখিত,উল্লিখিত,উৎলিখিত,উল্লেখ্য,b
'উল্লেখ' শব্দের সন্ধি বিচ্ছেদ কোনটি?,উৎ + লেখ,উদ্‌ + লেখ,উল + লেখ,উল্ব + লেখ,a
কোনটি 'এদ্দূর' এর সন্ধি বিচ্ছেদ?,এ + দ্দুর,এত + দূর,এৎ + দূর,এ + দূর,b
'কদ্দিন' শব্দটির সন্ধি বিচ্ছেদ হলো-,কদঃ + দিন,কদ্‌ + দিন,কত্‌ + দিন,কতো + দিন,c
'কিংবদন্তি' শব্দের সন্ধি বিচ্ছেদ হলো-,কিম্‌ + দস্তী,কিম্‌ + বদন্তি,কিং + দস্তী,কিং + বদস্তী,b
'কিন্নর' এর সন্ধি বিচ্ছেদ হলো-,কিম + নর,কিম + ণর,কিম্‌ + নর,কিম্‌ + ণর,c
কুজ্বটিকা-এর সন্ধি বিচ্ছেদ-,কুত + ঝটিকা,কুদ + ঝটিকা,কুৎ + ঝটিকা,কুজ + ঝটিকা,c
কোন বানানটি শুদ্ধ?,কুজ্বটিকা,কুজ্জটিকা,কুজ্জ্বটিকা,কুজ্ঝটীকা,a
'কৃষ্টি' শব্দের সন্ধি বিচ্ছেদ-,কৃস + তি,কৃষ + টি,কৃষ্‌ + তি,কৃষঃ + তি,c
'ক্ষুন্নিবৃত্তি' শব্দের সঠিক সন্ধি বিচ্ছেদ কোনটি?,ক্ষুধা + নিবৃত্তি,ক্ষুণ + নিবৃত্তি,ক্ষুন্নি + বৃত্তি,ক্ষুধ্‌ + নিবৃত্তি,d
'ক্ষুৎপিপাসা' শব্দের সন্ধি বিচ্ছেদ কোনটি?,ক্ষুধা + পিপাসা,ক্ষুত্‌ + পিপাসা,ক্ষুদ্‌ + পিপাসা,ক্ষুধ্‌ + পিপাসা,d
'চলচ্চিত্র' এর সন্ধি বিচ্ছেদ-,চল + চিত্র,চলত + চিত্র,চলৎ + চিত্র,চল + চীত্র,c
'চার্বাক' -এর সন্ধি বিচ্ছেদ কোনটি?,চার + বাক,চর + বাক,চর্ব + বাক,চারু + বাক্‌,d
সন্ধি বিচ্ছেদ কোনটি ঠিক? ,জগ + দীশ,জগ + ঈশ,জগৎ + দীশ,জগৎ + ঈশ,d
'জাগমোহন' এর সন্ধি বিচ্ছেদ-,জাদ + মোহন,জগৎ + মোহন,জাগ + মোহন,জগম + অহন,b
'ণিজন্ত' - এর সন্ধি বিচ্ছেদ হবে-,ণিজ + অন্ত,ণিচ্‌ + অন্ত,ণিঃ + অন্ত,ণিথ + অন্ত,b
'তুষ্ট' শব্দটির সন্ধি বিচ্ছেদ-,তুষ + ট,তুষ্‌ + ত,তুষ্‌ + থ,কোনোটিই নয়,b
কোনটি সংস্কৃত ব্যঞ্জন সন্ধির উদাহরণ?,শুভ + ইচ্ছা,দিক্‌ + অন্ত,বদ্‌ + জাত,শাক্‌ + ভাত,b
'পরিচ্ছদ' শব্দটির সন্ধি বিচ্ছেদ কোনটি?,পরিঃ + চ্ছেদ,পরি + চ্ছেদ,পরি + ছদ,পরি + শেদ,c
'প্রচ্ছদ' শব্দের প্রকৃত সন্ধি বিচ্ছেদ হলো-,প্র + ছদ,প্রৎ + ছদ,প্রচ্ছ + দ,প্রচ্ছদ + অ,a
'পদ্ধতি' শব্দের সন্ধি বিচ্ছেদ করলে পাওয়া যায়-,পদ + ধতি,পৎ + ধতি,পথ + ধতি,পদ্‌ + হতি,d
'প্রিয়ংবদা' শব্দটির সন্ধি বিচ্ছেদ কোনটি?,প্রিয়ম্‌ + বদা,প্রিয়ং + বদা,পিয়ম + বদা,প্রিয়ৎ + বদা,a
'বিদ্বজ্জন' এর সন্ধি বিচ্ছেদ কোনটি?,বিদ্য + জ্জন,বিদ্বৎ + জন,বিদ্ব + জন,বিদ্বৎ + জ্জন,b
'জগজ্জীবন' শব্দটি সন্ধির কোন নিয়ম অনুসরণে করা হয়েছে?,ত + ঝ = জ্জ,দ + জ = জ্জ,দ + ঝ = জ্জ,ত + জ = জ্জ,d
'বাগাড়ম্বর' শব্দের সন্ধি বিচ্ছেদ-,বাগ + আম্বর,বাগ + আড়ম্বর,বাক + আম্বর,বাক্‌ + আড়ম্বর,d
'বিচ্ছেদ' শব্দের সন্ধি বিচ্ছেদ কোনটি?,বিঃ + ছেদ,বি + ছেদ,বিৎ + ছেদ,বিচ্‌ + ছেদ,b
'বিচ্ছিন্ন' শব্দের সন্ধি বিচ্ছেদ কোনটি?,বিচ + ছিন্ন,বি + ছিন্ন,বিৎ + চ্ছিন,বিৎ + ছিন্ন,b
'বিমুগ্ধ' শব্দটি ব্যাকরণের কোন নিয়মে গঠিত হয়েছে?,উপসর্গযোগ,সন্ধিযোগ,প্রত্যয়যোগে,সমাসযোগ,b
'বিমুগ্ধ' শব্দের সন্ধি বিচ্ছেদ কোনটি?,বিমুহ্‌ + ত = বিমুগ্ধ,বিমুগ্‌ + ধ = বিমুগ্ধ,বিমুখ + ধ = বিমুগ্ধ,বিমুঃ + ধ = বিমুগ্ধ,a
কোনটি সঠিক সন্ধি বিচ্ছেদ?,উৎ + শাস = উচ্ছ্বাস,বৃহৎ + ঢক্কা = বৃহড্‌ঢক্কা,উৎ + ডীণ = উড্ডীণ,লভ্‌ + ধ = লব্ধ,b
কোনটি শুদ্ধ বানান?,ভবিষ্যৎবাণী,ভবিষ্যদ্বাণী,ভবিষ্যৎবানী,ভবিষ্যতবাণী,b
'মুখচ্ছবি' সন্ধির কোন নিয়মে পড়ে?,ব্যঞ্জনধ্বনি + ব্যঞ্জনধ্বনি,ব্যঞ্জনধ্বনি + স্বরধ্বনি,স্বরধ্বনি + ব্যঞ্জনধ্বনি,ব্যঞ্জনধ্বনি + বিসর্গধ্বনি,c
'মৃদঙ্গ' শব্দটির সন্ধি বিচ্ছেদ কোনটি?,মৃৎ + অঙ্গ,মৃদং + গ,মৃদ + অশ,মৃদঙ + অঙ্গ,a
'মৃন্ময়' শব্দের সন্ধি বিচ্ছেদ কর-,মৃণ + ময়,মৃৎ + ময়,মৃত + ময়,মৃ + ময়,b
'যজ্ঞ' এর সঠিক সন্ধি বিচ্ছেদ?,যজ + ঞ,যজ্‌ + ন,যজ্‌ + জ,যজ + গ,b
'রাজ্ঞী' এর সঠিক সন্ধি বিচ্ছেদ কোনটি?,রাজ্‌ + নী,রাগ্‌ + নী,রাজ্‌ + জ্ঞী,রাগ্‌ + জ্ঞী,a
'শান্ত' শব্দের সন্ধি বিচ্ছেদ-,শান + ত,শাঃ + ত,শাম + তহ,শাম্‌ + ত,d
সন্ধিঘটিত শুদ্ধ শব্দ-,আতি + অধিক = অত্যাধিক,অষ্ট + বিংশ = অষ্টবিংশ,শরৎ + চন্দ্র = শরচ্চন্দ্র,পর + পর = পরপর,c
'শঙ্কা' এর সঠিক সন্ধি বিচ্ছেদ কোনটি?,শম্‌ + কা,শম + কা,সম্‌ + কা,সম + কা,a
'ষষ্ঠ' শব্দের সন্ধি বিচ্ছেদ হল-,ষষ্‌ + ট,ষষ্‌ + ঠ,ষষ্‌ + ত,ষষ্‌ + থ,d
'ষড়ানন' এর সঠিক সন্ধি বিচ্ছেদ কোনটি?,ষড় + আনন,ষড় + আনন,ষট্‌ + আনন,ষঢ়া + নন,c
'ষড়ঋতু' শব্দের সন্ধি বিচ্ছেদ-,ষড় + ঋতু,ষড়ু + ঋতু,ষট + ঋত,ষট্‌ + ঋতু,d
